entity_id,entity,type,latin_name,doc_ids
1,jackals,species,,1
2,Kenya,location,,1;54;59;74
3,rabies virus,pathogen,rabies virus,1;83;85;86
4,canine parvovirus (CPV-2),pathogen,canine parvovirus (CPV-2),1;3
5,canine distemper virus (CDV),pathogen,canine distemper virus (CDV),1;3;11;37;75
6,Ehrlichia canis,pathogen,Ehrlichia canis,1
7,black-backed jackals,species,,1
8,Canis mesomelas,scientific name,,1
9,golden jackals,species,,1
10,C. aureus,scientific name,,1
11,side-striped jackals,species,,1
12,C. adustus,scientific name,,1
13,African ecosystems,location,,1
14,canids,species,,1
15,Pacific harbor seal,species,,2
16,Phoca vitulina richardsi,scientific name,,2
17,adrenal glands,anatomy,,2;70
18,necrosis,pathology,,2
19,inclusion bodies,pathology,,2
20,DNA,molecule,,2;13
21,sepsis,disease,sepsis,2
22,bacterial omphalophlebitis,disease,bacterial omphalophlebitis,2
23,pneumonia,disease,pneumonia,2
24,gastroenteritis,disease,gastroenteritis,2
25,thymic atrophy,pathology,,2
26,hepatic necrosis,pathology,,2;99
27,lymphopenia,pathology,,2
28,herpesvirus,pathogen,herpesvirus,2
29,phocine adrenal and kidney cell lines,cell line,,2
30,adrenal tissue homogenate,tissue,,2
31,cytopathic effect,phenomenon,,2
32,viral particles,molecule,,2
33,electron microscopy,technique,,2;65
34,cell cultures,biology,,2
35,male,sex,,2
36,female,sex,,2;16;87
37,birth weight,measurement,,2
38,island fox,species,,3;45
39,Urocyon littoralis,scientific name,,3;45
40,Channel Islands,location,,3;25
41,California,location,,3;25;45
42,canine adenovirus,pathogen,canine adenovirus,3;12
43,canine herpesvirus,pathogen,canine herpesvirus,3
44,canine coronavirus,pathogen,canine coronavirus,3
45,leptospirosis,pathogen,leptospirosis,3
46,toxoplasmosis,pathogen,toxoplasmosis,3
47,Pestivirus,Pathogen,Pestivirus,4
48,Chamois,Host,Chamois,4;33
49,Rupicapra pyrenaica pyrenaica,Host,Rupicapra pyrenaica pyrenaica,4;5
50,Border disease virus cluster,Pathogen,Border disease virus cluster,4
51,Spain,Location,,4;5;37;38
52,2001-02,Time,,4
53,Border disease virus,Pathogen,Border disease virus,5
54,Southern chamois,Host,Southern chamois,5
55,Pyrenees,Location,,5
56,February,Time,,5
57,June,Time,,5
58,2001,Time,,5;17
59,2002,Time,,5
60,nephrolithiasis,disease,nephrolithiasis,6
61,marine mammals,group,,6;23
62,northern elephant seal,species,,6;25
63,Mirounga angustirostris,scientific name,,6;25
64,California sea lion,species,,6;25
65,Zalophus californianus,scientific name,,6;25
66,nephroliths,disease,nephroliths,6
67,uric acid,chemical,,6
68,ammonium urate,chemical,,6
69,renal pelvic dilation,condition,,6
70,pyelonephritis,condition,,6
71,hydronephrosis,condition,,6
72,uric acid nephrolithiasis,disease,uric acid nephrolithiasis,6
73,ammonium urate nephrolithiasis,disease,ammonium urate nephrolithiasis,6
74,Amblyomma americanum,organism,,7;13;18
75,Ixodes scapularis,organism,,7
76,Ehrlichia chaffeensis,organism,,7;13;18
77,human granulocytic ehrlichiosis,disease,human granulocytic ehrlichiosis,7
78,white-tailed deer,organism,,7;13;18;22;68;81;94
79,Odocoileus virginianus,organism,,7;13;18;22;68;81;94
80,Ehrlichia equi,organism,,7
81,Ehrlichia spp.,organism,,7;22
82,16S rDNA,molecule,,7;13
83,HGE agent,organism,,7;13
84,southeastern United States,location,,7;66
85,inguinal lymph node,anatomy,,7;23
86,neutrophil,cell,,7
87,blood smears,sample,,7
88,Syncerus caffer,Species,,8;14
89,Connochaetes taurinus,Species,,8
90,Damaliscus korrigum,Species,,8
91,Zebra,Species,,8
92,Wart hog,Species,,8
93,Buffalo,Host,Buffalo,8
94,Wildebeest,Host,Wildebeest,8
95,Topi,Host,Topi,8
96,African horse sickness virus,Pathogen,African horse sickness virus,8
97,African swine fever virus,Pathogen,African swine fever virus,8
98,Brucella abortus,Pathogen,Brucella abortus,8
99,Foot-and-mouth disease,Pathogen,Foot-and-mouth disease,8
100,Bovine herpes virus,Pathogen,Bovine herpes virus,8
