entity_id,entity,type,latin_name,doc_ids
1,Canis mesomelas,Species,,1
2,Canis aureus,Species,,1
3,Canis adustus,Species,,1
4,Jackals,Host,Jackals,1
5,Rabies virus,Pathogen,Rabies virus,1;83;85;86
6,Canine parvovirus (CPV-2),Pathogen,Canine parvovirus (CPV-2),1;3
7,Canine distemper virus (CDV),Pathogen,Canine distemper virus (CDV),1;3;11;37
8,Ehrlichia canis,Pathogen,Ehrlichia canis,1
9,Kenya,Location,,1;54;59;74
10,April 1987,Date,,1
11,January 1988,Date,,1
12,Serum samples,Measurement,,1;18;23;87
13,Antibodies,Property,,1;8;12;15;18;22;23;78;80;86;87;88
14,Free-ranging,Property,,1
15,Adult,Property,,1
16,Canine,Property,,1
17,Pathogens,Property,,1;8;19;88
18,African ecosystems,Environment,,1
19,Canids,Host,Canids,1
20,Diseases,Property,,1;27
21,Pacific harbor seal,Species,,2
22,Phoca vitulina richardsi,Species,,2
23,Adrenal cells,Tissue,,2
24,DNA,Molecule,,2;84;91
25,Seals,Host,Seals,2
26,Bacteria,Pathogen,Bacteria,2;72;97
27,Herpesvirus,Pathogen,Herpesvirus,2
28,Adrenal glands,Tissue,,2;70
29,Kidney cell lines,Cell line,,2
30,Phocine adrenal and kidney cell lines,Cell line,,2
31,California,Location,,2;3;45
32,USA,Location,,2;3;10;25;44;48;60;63;70;71;87;91;94
33,Central and northern California,Location,,2
34,Thymic atrophy,Disease,Thymic atrophy,2
35,Multifocal hepatic necrosis,Disease,Multifocal hepatic necrosis,2
36,Lymphopenia,Disease,Lymphopenia,2
37,Omphalophlebitis,Disease,Omphalophlebitis,2
38,Pneumonia,Disease,Pneumonia,2;5
39,Gastroenteritis,Disease,Gastroenteritis,2
40,Sepsis,Disease,Sepsis,2
41,Adrenal necrosis,Disease,Adrenal necrosis,2
42,Island Fox,Species,,3;45
43,Urocyon littoralis,Scientific Name,,3;45
44,Channel Islands,Location,,3
45,Canine Adenovirus,Pathogen,Canine Adenovirus,3;12
46,Canine Herpesvirus,Pathogen,Canine Herpesvirus,3
47,Canine Coronavirus,Pathogen,Canine Coronavirus,3
48,Leptospirosis,Disease,Leptospirosis,3;20
49,Toxoplasmosis,Disease,Toxoplasmosis,3
50,Pestivirus,Pathogen,Pestivirus,4;5
51,Chamois,Host,Chamois,4;33
52,Rupicapra pyrenaica pyrenaica,Host,Rupicapra pyrenaica pyrenaica,4;5
53,Border disease virus cluster,Pathogen,Border disease virus cluster,4
54,Pyrenean chamois,Host,Pyrenean chamois,4
55,Northeastern Spain,Location,,4
56,2001-02,Time,,4;43
57,Border disease virus,Pathogen,Border disease virus,5
