source_id,source_text,target_id,target_text,relation_type,doc_id
1,Connecticut,2,United States,location,59826
1,Connecticut,5,Northeastern United States,location,59826
4,Dogs,3,Leptospirosis,infection,59826
6,Raccoons,3,Leptospirosis,exposure,59826
6,Raccoons,10,Leptospira,exposure,59826
6,Raccoons,11,Serovars,exposure,59826
6,Raccoons,12,Pomona,exposure,59826
6,Raccoons,13,Icterohemorrhagiae,exposure,59826
7,Skunks,3,Leptospirosis,exposure,59826
7,Skunks,10,Leptospira,exposure,59826
7,Skunks,11,Serovars,exposure,59826
7,Skunks,16,Grippotyphosa,exposure,59826
8,Opossums,10,Leptospira,exposure,59826
8,Opossums,11,Serovars,exposure,59826
9,Gray squirrels,3,Leptospirosis,exposure,59826
9,Gray squirrels,10,Leptospira,exposure,59826
9,Gray squirrels,11,Serovars,exposure,59826
9,Gray squirrels,16,Grippotyphosa,exposure,59826
9,Gray squirrels,14,Canicola,exposure,59826
17,Canine parvovirus (CPV-2),22,jackals,found in,58605
18,Canine distemper virus (CDV),22,jackals,found in,58605
19,Rabies virus,22,jackals,found in,58605
20,Ehrlichia canis,22,jackals,found in,58605
21,Kenya,22,jackals,location of,58605
23,Black-backed jackals,17,Canine parvovirus (CPV-2),sampled for,58605
23,Black-backed jackals,18,Canine distemper virus (CDV),sampled for,58605
23,Black-backed jackals,19,Rabies virus,sampled for,58605
23,Black-backed jackals,20,Ehrlichia canis,sampled for,58605
25,Golden jackals,17,Canine parvovirus (CPV-2),sampled for,58605
27,Side-striped jackals,17,Canine parvovirus (CPV-2),sampled for,58605
27,Side-striped jackals,18,Canine distemper virus (CDV),sampled for,58605
22,Jackals,29,African ecosystems,found in,58605
33,Pacific harbor seals,43,Herpesvirus,infection,59830
33,Pacific harbor seals,57,Coast,stranding,59830
33,Pacific harbor seals,34,California,stranding,59830
33,Pacific harbor seals,58,Central California,stranding,59830
33,Pacific harbor seals,59,Northern California,stranding,59830
33,Pacific harbor seals,55,Rehabilitation,dying,59830
33,Pacific harbor seals,35,USA,dying,59830
37,Adrenal glands,43,Herpesvirus,necrosis,59830
37,Adrenal glands,38,DNA,inclusion bodies,59830
48,Phocine adrenal cell lines,46,Adrenal tissue homogenate,cytopathic effect,59830
49,Phocine kidney cell lines,46,Adrenal tissue homogenate,cytopathic effect,59830
77,Cell cultures,46,Adrenal tissue homogenate,cytopathic effect,59830
77,Cell cultures,43,Herpesvirus,viral particles,59830
39,Seals,84,Average,birth weight,59830
39,Seals,33,Pacific harbor seals,species,59830
85,Urocyon littoralis,86,Channel Islands,was surveyed,59699
86,Channel Islands,34,California,is located in,59699
86,Channel Islands,35,USA,is located in,59699
85,Urocyon littoralis,87,canine adenovirus,has antibody against,59699
85,Urocyon littoralis,,canine parvovirus,has antibody against,59699
85,Urocyon littoralis,88,canine herpesvirus,has low antibody against,59699
85,Urocyon littoralis,89,canine coronavirus,has low antibody against,59699
85,Urocyon littoralis,3,leptospirosis,has low antibody against,59699
85,Urocyon littoralis,90,toxoplasmosis,has low antibody against,59699
91,Pyrenean Chamois,94,Pestivirus,associated with,59904
