"","entity","deepseek","gemma2","llama","llama70b","mistral","models_present","n_entity_types"
"1","36%","Proportion of individuals that died","Proportion",NA,"Proportion","Proportion of individuals that died",4,2
"2","Connecticut","Location","Location","US State","Location","Location",5,2
"3","peridomestic wildlife","Animal source",NA,"Host","Host","Host",4,2
"4","Leptospira","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"5","leptospirosis","Disease","Disease","Disease","Disease","Disease",5,1
"6","raccoons","Host","Host","Host","Host","Host",5,1
"7","Procyon lotor","Host","Host","Host","Host","Host",5,1
"8","skunks","Host","Host","Host","Host","Host",5,1
"9","Mephitis mephitis","Host","Host","Host","Host","Host",5,1
"10","opossums","Host","Host","Host","Host","Host",5,1
"11","Didelphis virginiana","Host","Host","Host","Host","Host",5,1
"12","gray squirrels","Host","Host","Host","Host","Host",5,1
"13","Sciurus carolinensis","Host","Host","Host","Host","Host",5,1
"14","serovars","Serovar",NA,NA,NA,NA,1,1
"15","pomona","Host",NA,NA,NA,NA,1,1
"16","icterohemorrhagiae","Disease",NA,NA,NA,NA,1,1
"17","canicola","Pathogen",NA,NA,NA,NA,1,1
"18","hardjo","Pathogen",NA,NA,NA,NA,1,1
"19","grippotyphosa","Pathogen",NA,NA,NA,NA,1,1
"20","13%","Measurement","Proportion",NA,"Proportion","Proportion of individuals that died",4,3
"21","31","Measurement","Number of individuals that died",NA,NA,"Unknown",3,3
"22","28","Measurement","Number of individuals that died",NA,NA,"Unknown",3,3
"23","February 27","Date","Date","Date","Date","Date",5,1
"24","September 17","Date","Date","Date","Date","Date",5,1
"25","domestic dogs","Host","Host",NA,"Host","Host",4,1
"26","rabies virus","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"27","canine parvovirus (CPV-2)","Pathogen","Pathogen","Virus","Pathogen","Pathogen",5,2
"28","canine distemper virus (CDV)","Pathogen","Pathogen","Virus","Pathogen","Pathogen",5,2
"29","Ehrlichia canis","Pathogen","Pathogen","Pathogen","Pathogen","Pathogen",5,1
"30","black-backed jackals","Host","Animal","Host","Host","Species",5,3
"31","Canis mesomelas","Host","Host","Host","Host","hosts",5,2
"32","golden jackals","Host","Host","Mammal","Host","Host",5,2
"33","C. aureus","Host","Host","Host","Host","Host",5,1
"34","side-striped jackals","Host","Host","Host","Host","Species",5,2
"35","C. adustus","Host","Host","Host","Host","hosts",5,2
"36","four localities","Geographic location",NA,NA,NA,NA,1,1
"37","76","Number of individuals that died",NA,NA,NA,NA,1,1
"38","April 1987","Date","Time Period","Time period","Date","Date",5,3
"39","January 1988","Date","Date","Time period","Date","Time",5,3
"40","34%","Prevalence","Prevalence",NA,"Proportion","Proportion of individuals that died",4,3
"41","14 positive/55 sampled","Prevalence",NA,NA,NA,NA,1,1
"42","9%","Prevalence",NA,NA,"Proportion","Proportion of individuals that died",3,3
