absID,Host,Pathogen
60475,white-tailed deer,Borrelia burgdorferi
60058,Bison bison,Pasteurella spp.
60058,,Pasteurella haemolytica
60058,,Pasteurella multocida
60289,common seals,Brucella spp.
60289,harbour porpoises,lungworms (Parafilaroides spp.)
60289,grey seals,
57739,Ursus arctos horribilis,Canine distemper virus
57739,Ursus americanus,Infectious hepatitis virus
57739,,Brucella spp.
57739,,Francisella tularensis
57739,,Trichinella spp.
57006,Cystophora cristata,Morbillivirus
57006,Phoca groenlandica,Phocine distemper virus
60434,brushtail possum,Mycobacterium bovis
60434,stoat,
60434,hare,
60232,southern sea otters,Profilicollis altmani
60232,,P. kenti
60232,,P. major
60232,,Corynosoma enhydri
60232,,Microphallus pirum
60232,,M. nicolli
60232,,Plenosoma minimum
60457,Columbian black-tailed deer,Hair loss syndrome (HLS)
60457,Black-tailed deer,
60010,Capreolus capreolus,Dictyocaulus capreolus
60010,Alces alces,Dictyocaulus eckerti
60010,Dama dama,Dictyocaulus sp.
60010,Cervus elaphus,
60010,Rangifer tarandus,
60358,Macaque monkey,Entamoeba dispar
60358,Macaca fuscata,Entamoeba histolytica
60261,Wild little grisons,Dioctophyme renale
60261,Galictis cuja,
60218,Cynictis penicillata,Babesia cynicti
60218,Rooiwal population,
60218,Ermelo population,
60218,Potchefstroom population,
60761,Japanese black bear (Ursus thibetanus japonicus),Hepatozoon ursi n. sp.
60761,,Hepatozoon spp.
60352,Felis rufus,Toxoplasma gondii
60154,red colobus,Cryptosporidium sp.
60154,red-tailed guenon,Giardia sp.
60154,black-and-white colobus,
60431,Hawaiian monk seal,phocine herpesvirus-1
60431,,Leptospira bratislava
60431,,L. hardjo
60431,,L. icterohaemorrhagiae
60431,,L. pomona
60431,,Brucella spp.
60431,,Chlamydophila abortus
60431,,Toxoplasma gondii
60431,,Dirofilaria immitis
58927,Calomys laucha,Junin virus
58927,C. musculinus,
60757,Polar bear,Canine distemper virus (CDV)
60757,Seal,Calicivirus
60757,,Phocid herpesvirus type 1 (PhHV-1)
60757,,Rabies virus
58559,Blastocerus dichotomus,rabies virus
58559,Mazama americana,
58559,Hydrochoerus hydrochaeris,
58559,Cerdocyon thous,
58559,Artibeus lituratus,
59104,swift fox,canine parvovirus (CPV)
59104,kit fox,canine distemper virus (CDV)
59104,,vesicular stomatitis New Jersey
59104,,vesicular stomatitis Indiana
59104,,Cache Valley virus
59104,,Jamestown Canyon virus
59104,,rabies virus
59104,,Colorado tick fever virus
59104,,western equine encephalitis virus
59104,,Yersinia pestis
59104,,Francisella tularensis
59104,,Borrelia burgdorferi
60414,Procyon lotor,Raccoon variant rabies virus
60414,Mephitis mephitis,
58978,California sea lion,Astrovirus
58978,Steller sea lion,Astrovirus
58978,Bottlenose dolphin,Astrovirus
58978,,Recombination event between human and California sea lion astrovirus
59109,mule deer (Odocoileus hemionus hemionus),Jamestown Canyon virus
59109,mule deer (Odocoileus hemionus californicus),Jerry Slough virus
59109,mule deer (Odocoileus hemionus inyoensis),Northway virus
59109,black-tailed deer (O. hemionus columbianus),California encephalitis virus
59109,,La Crosse virus
59109,,snowshoe hare virus
59109,,Cache Valley virus
59109,,Lokern virus
59109,,Main Drain virus
