entity_id,entity,type,latin_name,doc_ids
1,Perch rhabdovirus,Pathogen,,1
2,grayling,Common name,,1
3,Thymallus thymallus,Host,Thymallus thymallus,1
4,Finnish fish farms,Location,,1
5,farmed grayling,Animal source,,1
6,Thymallus thymallus fry,Stage of development,,1
7,summer months,Time period,,1
8,July,Month,,1
9,neurological disorders,Disease,,1
10,peritonitis,Disease,,1
11,virus,Pathogen,,1;59
12,glycoprotein (G),Protein,,1
13,RNA polymerase (L),Protein,,1
14,gene sequences,Measurement,,1
15,nucleotide identity,Measurement,,1;5
16,Phylogenetic analysis,Process,,1;3;22;35;39;43;50;79;92;95;97
17,Baltic Sea,Location,,1
18,Perca fluviatilis,Host,Perca fluviatilis,1
19,Salmo trutta trutta,Host,Salmo trutta trutta,1
20,France,Location,,1;30
21,2004,Year,,1;8;63;64
22,Danish isolate DK5533,Pathogen,,1
23,pike,Host,pike,1
24,Finnish brown trout isolate ka907_87,Pathogen,,1
25,immunofluorescence antibody test,Process,,1
26,grayling isolates,Measurement,,1
27,PRV,Pathogen,,1
28,Avian myeloblastosis virus,Pathogen,,2
29,Myeloblastosis Associated Virus,Pathogen,,2
30,Reverse Transcriptase,Protein,,2;23
31,Envelope,Protein,,2
32,Molecular basis,Concept,,2
33,Biological dependence,Concept,,2
34,Scientific community,Group,,2
35,Younger scientists,Group,,2
36,Human Vaccinia virus,Pathogen,,3
37,Pseudocowpox virus,Pathogen,,3
38,Bovine vaccinia,Disease,,3
39,Milker's nodule,Disease,,3
40,Brazil,Location,,3;14;55;58;80
41,Rural areas,Location,,3
42,Farmers,Host,Farmers,3
43,Milk herds,Host,Milk herds,3
44,Cattle,Host,Cattle,3;8;16;41;44;47;59;73;94
45,Lesions,Symptom,,3;29;65;88
46,Fever,Symptom,,3
47,Headache,Symptom,,3
48,Malaise,Symptom,,3;17
49,Myalgia,Symptom,,3
50,Lymphadenopathy,Symptom,,3
51,PCR,Test,,3;22;35;36;46;50;84;96
52,Serological tests,Test,,3
53,Molecular assays,Test,,3
54,Dairy cattle,Host,Dairy cattle,3
55,Occupational exanthematic diseases,Disease,,3
56,Public health impact,Impact,,3
57,Economical losses,Impact,,3
58,SIV,Pathogen,,4
59,SIVsm,Pathogen,,4
60,Sooty mangabey,Common name,,4
61,Cercocebus atys,Host,Cercocebus atys,4
62,E041,Host,E041,4
63,Simian immunodeficiency virus,Disease,,4;11;50;60
64,AIDS,Disease,,4;11
65,Simian T-cell leukemia virus,Pathogen,,4;46
66,B-cell lymphoma,Disease,,4
67,CD4(+)-cell,Cell type,,4
68,p27 core antibody,Antibody,,4
69,Giant cell disease,Disease,,4
70,Plasma virus load,Measurement,,4
71,Viral replication,Process,,4
72,Macaque,Host,Macaque,4;7
73,African hosts,Location,,4
74,Humans,Host,Humans,4;9;33;39;62;75
75,Wild,Location,,4
76,SMs,Host,SMs,4
77,Adeno-associated viruses,Pathogen,,5
78,bats,Host,bats,5
79,China,Location,,5;8;21;76;92
80,19 bat species,Host,19 bat species,5
81,faecal swab samples,Sample,,5
82,370,Number of samples,,5
83,22.4%,Proportion of samples positive,,5
84,83,Number of positive samples,,5
85,10,Minimum proportion of positive samples,,5;63
86,38.9%,Maximum proportion of positive samples,,5
87,rep-cap ORFs,Genomic region,,5
88,BtAAV-YNM,Pathogen,,5
89,primate AAVs,Pathogen,,5
90,porcine AAV strain Po3,Pathogen,,5
91,partial cap ORF sequences,Genomic region,,5
92,bat AAV samples,Sample,,5
93,49,Number of samples,,5
94,84.3%,Proportion of nucleotide identity,,5
95,genetic diversity,Property,,5
96,distinctive genotypes,Property,,5
97,individual sample,Sample,,5
98,Avian myelocytomatosis virus,Pathogen,,6
99,MC29,Strain,,6
100,chicken,Host,chicken,6
101,myelocytomas,Disease,,6
102,tumors of kidney and liver,Disease,,6
103,v-myc gene,Gene,,6
104,c-myc gene,Gene,,6
105,lymphoid leukosis virus,Pathogen,,6
106,HBI,Strain,,6
107,T cells,Cell type,,6
108,B cells,Cell type,,6
109,bursa,Organ,,6
110,p 108,Protein,,6
111,proviral DNA,Molecule,,6;8
112,c-myc,Gene,,6
113,gag-myc fusion protein,Protein,,6
114,tumor cells,Cell type,,6;99
115,target-cell specificity,Property,,6
116,transformation,Process,,6
117,mechanism,Property,,6
118,Macaca cyclopis,Host,Macaca cyclopis,7
119,Type D retrovirus,Pathogen,,7
120,Mason-Pfizer monkey virus,Pathogen,,7
121,Macaca mulatta,Host,Macaca mulatta,7
122,T-lymphocyte,Cell type,,7
123,Immunodeficiency syndrome,Disease,,7
124,Opportunistic infections,Disease,,7
125,Lymphoproliferative abnormalities,Disease,,7
126,Mammary tumor,Disease,,7
127,Rhesus monkey,Common name,,7
128,Bovine foamy virus,Pathogen,,8
129,Bovine spumaretrovirus,Scientific name,,8
130,Germany,Location,,8;44
131,Poland,Location,,8
132,BFV-Riems,Isolate,,8
133,BFV100,Isolate,,8
134,East Germany,Location,,8
135,1978,Year,,8
136,European clade,Group,,8
137,United States,Location,,8
138,FV,Group,,8
139,env-bel coding region,Region,,8
