entity_id,entity,type,latin_name,doc_ids
1,Perch rhabdovirus,Pathogen,,1
2,Grayling,Host,Grayling,1
3,Thymallus thymallus,Host,Thymallus thymallus,1
4,Perca fluviatilis,Host,Perca fluviatilis,1
5,Salmo trutta trutta,Host,Salmo trutta trutta,1
6,Pike,Host,Pike,1
7,Finnish fish farms,Location,,1
8,Baltic Sea,Location,,1
9,France,Location,,1;30;91
10,Denmark,Location,,1;59;77
11,Avian Myeloblastosis Virus,Virus,,2
12,Myeloblastosis Associated Virus,Virus,,2
13,Pseudocowpox virus,pathogen,,3
14,Human,host,Human,3;13;19;45
15,Bovine,host,Bovine,3;8;16
16,Brazil,location,,3;14;55;58;80
17,Rural areas,location,,3
18,Milk herds,location,,3
19,Farmers,host,Farmers,3
20,Milkers,host,Milkers,3
21,Close contacts,host,Close contacts,3
22,Lesions,symptom,,3
23,Fever,symptom,,3
24,Malaise,symptom,,3
25,Myalgia,symptom,,3
26,Axillary lymphadenopathy,symptom,,3
27,Inguinal lymphadenopathy,symptom,,3
28,Cervical lymphadenopathy,symptom,,3
29,PCR,test,,3;22
30,Phylogenetic analysis,test,,3;19;22;79;92
31,Serological tests,test,,3
32,Molecular assays,test,,3
33,Dairy cattle,host,Dairy cattle,3
34,Occupational exanthematic diseases,disease,,3
35,Public health impact,consequence,,3
36,Economical losses,consequence,,3
37,SIV,pathogen,,4;11
38,SIVsm,pathogen,,4
39,Sooty mangabey,host,Sooty mangabey,4
40,Cercocebus atys,scientific name,,4
41,AIDS,disease,,4
42,Simian immunodeficiency virus,pathogen,,4;50;60
43,Simian T-cell leukemia virus,pathogen,,4;18;46
44,B-cell lymphoma,disease,,4
45,CD4(+)-cell,cell type,,4
46,p27 core antibody,antibody,,4
47,E041,individual,,4
48,SM,host,SM,4
49,Macaca,host,Macaca,4
50,African hosts,host,African hosts,4
51,Humans,host,Humans,4;9;33;39;62;75
52,bats,organism,,5
53,China,location,,5;8;21;76;92
54,adeno-associated viruses,pathogen,,5
55,primates,organism,,5;35;45
56,porcine AAV strain Po3,pathogen,,5
57,BtAAV-YNM,pathogen,,5
58,rep-cap ORFs,genetic sequence,,5
59,cap ORF sequences,genetic sequence,,5
60,bat AAV samples,sample,,5
61,individual sample,sample,,5
62,avian myelocytomatosis virus,pathogen,,6
63,MC29,pathogen,,6
64,HBI,pathogen,,6
65,chicken,host,chicken,6
66,lymphomas,disease,,6
67,myelocytomas,disease,,6
68,tumors of kidney and liver,disease,,6
69,v-myc gene,gene,,6
70,c-myc gene,gene,,6
71,lymphoid leukosis virus,pathogen,,6
72,T cells,cell type,,6;11
73,B cells,cell type,,6
74,Macaque,Host,Macaque,7
75,Macaca cyclopis,Host,Macaca cyclopis,7
76,Mason-Pfizer monkey virus,Pathogen,,7
77,Macaca mulatta,Host,Macaca mulatta,7
78,Type D retrovirus,Pathogen,,7
79,Bovine foamy virus,Pathogen,,8
80,Germany,Location,,8;44
81,Poland,Location,,8
82,East Germany,Location,,8
83,United States,Location,,8
84,BFV-Riems,Pathogen,,8
85,BFV100,Pathogen,,8
86,Foamy viruses,Pathogen,,8
87,env-bel coding region,Region,,8
88,Simian foamy virus,Pathogen,,9
89,Apes,Host,Apes,9
90,Rural Cameroon,Location,,9
91,Nonhuman primates,Host,Nonhuman primates,9;10;13;22;32;33
92,Gorillas,Host,Gorillas,9;18
93,Chimpanzees,Host,Chimpanzees,9
94,Monkeys,Host,Monkeys,9;33
95,Southern Cameroon,Location,,9
96,Human parainfluenza virus type 3,Pathogen,,10
97,HPIV3,Pathogen,,10
98,Baboons,Host,Baboons,10;66
99,Vervet monkeys,Host,Vervet monkeys,10
100,Zambia,Location,,10;84
101,African green monkeys,Host,African green monkeys,11;18;50
102,Sooty mangabey monkeys,Host,Sooty mangabey monkeys,11
103,Asian macaques,Host,Asian macaques,11
104,Primate lentiviruses,Pathogen,,11
105,CD4(+) T cells,Cell type,,11
106,Virus,Pathogen,,11;51
107,avian sarcoma virus Y73,virus,,12
108,polyprotein p90,protein,,12
109,transforming gene (yas),gene,,12
110,helper virus,virus,,12
111,avian leukemia viruses,virus,,12
112,mammalian leukemia viruses,virus,,12
113,T-lymphotropic viruses,pathogen,,13;22;39
114,HTLV-1,pathogen,,13;39
115,STLV-1,pathogen,,13;39
116,central African bushmeat hunters,host,central African bushmeat hunters,13
117,primate pets,host,primate pets,13
118,NHP blood and body fluids,vector,,13
119,Flavobacterium columnare,Species,,14
120,Fish,Host,Fish,14;24
121,Genomovar I,Genomovar,,14
122,Genomovar II,Genomovar,,14
123,Channel catfish,Host,Channel catfish,14
124,Tilapia,Host,Tilapia,14
125,US,Location,,14
126,16S rDNA gene,Gene,,14
127,Intergenic spacer region (ISR),Region,,14
128,Amplified fragment length polymorphism (AFLP),Technique,,14
129,Restriction fragment length polymorphism analysis,Technique,,14;33
130,Jaagsiekte sheep retrovirus,Pathogen,,15
131,Ovine pulmonary adenocarcinoma,Disease,,15
132,Sheep,Host,Sheep,15;29
133,Goats,Host,Goats,15;29
134,JSRV,Pathogen,,15
135,Retroviral genomic RNA,Entity,,15
136,Gag protein,Entity,,15
137,Rej,Entity,,15
138,Envelope protein,Entity,,15;85
139,Oncogene,Entity,,15
140,group C rotavirus,pathogen,,16
141,adult cows,host,adult cows,16
142,Shintoku,pathogen,,16
143,WD534tc,pathogen,,16
144,Yamagata,pathogen,,16
145,VP6,gene,,16
146,VP7,gene,,16
147,cattle,host,cattle,16;41;44;59;73;94
148,porcine,host,porcine,16
149,Sanguinus oedipus,Species,,17
150,Francisella tularensis,Pathogen,,17
151,Escherichia coli,Pathogen,,17;89
152,Salmonella,Pathogen,,17
153,Yersinia,Pathogen,,17
154,Toxoplasma gondii,Pathogen,,17;34;49;51;72;80
155,Lymphocytic choriomeningitis,Pathogen,,17
156,Tularemia,Disease,,17
157,Septic tularemia,Disease,,17
158,Cottontop tamarins,Host,Cottontop tamarins,17
159,Rodent,Host,Rodent,17
160,Arthropod,Vector,,17
161,Aerosol,Transmission,,17
162,STLV,Pathogen,,18;22;39
163,HTLV,Pathogen,,18;22;39;46
164,Primate T-cell leukemia viruses,Pathogen,,18
165,Agile mangabeys,Host,Agile mangabeys,18
166,Cercocebus agilis,Host,Cercocebus agilis,18
167,Mandrills,Host,Mandrills,18
168,Crested mona and greater spot-nosed monkeys,Host,Crested mona and greater spot-nosed monkeys,18
169,Mustached monkeys,Host,Mustached monkeys,18
170,Talapoins,Host,Talapoins,18
171,Cameroon,Location,,18;22;39
172,Africa,Location,,18;45
173,Eritrea,Location,,18
174,Cruoricaptor ignavus,Species,,19
175,Flavobacteriaceae,Family,,19
176,IMMIB L-12475(T),Strain,,19
177,Bacterium,Pathogen,,19;49;51
178,Blood culture,Sample,,19
179,16S rRNA gene,Sequence,,19;21
180,Fatty acid profile,Characteristics,,19
181,Menaquinone MK-6,Respiratory quinone,,19
182,Polyamine pattern,Characteristics,,19
183,Phospholipids,Components,,19
184,Phosphatidylethanolamine,Phospholipid,,19
185,Unknown phospholipid,Phospholipid,,19
186,Genomic DNA,Component,,19
187,G+C content,Measurement,,19
188,DSM 25479(T),Strain,,19
189,CCUG 62025(T),Strain,,19
190,Brevundimonas vancanneytii,Species,,20
191,Brevundimonas diminuta,Species,,20
192,Brevundimonas terrae,Species,,20
193,LMG 2337(T),Strain,,20
194,LMG 2089(T),Strain,,20
195,KSL-145(T),Strain,,20
196,CCUG 1797(T),Strain,,20
197,ATCC 14736(T),Strain,,20
198,Patient,Host,Patient,20
199,Endocarditis,Disease,,20
200,Wohlfahrtiimonas chitiniclastica,Pathogen,,21
201,W. chitiniclastica,Pathogen,,21
202,cow,Host,cow,21
203,Shandong,Location,,21
204,matrix-assisted laser desorption/ionization time-of-flight mass spectrometry,Molecular Test,,21
205,antimicrobial susceptibility testing,Molecular Test,,21
206,mouse,Host,mouse,21;98
207,hoof fetlow,Disease,,21
208,hoof pus,Tissue,,21
209,Retroviruses,Pathogen,,22
210,Hunters,Host,Hunters,22
211,Cercopithecus mona,Host,Cercopithecus mona,22
212,C. nictitans,Host,C. nictitans,22
213,Peripheral blood mononuclear cell DNA,Entity,,22
214,DBS,Entity,,22
215,Long terminal repeat primers,Entity,,22
