source_id,source_text,target_id,target_text,relation_type,doc_id
1,Perch rhabdovirus,1,Perch rhabdovirus,is classified as,1
1,Perch rhabdovirus,4,Perca fluviatilis,is isolated from,1
1,Perch rhabdovirus,5,Salmo trutta trutta,is isolated from,1
1,Perch rhabdovirus,8,Baltic Sea,is isolated from,1
1,Perch rhabdovirus,,PRV isolated in France in 2004,is similar to,1
1,Perch rhabdovirus,,Danish isolate DK5533 from pike,is similar to,1
2,Grayling,1,Perch rhabdovirus,is infected with,1
7,Finnish fish farms,2,Grayling,experience elevated mortality rates in,1
7,Finnish fish farms,,Thymallus thymallus fry,experience elevated mortality rates in,1
,Finnish grayling isolates,,PRV isolated in France in 2004,are most closely related to,1
,Finnish grayling isolates,,Danish isolate DK5533 from pike,are most closely related to,1
3,Thymallus thymallus,2,Grayling,is a species of,1
4,Perca fluviatilis,,Perch,is a species of,1
5,Salmo trutta trutta,,Sea trout,is a species of,1
8,Baltic Sea,,Perch rhabdovirus is isolated from,is a location where,1
9,France,,PRV is isolated,is a location where,1
10,Denmark,,Danish isolate DK5533 from pike is isolated,is a location where,1
11,Avian Myeloblastosis Virus,,Avian Myeloblastosis Virus RT,produces,2
11,Avian Myeloblastosis Virus,12,Myeloblastosis Associated Virus,requires,2
12,Myeloblastosis Associated Virus,138,Envelope protein,produces,2
12,Myeloblastosis Associated Virus,,RT protein,produces,2
13,Pseudocowpox virus,,Vaccinia virus,co-infection,3
13,Pseudocowpox virus,,Milker's nodule,agent,3
,Vaccinia virus,,Bovine vaccinia,agent,3
13,Pseudocowpox virus,,Milker's nodule,agent,3
13,Pseudocowpox virus,,Bovine infection,associated with,3
,Vaccinia virus,,Bovine infection,associated with,3
13,Pseudocowpox virus,,Brazilian rural areas,found in,3
13,Pseudocowpox virus,18,Milk herds,found in,3
19,Farmers,,"Hands, forearms, legs and face",developed lesions,3
19,Farmers,,"Fever, headache, malaise, myalgia",developed systemic symptoms,3
19,Farmers,,"Axillary, inguinal and cervical",developed lymphadenopathy,3
19,Farmers,147,Cattle,had close contact with,3
147,Cattle,,Teats,had notable injuries,3
14,Human,,Skin lesion,developed lesions,3
14,Human,,"Fever, headache, malaise, myalgia",developed systemic symptoms,3
14,Human,,"Axillary, inguinal and cervical",developed lymphadenopathy,3
14,Human,147,Cattle,had occupational contact with,3
14,Human,,Anti-VACV neutralizing antibodies,had serological tests,3
14,Human,,VACV and PCPV DNA in the patient sera,had molecular tests,3
33,Dairy cattle,,Present study,had vacv and pcpv,3
37,SIV,39,Sooty mangabey,infects,4
38,SIVsm,39,Sooty mangabey,infects,4
38,SIVsm,,SM E041,infects,4
43,Simian T-cell leukemia virus,,SM E041,antibody negative,4
44,B-cell lymphoma,,SM E041,develops,4
45,CD4(+)-cell,,SM E041,decline,4
46,p27 core antibody,,SM E041,loss,4
41,AIDS,,SM E041,develops,4
41,AIDS,51,Humans,develops,4
41,AIDS,49,Macaca,develops,4
37,SIV,50,African hosts,infects,4
52,bats,,natural reservoirs of,are recognized as,5
60,bat AAV samples,,partial cap ORF sequences,have,5
61,individual sample,,multiple distinctive genotypes of bat AAV,can have,5
62,avian myelocytomatosis virus,66,lymphomas,induces,6
62,avian myelocytomatosis virus,67,myelocytomas,induces,6
62,avian myelocytomatosis virus,68,tumors of kidney and liver,induces,6
63,MC29,,neoplastic diseases,induces,6
63,MC29,69,v-myc gene,has,6
