source_id,source_text,target_id,target_text,relation_type,doc_id
1,Thymallus thymallus,2,Perch rhabdovirus,infected by,1
1,Thymallus thymallus,10,Finland,caught from,1
3,Perca fluviatilis,2,Perch rhabdovirus,infected by,1
4,Salmo trutta trutta,2,Perch rhabdovirus,infected by,1
4,Salmo trutta trutta,5,Baltic Sea,caught from,1
2,Perch rhabdovirus,6,France,isolated from,1
2,Perch rhabdovirus,7,Denmark,isolated from,1
8,Pike,2,Perch rhabdovirus,infected by,1
9,Brown trout,2,Perch rhabdovirus,infected by,1
10,Finland,1,Thymallus thymallus,location of,1
5,Baltic Sea,4,Salmo trutta trutta,location of,1
11,Avian Myeloblastosis Virus,13,Reverse Transcriptase,produces,2
11,Avian Myeloblastosis Virus,12,Myeloblastosis Associated Virus,requires,2
11,Avian Myeloblastosis Virus,,Envelope,produces,2
,Avian Myeloblastosis Virus RT,13,Reverse Transcriptase,is,2
12,Myeloblastosis Associated Virus,,Envelope,produces,2
12,Myeloblastosis Associated Virus,13,Reverse Transcriptase,produces,2
14,Pseudocowpox virus,,Vaccinia virus,co-infection,3
14,Pseudocowpox virus,16,Bovine,infection,3
,Vaccinia virus,16,Bovine,infection,3
14,Pseudocowpox virus,15,Human,infection,3
,Vaccinia virus,15,Human,infection,3
14,Pseudocowpox virus,22,Cattle,infection,3
,Vaccinia virus,22,Cattle,infection,3
14,Pseudocowpox virus,23,Teats,infection,3
14,Pseudocowpox virus,24,Lesions,infection,3
14,Pseudocowpox virus,25,Fever,infection,3
14,Pseudocowpox virus,26,Malaise,infection,3
14,Pseudocowpox virus,27,Myalgia,infection,3
14,Pseudocowpox virus,28,Lymphadenopathy,infection,3
14,Pseudocowpox virus,29,PCR,detected by,3
14,Pseudocowpox virus,30,Phylogenetic analysis,detected by,3
14,Pseudocowpox virus,31,Serological tests,detected by,3
14,Pseudocowpox virus,32,Molecular assays,detected by,3
14,Pseudocowpox virus,33,DNA,detected in,3
14,Pseudocowpox virus,34,Antibodies,detected in,3
14,Pseudocowpox virus,,Patient sera,detected in,3
14,Pseudocowpox virus,,Dairy cattle,detected in,3
35,Epidemiological surveillance,,Control of both diseases,essential for,3
36,Medical treatment,,Control of both diseases,essential for,3
37,SIV,39,Sooty mangabey,infects,4
38,SIVsm,39,Sooty mangabey,infects,4
38,SIVsm,41,AIDS,causes,4
38,SIVsm,39,Sooty mangabey,replicates,4
44,B-cell lymphoma,39,Sooty mangabey,develops,4
45,CD4(+)-cell,39,Sooty mangabey,declines,4
46,p27 core antibody,39,Sooty mangabey,is lost,4
38,SIVsm,39,Sooty mangabey,replicates,4
47,Giant cell disease,39,Sooty mangabey,develops,4
41,AIDS,48,Humans,develops,4
41,AIDS,49,Macaques,develops,4
51,bats,53,adeno-associated viruses,are natural reservoirs of,5
53,adeno-associated viruses,54,primates,are distributed in,5
53,adeno-associated viruses,51,bats,are distributed in,5
51,bats,53,adeno-associated viruses,were examined for the presence of,5
56,BtAAV-YNM,53,adeno-associated viruses,is a type of,5
56,BtAAV-YNM,55,porcine AAV strain Po3,is phylogenetically closer to,5
,bat AAV samples,,partial cap ORF sequences,had a remarkably large genetic diversity,5
59,avian myelocytomatosis virus,,lymphomas in chickens,induces,6
61,MC29,,neoplastic diseases in chicken,induces,6
62,v-myc gene,,myelocytomas and tumors of kidney and liver,causes,6
63,c-myc gene,,lymphoid tumors,associated with,6
64,lymphoid leukosis virus,,activates c-myc gene,insertion of genome,6
65,HBI,,myc gene containing c-myc sequences,has,6
65,HBI,,some v-myc sequences,has,6
65,HBI,,results in lymphoid tumors,inoculation into chickens,6
65,HBI,,results in tumors independent of bursa,inoculation into chickens,6
65,HBI,,results in tumors made up of T and B cells,inoculation into chickens,6
69,HBI proviral DNA,,36 of 39 tumors analyzed,found in,6
,"HBI gag-myc fusion protein, p 108",892,tumor cells,detected in,6
,Macaque,75,type D retrovirus,has,7
,Macaque,77,opportunistic infections,has,7
,Macaque,78,lymphoproliferative abnormalities,has,7
,Macaque,76,T-lymphocyte,has,7
73,Macaca cyclopis,75,type D retrovirus,has,7
74,Mason-Pfizer monkey virus,75,type D retrovirus,is related to,7
74,Mason-Pfizer monkey virus,75,type D retrovirus,is distinct from,7
74,Mason-Pfizer monkey virus,79,rhesus monkey,was isolated from,7
79,rhesus monkey,80,Macaca mulatta,is a,7
81,Bovine foamy virus,82,Germany,isolated in,8
81,Bovine foamy virus,83,Poland,isolated in,8
81,Bovine foamy virus,84,East Germany,isolated in,8
81,Bovine foamy virus,52,China,isolated in,8
81,Bovine foamy virus,85,United States,isolated in,8
86,BFV-Riems,84,East Germany,isolated in,8
87,BFV100,83,Poland,isolated in,8
86,BFV-Riems,,bovine cells,propagated in,8
87,BFV100,,nonbovine cells,propagated in,8
86,BFV-Riems,87,BFV100,related to,8
86,BFV-Riems,,BFV isolates from China and the United States,similar to,8
87,BFV100,,BFV isolates from China and the United States,similar to,8
91,Apes,90,Simian foamy virus,transmission,9
91,Apes,48,Humans,transmission,9
93,Nonhuman primates,48,Humans,contact,9
94,Gorillas,48,Humans,contact,9
95,Chimpanzees,48,Humans,contact,9
96,Monkeys,48,Humans,contact,9
92,Rural Cameroon,,Simian foamy virus transmission,location,9
97,Southern Cameroon,48,Humans,location,9
97,Southern Cameroon,93,Nonhuman primates,location,9
97,Southern Cameroon,,Simian foamy virus transmission,location,9
15,Human,98,Parainfluenza virus type 3,is infected by,10
99,Baboons,98,Parainfluenza virus type 3,are infected by,10
99,Baboons,101,Zambia,are found in,10
100,Vervet monkeys,101,Zambia,are found in,10
99,Baboons,98,Parainfluenza virus type 3,have antibodies for,10
100,Vervet monkeys,98,Parainfluenza virus type 3,have antibodies for,10
