entity_id,entity,type,latin_name,doc_ids
1,Perch rhabdovirus,Pathogen,,1
2,Grayling,Host,Grayling,1
3,Thymallus thymallus,Host,Thymallus thymallus,1
4,Finnish fish farms,Location,,1
5,Finnish grayling isolates,Host,Finnish grayling isolates,1
6,Perca fluviatilis,Host,Perca fluviatilis,1
7,Salmo trutta trutta,Host,Salmo trutta trutta,1
8,Baltic Sea,Location,,1
9,France,Location,,1;30;91
10,Danish isolate DK5533,Pathogen,,1
11,Pike,Host,Pike,1
12,Finnish brown trout isolate ka907_87,Pathogen,,1
13,Brown trout,Host,Brown trout,1
14,RNA polymerase,Gene,,1
15,G gene,Gene,,1
16,L gene,Gene,,1
17,Neurological disorders,Disease,,1
18,Peritonitis,Disease,,1
19,Summer months,Time,,1
20,July,Time,,1
21,Years,Time,,1
22,Avian Myeloblastosis Virus,Pathogen,,2
23,Myeloblastosis Associated Virus,Pathogen,,2
24,Reverse Transcriptase,Protein,,2;23
25,Envelope,Protein,,2
26,Avian,Host,Avian,2;12
27,Scientific Community,Group,,2
28,Younger Scientists,Group,,2
29,Vaccinia virus,Pathogen,,3
30,Pseudocowpox virus,Pathogen,,3
31,Human,Host,Human,3;4;13;15;19;22;45
32,Bovine,Host,Bovine,3;8
33,Brazil,Location,,3;14;55;58;80
34,Rural areas,Location,,3
35,Milk herds,Location,,3
36,Farmers,Host,Farmers,3
37,Milkers,Host,Milkers,3
38,Close contacts,Host,Close contacts,3
39,Hands,Tissue,,3
40,Forearms,Tissue,,3
41,Legs,Tissue,,3
42,Face,Tissue,,3
43,Lesions,Disease,,3;29
44,Fever,Symptom,,3
45,Headache,Symptom,,3
46,Malaise,Symptom,,3;17
47,Myalgia,Symptom,,3
48,Lymphadenopathy,Symptom,,3
49,Cattle,Host,Cattle,3;8;16;41;44;47;59;73
50,Teats,Tissue,,3
51,PCR,Method,,3;17;35;39
52,Phylogenetic analysis,Method,,3;5;39;43;50;79;92;95;97
53,Serological tests,Method,,3
54,Molecular assays,Method,,3
55,DNA,Property,,3;57;61;78
56,Antibodies,Property,,3;31;51;56;69;72;73;75;80;87;91
57,Epidemiological surveillance,Process,,3
58,Medical treatment,Process,,3
59,Control,Process,,3
60,SIV,Pathogen,,4
61,SIVsm,Pathogen,,4
62,Sooty Mangabey,Host,Sooty Mangabey,4
63,Cercocebus atys,Host,Cercocebus atys,4
64,Simian Immunodeficiency Virus,Pathogen,,4;11;50;60
65,Simian T-cell Leukemia Virus,Pathogen,,4;18;46
66,B-cell Lymphoma,Disease,,4
67,AIDS,Disease,,4;11
68,CD4(+)-cell,Tissue,,4
69,p27 core antibody,Property,,4
70,Virus Load,Measurement,,4
71,Macaca,Host,Macaca,4
72,Africa,Location,,4;18;45
73,Wild,Environment,,4;79
74,bats,species,,5
75,China,location,,5;8;21;92
76,adeno-associated viruses,pathogen,,5
77,primates,host,primates,5;18;27;35;45
78,faecal swab samples,tissue,,5
79,provinces,location,,5
80,bat species,species,,5
81,rep-cap ORFs,region,,5
82,genome sequence,measurement,,5
83,ORF coding sequences,region,,5
84,BtAAV-YNM,pathogen,,5
85,primate AAVs,pathogen,,5
86,porcine AAV strain Po3,pathogen,,5
87,partial cap ORF sequences,region,,5
88,bat AAV samples,tissue,,5
89,genetic diversity,property,,5
90,nucleotide identity,measurement,,5
91,individual sample,sample,,5
92,distinctive genotypes,property,,5
93,Avian myelocytomatosis virus,Pathogen,,6
94,MC29,Pathogen,,6
95,HBI,Pathogen,,6
96,Chicken,Host,Chicken,6
97,Lymphoid tumors,Disease,,6
98,Myc gene,Gene,,6
99,v-myc gene,Gene,,6
100,Lymphoid leukosis virus,Pathogen,,6
101,Bursa,Location,,6
102,T cells,Cell type,,6
103,B cells,Cell type,,6
104,Tumor cells,Cell type,,6;99
105,Proviral DNA,Molecule,,6
106,Gag-myc fusion protein,Molecule,,6
107,p 108,Molecule,,6
108,Macaque,Host,Macaque,7
109,Macaca cyclopis,Host,Macaca cyclopis,7
110,Mason-Pfizer monkey virus,Pathogen,,7
111,Macaca mulatta,Host,Macaca mulatta,7
112,Type D retrovirus,Pathogen,,7
113,T-lymphocyte,Host cell,,7
114,Immunodeficiency syndrome,Disease,,7
115,Opportunistic infections,Disease,,7
116,Lymphoproliferative abnormalities,Disease,,7
117,Bovine foamy virus,Pathogen,,8
118,Bovine spumaretrovirus,Pathogen,,8
119,Germany,Location,,8;44
120,Poland,Location,,8
121,East Germany,Location,,8
122,United States,Location,,8
123,Cells,Host,Cells,8;12
124,Provirial DNA,Entity,,8
125,env-bel coding region,Entity,,8
126,Splice sites,Entity,,8
127,Genome,Entity,,8;10;95
128,Sequence,Entity,,8
129,Simian foamy virus,Pathogen,,9
130,Apes,Host,Apes,9
131,Humans,Host,Humans,9;18;33;39;62;75
132,Rural Cameroon,Location,,9
133,Nonhuman primates,Host,Nonhuman primates,9;10;13;17;22
134,Gorillas,Host,Gorillas,9
135,Chimpanzees,Host,Chimpanzees,9
136,Monkeys,Host,Monkeys,9;32;33
137,Southern Cameroon,Location,,9
138,Central Africa,Location,,9
139,Human parainfluenza virus type 3,Pathogen,,10
140,HPIV3,Pathogen,,10
141,Baboons,Host,Baboons,10
142,Vervet monkeys,Host,Vervet monkeys,10
143,Zambia,Location,,10;84
144,African green monkeys,Host,African green monkeys,11;18;50
145,Sooty mangabey monkeys,Host,Sooty mangabey monkeys,11
146,Asian macaques,Host,Asian macaques,11
147,Primate lentiviruses,Pathogen,,11
148,CD4(+) T cells,Tissue,,11
149,T-cell renewal,Process,,11
150,T-cell proliferation,Process,,11
151,Activation-induced apoptosis,Process,,11
152,Virus-induced cell death,Process,,11
153,Vaccine design,Process,,11
154,Avian Sarcoma Virus Y73,Pathogen,,12
155,Avian Leukemia Viruses,Pathogen,,12
156,RNA,Entity,,12;94
157,Transforming Gene (yas),Entity,,12
158,Polyprotein p90,Entity,,12
159,p19,Entity,,12
160,Mammalian Leukemia Viruses,Pathogen,,12
161,Mammalian,Species,,12
162,Leukemia,Disease,,12
163,Sarcoma,Disease,,12
164,Y73-associated Virus,Pathogen,,12
165,T-lymphotropic viruses,Pathogen,,13;22;39
166,HTLV-1,Pathogen,,13;39;46
167,STLV-1,Pathogen,,13;39;46
168,central African bushmeat hunters,Host,central African bushmeat hunters,13
169,central Africans,Host,central Africans,13
170,NHPs,Host,NHPs,13
171,primate pets,Host,primate pets,13
172,blood,Tissue,,13;20
173,body fluids,Tissue,,13
174,retroviruses,Pathogen,,13;15;22;45
175,pandemic retrovirus,Pathogen,,13
176,animal reservoirs,Environment,,13
177,populations,Host,populations,13
178,disease,Disease,,13
179,HTLV,Pathogen,,13;18;22;39
180,STLV,Pathogen,,13;18;22;39
181,Flavobacterium columnare,Pathogen,,14
182,Fish,Host,Fish,14
183,16S rDNA gene,Gene,,14
184,Intergenic spacer region,Region,,14
185,Amplified fragment length polymorphism,Technique,,14
186,Genomovar I,Genomovar,,14
187,Genomovar II,Genomovar,,14
188,Channel catfish,Host,Channel catfish,14
189,Tilapia,Host,Tilapia,14
190,US,Location,,14
191,Clone,Entity,,14
192,Jaagsiekte sheep retrovirus,Pathogen,,15
193,Ovine pulmonary adenocarcinoma,Disease,,15
194,Sheep,Host,Sheep,15;29;47;71
195,Goats,Host,Goats,15;29;47
196,Lung,Tissue,,15;54;61;65;68;74;94
197,Envelope protein,Protein,,15;85
198,Oncogene,Property,,15
199,Trans-acting factor,Protein,,15
200,Gag protein,Protein,,15
201,Viral RNA,Molecule,,15
202,Cell systems,Environment,,15
203,Animal models,Environment,,15
204,Bovine group C rotavirus,Pathogen,,16
205,Adult cows,Host,Adult cows,16
206,Shintoku,Pathogen,,16
207,Porcine-like WD534tc,Pathogen,,16
208,Yamagata,Pathogen,,16
209,VP6 gene,Tissue,,16
210,VP7 gene,Tissue,,16
211,Milk production,Property,,16
212,Diarrhea,Disease,,16
213,Sanguinus oedipus,Species,,17
214,Francisella tularensis,Pathogen,,17
215,Escherichia coli,Pathogen,,17;89
216,Salmonella,Pathogen,,17
217,Yersinia,Pathogen,,17
218,Toxoplasma gondii,Pathogen,,17;34;49;51;72;80
219,Lymphocytic choriomeningitis,Pathogen,,17
220,Tularemia,Disease,,17
