source_id,source_text,target_id,target_text,relation_type,doc_id
1,Canine pathogens,18,Serum samples,are examined for,58605
2,Rabies virus,18,Serum samples,are examined for,58605
3,Canine parvovirus (CPV-2),18,Serum samples,are examined for,58605
4,Canine distemper virus (CDV),18,Serum samples,are examined for,58605
5,Ehrlichia canis,18,Serum samples,are examined for,58605
7,Jackals,18,Serum samples,are examined for,58605
8,Black-backed jackals,18,Serum samples,are sampled,58605
10,Golden jackals,18,Serum samples,are sampled,58605
12,Side-striped jackals,18,Serum samples,are sampled,58605
23,Canine diseases,7,Jackals,are monitored,58605
24,Pacific harbor seals,28,Adrenal glands,has,59830
24,Pacific harbor seals,29,DNA,has,59830
24,Pacific harbor seals,31,Thymic atrophy,has,59830
24,Pacific harbor seals,32,Hepatic necrosis,has,59830
24,Pacific harbor seals,33,Lymphopenia,has,59830
24,Pacific harbor seals,34,Herpesvirus,has,59830
24,Pacific harbor seals,35,Electron microscopy,has,59830
24,Pacific harbor seals,36,Adrenal tissue homogenate,has,59830
24,Pacific harbor seals,37,Phocine adrenal and kidney cell lines,has,59830
24,Pacific harbor seals,38,Cell cultures,has,59830
24,Pacific harbor seals,39,Viral particles,has,59830
24,Pacific harbor seals,40,Kidney,has,59830
24,Pacific harbor seals,41,Male,has,59830
24,Pacific harbor seals,42,Female,has,59830
24,Pacific harbor seals,43,Birth weight,has,59830
25,California,24,Pacific harbor seals,is located,59830
26,USA,24,Pacific harbor seals,is located,59830
27,Phoca vitulina richardsi,44,Species,is a,59830
28,Adrenal glands,29,DNA,has,59830
36,Adrenal tissue homogenate,28,Adrenal glands,is a,59830
37,Phocine adrenal and kidney cell lines,38,Cell cultures,is a,59830
38,Cell cultures,39,Viral particles,has,59830
39,Viral particles,34,Herpesvirus,is a,59830
45,Urocyon littoralis,46,Channel Islands,was surveyed,59699
46,Channel Islands,25,California,is located in,59699;59832
46,Channel Islands,26,USA,is located in,59699;59832
45,Urocyon littoralis,47,canine adenovirus,has antibody against,59699
45,Urocyon littoralis,,canine parvovirus,has antibody against,59699
45,Urocyon littoralis,48,canine herpesvirus,has low antibody against,59699
45,Urocyon littoralis,49,canine coronavirus,has low antibody against,59699
45,Urocyon littoralis,50,leptospirosis,has low antibody against,59699
45,Urocyon littoralis,51,toxoplasmosis,has low antibody against,59699
52,Pyrenean Chamois,55,Pestivirus,associated with,59904
52,Pyrenean Chamois,56,Border disease virus,affected by,59904
56,Border disease virus,55,Pestivirus,cluster of,59904
52,Pyrenean Chamois,54,Spain,found in,59904
52,Pyrenean Chamois,58,Northeastern Spain,found in,59904
55,Pestivirus,58,Northeastern Spain,found in,59904
55,Pestivirus,54,Spain,found in,59904
,Rupicapra pyrenaica,56,Border disease virus,associated with,59578
66,Central Pyrenees,65,NE Spain,located in,59578
56,Border disease virus,69,RT-PCR,detected by,59578
56,Border disease virus,68,monoclonal antibodies,characterized by,59578
72,Urate nephrolithiasis,73,Northern elephant seal,found in,59831
72,Urate nephrolithiasis,75,California sea lion,found in,59831
77,Nephroliths,,Kidneys,found in,59831
77,Nephroliths,78,Renal pelvic dilation,associated with,59831
77,Nephroliths,79,Pyelonephritis,associated with,59831
77,Nephroliths,80,Hydronephrosis,associated with,59831
77,Nephroliths,81,Uric acid,composed of,59831
77,Nephroliths,82,Ammonium urate,composed of,59831
73,Northern elephant seal,77,Nephroliths,had,59831
75,California sea lion,77,Nephroliths,had,59831
73,Northern elephant seal,78,Renal pelvic dilation,had,59831
75,California sea lion,78,Renal pelvic dilation,had,59831
75,California sea lion,79,Pyelonephritis,had,59831
75,California sea lion,80,Hydronephrosis,had,59831
73,Northern elephant seal,81,Uric acid,had,59831
75,California sea lion,82,Ammonium urate,had,59831
87,Ehrlichia spp.,97,White-tailed deer,found on,59842;59860
88,Ehrlichia chaffeensis,97,White-tailed deer,found on,59842
89,HGE agent,97,White-tailed deer,found on,59842
90,Ehrlichia equi,104,Indirect fluorescent antibody testing,detected by,59842
