source_id,source_text,target_id,target_text,relation_type,doc_id
1,Leptospirosis,10,Dogs,affects,59826
1,Leptospirosis,11,Humans,affects,59826
2,Connecticut,1,Leptospirosis,found in,59826
16,rabies virus,15,jackals,infects,58605
17,canine parvovirus (CPV-2),15,jackals,infects,58605
18,canine distemper virus (CDV),15,jackals,infects,58605
19,Ehrlichia canis,15,jackals,infects,58605
34,Herpesvirus,49,Cytopathic effect,produces,59830
34,Herpesvirus,45,Electron microscopy,is detected by,59830
55,Urocyon littoralis,57,canine adenovirus,infects,59699
55,Urocyon littoralis,,canine parvovirus,infects,59699
55,Urocyon littoralis,58,canine herpesvirus,infects,59699
55,Urocyon littoralis,59,canine coronavirus,infects,59699
56,Channel Islands,55,Urocyon littoralis,found in,59699
38,California,55,Urocyon littoralis,found in,59699
39,USA,55,Urocyon littoralis,found in,59699
63,Pestivirus,61,Pyrenean Chamois,infects,59904
65,Spain,61,Pyrenean chamois,found in,59904
,Rupicapra pyrenaica,64,Border disease virus,hosts,59578
99,Mirounga angustirostris,103,Uric acid,hosts,59831
99,Mirounga angustirostris,104,Ammonium urate,hosts,59831
101,Zalophus californianus,104,Ammonium urate,hosts,59831
99,Mirounga angustirostris,106,Pyelonephritis,infects,59831
101,Zalophus californianus,106,Pyelonephritis,infects,59831
99,Mirounga angustirostris,107,Hydronephrosis,infects,59831
101,Zalophus californianus,107,Hydronephrosis,infects,59831
99,Mirounga angustirostris,105,Renal pelvic dilation,infects,59831
101,Zalophus californianus,105,Renal pelvic dilation,infects,59831
110,Ehrlichia chaffeensis,116,white-tailed deer,infects,59842;59858;59859
111,Ehrlichia equi,116,white-tailed deer,infects,59842
114,Amblyomma americanum,110,Ehrlichia chaffeensis,hosts,59842;59859
115,Ixodes scapularis,119,HGE agent,hosts,59842
116,white-tailed deer,119,HGE agent,hosts,59842
138,Brucella abortus,139,Zebra,infects,59912
138,Brucella abortus,140,Wart hog,infects,59912
125,Free-living wild species,124,Pathogenic agents,hosts,59912
127,Game areas,125,Free-living wild species,found in,59912
126,Tanzania,125,Free-living wild species,found in,59912
142,Staphylococcus aureus,141,Ursus americanus,infects,59921
142,Staphylococcus aureus,146,valvular endocarditis,causes,59921
146,valvular endocarditis,141,Ursus americanus,affects,59921
148,northern Labrador,141,Ursus americanus,found in,59921
143,Canada,148,northern Labrador,found in,59921
150,parainfluenza 3 virus,149,Bison bison,infects,58455
152,Alaska,39,USA,found in,58455
154,Domestic cattle,150,parainfluenza 3 virus,hypothesized as source for,58455
155,Puma concolor,156,Feline immunodeficiency virus,hosts,59903
155,Puma concolor,157,Feline parvovirus,hosts,59903
155,Puma concolor,158,Feline coronavirus,hosts,59903
155,Puma concolor,159,Feline calicivirus,hosts,59903
155,Puma concolor,,Canine distemper virus,hosts,59903
155,Puma concolor,160,Feline herpesvirus,hosts,59903
155,Puma concolor,161,Yersinia pestis,hosts,59903
173,Monachus schauinslandi,174,phocine herpesvirus-1,infects,59836
173,Monachus schauinslandi,175,Leptospira bratislava,hosts,59836
173,Monachus schauinslandi,176,L. hardjo,hosts,59836
