source_id,source_text,target_id,target_text,relation_type,doc_id
1,Leptospirosis,13,skunks,infects,59826
1,Leptospirosis,17,gray squirrels,infects,59826
1,Leptospirosis,15,opossums,infects,59826
4,Leptospira,1,Leptospirosis,causes,59826
5,Leptospira serovars,1,Leptospirosis,are serovars of,59826
6,serovars pomona,4,Leptospira,is a serovar of,59826
7,serovars icterohemorrhagiae,4,Leptospira,is a serovar of,59826
8,serovars canicola,4,Leptospira,is a serovar of,59826
9,serovars hardjo,4,Leptospira,is a serovar of,59826
10,serovars grippotyphosa,4,Leptospira,is a serovar of,59826
11,raccoons,1,Leptospirosis,hosts,59826
23,humans,1,Leptospirosis,can be infected by,59826
22,dogs,1,Leptospirosis,can be infected by,59826
24,rabies virus,34,jackals,infects,58605
25,canine parvovirus (CPV-2),34,jackals,infects,58605
26,canine distemper virus (CDV),34,jackals,infects,58605
27,Ehrlichia canis,34,jackals,infects,58605
28,black-backed jackals,24,rabies virus,hosts,58605
28,black-backed jackals,25,canine parvovirus (CPV-2),hosts,58605
28,black-backed jackals,26,canine distemper virus (CDV),hosts,58605
28,black-backed jackals,27,Ehrlichia canis,hosts,58605
30,golden jackals,25,canine parvovirus (CPV-2),hosts,58605
32,side-striped jackals,25,canine parvovirus (CPV-2),hosts,58605
32,side-striped jackals,26,canine distemper virus (CDV),hosts,58605
48,Herpesvirus,49,Pacific harbor seal,infects,59830
49,Pacific harbor seal,57,Necrosis,dies from,59830
49,Pacific harbor seal,58,Sepsis,dies from,59830
49,Pacific harbor seal,59,Omphalophlebitis,dies from,59830
49,Pacific harbor seal,60,Pneumonia,dies from,59830
49,Pacific harbor seal,61,Gastroenteritis,dies from,59830
49,Pacific harbor seal,62,Thymic atrophy,has,59830
49,Pacific harbor seal,63,Hepatic necrosis,has,59830
49,Pacific harbor seal,64,Lymphopenia,has,59830
53,Adrenal gland,56,Intranuclear inclusion bodies,contains,59830
56,Intranuclear inclusion bodies,54,DNA,contains,59830
66,Viral particles,53,Adrenal gland,found in,59830
66,Viral particles,70,Cell cultures,found in,59830
67,Adrenal tissue homogenate,48,Herpesvirus,contains,59830
68,Phocine adrenal and kidney cell lines,67,Adrenal tissue homogenate,inoculated with,59830
68,Phocine adrenal and kidney cell lines,69,Cytopathic effect,shows,59830
70,Cell cultures,69,Cytopathic effect,shows,59830
65,Electron microscopy,66,Viral particles,detects,59830
49,Pacific harbor seal,73,Below average birth weight,has,59830
74,island fox,77,canine adenovirus,hosts,59699
74,island fox,,canine parvovirus,hosts,59699
74,island fox,78,canine herpesvirus,hosts,59699
74,island fox,79,canine coronavirus,hosts,59699
74,island fox,1,leptospirosis,hosts,59699
74,island fox,80,toxoplasmosis,hosts,59699
87,Rupicapra pyrenaica,88,border disease virus,hosts,59578
90,central Pyrenees,87,Rupicapra pyrenaica,location of,59578
91,NE Spain,87,Rupicapra pyrenaica,location of,59578
98,depression,87,Rupicapra pyrenaica,symptom of,59578
99,weakness,87,Rupicapra pyrenaica,symptom of,59578
100,movement difficulties,87,Rupicapra pyrenaica,symptom of,59578
102,alopecia,87,Rupicapra pyrenaica,symptom of,59578
103,skin hyperpigmentation,87,Rupicapra pyrenaica,symptom of,59578
104,cachexia,87,Rupicapra pyrenaica,symptom of,59578
105,abscesses,87,Rupicapra pyrenaica,symptom of,59578
60,pneumonia,87,Rupicapra pyrenaica,symptom of,59578
106,subcutaneous infection,87,Rupicapra pyrenaica,symptom of,59578
107,orchitis,87,Rupicapra pyrenaica,symptom of,59578
108,edema,87,Rupicapra pyrenaica,lesion of,59578
109,gliosis,87,Rupicapra pyrenaica,lesion of,59578
110,espongiosis,87,Rupicapra pyrenaica,lesion of,59578
