source,target,relation_type,doc_id
Thymallus thymallus,Perch rhabdovirus,is infected by,1
Perch rhabdovirus,Perca fluviatilis,is similar to,1
Perch rhabdovirus,Salmo trutta trutta,is similar to,1
Perch rhabdovirus,"Perch rhabdovirus (France, 2004)",is similar to,1
Perch rhabdovirus,"Pike (Denmark, DK5533)",is similar to,1
Thymallus thymallus,Brown trout (ka907_87),is different from,1
Avian Myeloblastosis Virus,Reverse Transcriptase,produces,2
Myeloblastosis Associated Virus,Envelope Protein,produces,2
Avian Myeloblastosis Virus,Myeloblastosis Associated Virus,is dependent on,2
Human,Vaccinia virus,is infected by,3
Human,Pseudocowpox virus,is infected by,3
Vaccinia virus,Bovine,infects,3
Pseudocowpox virus,Bovine,infects,3
Farmers,Cattle,come into contact with,3
Milkers,Cattle,come into contact with,3
Cattle,Vaccinia virus,are infected by,3
Cattle,Pseudocowpox virus,are infected by,3
Vaccinia virus,Human,is detected in,3
Pseudocowpox virus,Human,is detected in,3
Vaccinia virus,Cattle,is detected in,3
Pseudocowpox virus,Cattle,is detected in,3
Vaccinia virus,Pseudocowpox virus,co-infects,3
Human,Vaccinia virus,develops symptoms from,3
Human,Pseudocowpox virus,develops symptoms from,3
SIV,Sooty mangabey,infects,4
SIVsm,Sooty mangabey,infects,4
SIV,Sooty mangabey,replicates,4
SIVsm,Sooty mangabey,replicates,4
SIV,AIDS,causes,4
SIVsm,AIDS,causes,4
SIV,Sooty mangabey,is present in,4
SIVsm,Sooty mangabey,is present in,4
Sooty mangabey,SIV,hosts,4
Sooty mangabey,SIVsm,hosts,4
SIV,Macaques,is transmitted to,4
SIVsm,Sooty mangabey,is transmitted to,4
bats,adeno-associated viruses,hosts,5
adeno-associated viruses,bats,distributed in,5
bats,different viruses,reservoirs of,5
BtAAV-YNM,known primate AAVs,relatively distant to,5
BtAAV-YNM,porcine AAV strain Po3,phylogenetically closer to,5
bat AAV samples,multiple distinctive genotypes,co-present,5
avian myelocytomatosis virus,lymphomas,induces,6
MC29,chickens,has relationship with,6
HBI,chickens,has relationship with,6
HBI,c-myc sequences,contains,6
HBI,v-myc sequences,contains,6
HBI,T and B cells,transforms,6
HBI,HBI proviral DNA,has,6
HBI,HBI gag-myc fusion protein,has,6
macaques,Macaque,has immunodeficiency syndrome,7
Macaque,type D retrovirus,has type d retrovirus,7
type D retrovirus,Mason-Pfizer monkey virus,is related to,7
Macaque,type D retrovirus,is infected by,7
Mason-Pfizer monkey virus,type D retrovirus,is related to,7
Bovine,Bovine foamy virus,hosts,8
Bovine foamy virus,Germany,isolated in,8
Bovine foamy virus,Poland,isolated in,8
Bovine foamy virus,BFV isolates from China and the United States,is similar to,8
BFV-Riems,BFV100,is similar to,8
BFV-Riems,European BFV clade,is part of,8
BFV100,European BFV clade,is part of,8
Bovine foamy virus,env-bel coding region,lacks introns in,8
env-bel coding region,splice sites,has,8
Bovine foamy virus,secretory but nonfunctional Env protein,expresses,8
Apes,Simian foamy virus,transmit,9
Simian foamy virus,Humans,infect,9
Nonhuman primates,Humans,expose,9
Gorillas,Humans,bite,9
Chimpanzees,Humans,bite,9
Simian foamy virus,Humans,persist,9
Human,Parainfluenza virus type 3,is susceptible to,10
Baboons,Parainfluenza virus type 3,is infected with,10
Vervet monkeys,Parainfluenza virus type 3,has antibody for,10
Baboons,Zambia,is found in,10
Vervet monkeys,Zambia,is found in,10
African green monkeys,SIVs,naturally infected by,11
Sooty mangabey monkeys,SIVs,naturally infected by,11
Asian macaques,SIVs,experimentally infected by,11
Asian macaques,SIVs,develops immunodeficiency syndrome,11
African green monkeys,SIVs,maintains robust virus replication,11
African green monkeys,SIVs,evolves strategies to avoid disease progression,11
African green monkeys,CD4(+) T cells,has phenotypic changes to cd4(+) t cells,11
African green monkeys,Immune system,has limited chronic immune activation,11
African green monkeys,Immune system,has altered mucosal immunity,11
African green monkeys,T cells,achieves balance between t-cell renewal and proliferation and loss,11
African green monkeys,Virus,undergoes virus-induced cell death,11
avian sarcoma virus Y73,RNA,contains,12
RNA,transforming gene (yas),contains,12
RNA,2.5 kb,has sequence,12
RNA,1- to 1.5-kb,has sequence,12
polyprotein p90,capped 4.8-kb RNA,is translated from,12
polyprotein p90,p19,contains,12
polyprotein p90,yas sequence,is coded by,12
Y73,helper virus,is associated with,12
Y73,avian and mammalian leukemia viruses,is similar to,12
Y73,cells,transforms,12
human,T-lymphotropic viruses,hosts,13
central African bushmeat hunters,nonhuman primates,exposes,13
nonhuman primates,human,infects,13
T-lymphotropic viruses,human,transmits,13
simian T-lymphotropic viruses,human,transmits,13
HTLV-1,human,transmits,13
STLV-1,human,transmits,13
HTLV-2,human,transmits,13
STLV-2,human,transmits,13
HTLV-4,human,transmits,13
STLV-3,human,transmits,13
Flavobacterium columnare,Fish,is pathogen of,14
Genomovar I,Channel catfish,is present in,14
Genomovar II,Channel catfish,is present in,14
Flavobacterium columnare,Tilapia,is present in,14
Genomovar I,Genomovar II,is related to,14
Genomovar I,Flavobacterium columnare,is related to,14
Genomovar II,Flavobacterium columnare,is related to,14
Flavobacterium columnare,Brazil,is found in,14
Flavobacterium columnare,US,is found in,14
Sheep,Jaagsiekte sheep retrovirus,is infected by,15
Jaagsiekte sheep retrovirus,Ovine pulmonary adenocarcinoma,causes,15
Jaagsiekte sheep retrovirus,Goats,infects,15
Jaagsiekte sheep retrovirus,Human,infects,15
JSRV Env,oncogene,functions as,15
JSRV Env,transformation,induces,15
JSRV,Rej,encodes,15
Rej,synthesis of Gag protein,is necessary for,15
JSRV,Gag protein,encodes,15
adult cows,group C rotavirus,infected by,16
group C rotavirus,cattle,found in,16
Shintoku,group C rotavirus,is a type of,16
porcine-like WD534tc,group C rotavirus,is a type of,16
Yamagata,group C rotavirus,is a type of,16
Yamagata,Shintoku,is similar to,16
Yamagata,Shintoku,is similar to,16
cattle,group C rotavirus,is a natural host of,16
group C rotavirus,adult cow diarrhea,causes,16
Sanguinus oedipus,Francisella tularensis,hosts,17
Francisella tularensis,Sanguinus oedipus,infects,17
Escherichia coli,septicemia,may cause,17
Salmonella,septicemia,may cause,17
Yersinia,septicemia,may cause,17
Toxoplasma gondii,protozoal infection,may cause,17
Lymphocytic choriomeningitis,acute viral infection,may cause,17
Francisella tularensis,aerosol,transmitted by,17
Francisella tularensis,biting arthropod vectors,transmitted by,17
Francisella tularensis,rodent reservoir,transmitted by,17
Sanguinus oedipus,acute febrile illness,experiences,17
STLV,Cercocebus agilis,infects,18
HTLV-1,Humans,infects,18
HTLV-2,Humans,infects,18
STLV-1,Cercocebus agilis,infects,18
STLV-3,Cercocebus agilis,infects,18
STLV-1,Mandrills,infects,18
STLV-1,African green monkeys,infects,18
STLV-1,Agile mangabeys,infects,18
STLV-1,Crested mona and greater spot-nosed monkeys,infects,18
STLV-3,Agile mangabeys,infects,18
STLV-1 and STLV-3,Agile mangabeys,coinfect,18
Humans,Primates,handle,18
Primates,Rain forests,are hunted,18
Primates,Bush meat,are consumed,18
Primates,Pets,are kept,18
Man,Bacterium,is infected by,19
Bacterium,Flavobacteriaceae,is a member of,19
IMMIB L-12475(T),Cruoricaptor ignavus,is a strain of,19
DSM 25479(T),Cruoricaptor ignavus,is a strain of,19
CCUG 62025(T),Cruoricaptor ignavus,is a strain of,19
Brevundimonas vancanneytii,Blood,is isolated from,20
Brevundimonas vancanneytii,Brevundimonas,is affiliated with,20
Brevundimonas vancanneytii,Brevundimonas diminuta,has similarity with,20
Brevundimonas vancanneytii,Brevundimonas terrae,has similarity with,20
Brevundimonas vancanneytii,Chemotaxonomic data,is characterized by,20
Brevundimonas vancanneytii,all of the type strains of hitherto-described Brevundimonas species,is differentiated from,20
Patient,Endocarditis,has,20
Wohlfahrtiimonas chitiniclastica,cow,is isolated from,21
Wohlfahrtiimonas chitiniclastica,mouse,is pathogenic to,21
cow,Wohlfahrtiimonas chitiniclastica,is infected with,21
nonhuman primates,Simian T-lymphotropic virus,hosts,22
hunters,Simian T-lymphotropic virus,exposed to,22
Simian T-lymphotropic virus,hunters,transmitted to,22
Cercopithecus mona,Simian T-lymphotropic virus,hosts,22
C. nictitans,Simian T-lymphotropic virus,hosts,22
Simian T-lymphotropic virus,human populations,transmitted to,22
hunters,dried blood spots,collected,22
dried blood spots,Simian T-lymphotropic virus,tested for,22
Simian T-lymphotropic virus,dried blood spots,detected in,22
hunters,HTLV,screened for,22
HTLV,hunters,detected in,22
Simian T-lymphotropic virus,HTLV,divergent from,22
porcine retrovirus,porcine cells,infects,23
porcine retrovirus,template-primer poly(rA).oligo(dT),requires,23
porcine retrovirus,Mn++,requires,23
porcine retrovirus,high doses of K+ and Na+,is inhibited by,23
porcine retrovirus,pHs above 8.2,is inhibited by,23
porcine retrovirus,non-ionic detergents,is enhanced by,23
porcine retrovirus,porcine cell lines,can be reactivated in,23
porcine retrovirus,pigs,can be transmitted to,23
Francisella noatunensis,French grunt,infects,24
Francisella noatunensis,Caesar grunt,infects,24
French grunt,Francisella noatunensis,hosts,24
Caesar grunt,Francisella noatunensis,hosts,24
F. noatunensis,several cultured species,is isolated from,24
F. noatunensis,novel host species,is identified in,24
French grunt,novel host species,is a,24
Caesar grunt,novel host species,is a,24
Francisella noatunensis,real-time PCR amplification,is confirmed positive after,24
iglC,F. noatunensis subspecies orientalis,is specific for,24
F. noatunensis,modified Thayer Martin agar media,is inoculated in,24
p47gag-crk,phospholipase C,has similarity to,25
p47gag-crk,tyrosine kinases,activates,25
avian sarcoma virus CT10,p47gag-crk,encodes,25
African primates,human T-cell leukemia virus,can be infected by,26
Cercopithecus,grivet monkey,includes,26
Papio,Anubis baboon,includes,26
Theropithecus,Hamadryas baboon,includes,26
grivet monkey,human T-cell leukemia virus,can be infected by,26
Anubis baboon,human T-cell leukemia virus,can be infected by,26
Hamadryas baboon,human T-cell leukemia virus,can be infected by,26
gelada,human T-cell leukemia virus,cannot be infected by,26
Ethiopia,Africa,is located in,26
HTLV-I,human T-cell leukemia virus,is a type of,26
HTLV-I specific antigens,human T-cell leukemia virus,are used to detect,26
red-fronted lemurs,Gastro-intestinal parasites,hosts,27
Gastro-intestinal parasites,red-fronted lemurs,infects,27
Japanese serows,parapoxvirus,infected by,28
parapoxvirus,Japanese serows,isolated from,28
Japanese serows,parapoxvirus,host of,28
S-1,Japanese serows,isolated from,28
Japanese serows,parapoxviruses,infected by,29
Japanese serows,orf virus,infected by,29
Japanese serows,bovine papular stomatitis virus,infected by,29
