source,target,relation_type,doc_id
Perch rhabdovirus,Thymallus thymallus,infects,1
Perch rhabdovirus,Finnish grayling isolates,hosts,1
Perch rhabdovirus,Perca fluviatilis,infects,1
Perch rhabdovirus,Salmo trutta trutta,infects,1
Perch rhabdovirus,Baltic Sea,found in,1
Perch rhabdovirus,France,found in,1
Perch rhabdovirus,Danish isolate DK5533,found in,1
Perch rhabdovirus,Pike,found in,1
Finnish grayling isolates,Perch rhabdovirus,hosts,1
Finnish brown trout isolate ka907_87,Perch rhabdovirus,hosts,1
Avian Myeloblastosis Virus,Reverse Transcriptase,produces,2
Avian Myeloblastosis Virus,Envelope,produces,2
Myeloblastosis Associated Virus,Avian Myeloblastosis Virus,is helper for,2
Avian Myeloblastosis Virus,Myeloblastosis Associated Virus,is dependent on,2
Reverse Transcriptase,Avian Myeloblastosis Virus,is produced by,2
Envelope,Avian Myeloblastosis Virus,is produced by,2
Avian Myeloblastosis Virus,Avian,infects,2
Myeloblastosis Associated Virus,Avian Myeloblastosis Virus,hosts,2
Vaccinia virus,Human,infects,3
Pseudocowpox virus,Human,infects,3
Vaccinia virus,Bovine,infects,3
Pseudocowpox virus,Bovine,infects,3
Human,Vaccinia virus,hosts,3
Human,Pseudocowpox virus,hosts,3
Bovine,Vaccinia virus,hosts,3
Bovine,Pseudocowpox virus,hosts,3
Farmers,Vaccinia virus,hosts,3
Farmers,Pseudocowpox virus,hosts,3
Milkers,Vaccinia virus,hosts,3
Milkers,Pseudocowpox virus,hosts,3
Close contacts,Vaccinia virus,hosts,3
Close contacts,Pseudocowpox virus,hosts,3
Vaccinia virus,Cattle,found in,3
Pseudocowpox virus,Cattle,found in,3
Vaccinia virus,PCR,detected by,3
Pseudocowpox virus,PCR,detected by,3
Vaccinia virus,Phylogenetic analysis,detected by,3
Pseudocowpox virus,Phylogenetic analysis,detected by,3
Vaccinia virus,Serological tests,detected by,3
Pseudocowpox virus,Serological tests,detected by,3
Vaccinia virus,Molecular assays,detected by,3
Pseudocowpox virus,Molecular assays,detected by,3
Vaccinia virus,Lesions,causes,3
Pseudocowpox virus,Lesions,causes,3
Vaccinia virus,Fever,causes,3
Pseudocowpox virus,Fever,causes,3
Vaccinia virus,Headache,causes,3
Pseudocowpox virus,Headache,causes,3
Vaccinia virus,Malaise,causes,3
Pseudocowpox virus,Malaise,causes,3
Vaccinia virus,Myalgia,causes,3
Pseudocowpox virus,Myalgia,causes,3
Vaccinia virus,Lymphadenopathy,causes,3
Pseudocowpox virus,Lymphadenopathy,causes,3
Vaccinia virus,Epidemiological surveillance,is controlled by,3
Pseudocowpox virus,Epidemiological surveillance,is controlled by,3
