source,target,relation_type,doc_id
Thymallus thymallus,Perch rhabdovirus,is infected by,1
Perch,Perch rhabdovirus,is infected by,1
Sea trout,Perch rhabdovirus,is infected by,1
Pike,Perch rhabdovirus,is infected by,1
Brown trout,Grayling,is not closely related to,1
Finland,Grayling,is location of,1
France,Perch rhabdovirus,is location of,1
Denmark,Pike,is location of,1
Baltic Sea,Perch and Sea trout,is location of,1
Avian Myeloblastosis Virus,Envelope Protein,produces,2
Avian Myeloblastosis Virus,Reverse Transcriptase,produces,2
Avian Myeloblastosis Virus,Myeloblastosis Associated Virus,requires,2
Myeloblastosis Associated Virus,Envelope Protein,produces,2
Myeloblastosis Associated Virus,Reverse Transcriptase,produces,2
Avian Myeloblastosis Virus,Myeloblastosis Associated Virus,has helper,2
Human,Vaccinia virus,is infected by,3
Human,Pseudocowpox virus,is infected by,3
Cattle,Vaccinia virus,is infected by,3
Cattle,Pseudocowpox virus,is infected by,3
Farmers,Cattle,has contact with,3
Farmers,Bovine vaccinia,develops,3
Farmers,Milker's nodule,develops,3
Vaccinia virus,Pseudocowpox virus,co-infects,3
VACV,Vaccinia virus,is a type of,3
PCPV,Pseudocowpox virus,is a type of,3
VACV/PCPV,Co-infection,is a type of,3
SIV,Sooty mangabey,infects,4
SIVsm,E041,infects,4
SIV,Sooty mangabey,replicates,4
SIVsm,E041,replicates,4
SIV,CD4(+)-cell,has relationship with,4
SIVsm,CD4(+)-cell,has relationship with,4
SIV,p27 core antibody,has relationship with,4
SIVsm,p27 core antibody,has relationship with,4
E041,AIDS,develops,4
E041,B-cell lymphoma,develops,4
SIVsm,E041,loads,4
SIV,Sooty mangabey,loads,4
E041,Simian T-cell leukemia virus antibody,has,4
E041,Simian T-cell leukemia virus antibody,lacks,4
bats,adeno-associated viruses,hosts,5
bats,different viruses,reservoirs,5
adeno-associated viruses,primates,distributed in,5
adeno-associated viruses,bats,distributed in,5
BtAAV-YNM,known primate AAVs,relatively distant to,5
BtAAV-YNM,porcine AAV strain Po3,phylogenetically closer to,5
bat AAV samples,remarkably large genetic diversity,have,5
individual sample,multiple distinctive genotypes of bat AAV,contains,5
MC29,neoplastic diseases,induces,6
MC29,v-myc gene,has,6
c-myc gene,lymphoid leukosis virus genome,is activated by,6
HBI,c-myc sequences,has,6
HBI,v-myc sequences,has,6
HBI,chicken,inoculates,6
HBI,lymphoid tumors,causes,6
HBI,tumor cells,is found in,6
HBI,proviral DNA,produces,6
HBI,gag-myc fusion protein,produces,6
HBI,p 108,produces,6
T cells,antigenically,are part of,6
B cells,antigenically,are part of,6
tumor cells,HBI proviral DNA,contain,6
Macaque,Type D retrovirus,is infected by,7
Macaca cyclopis,Type D retrovirus,is infected by,7
Macaca mulatta,Mason-Pfizer monkey virus,is related to,7
Type D retrovirus,Mason-Pfizer monkey virus,is related to,7
Cattle,Bovine foamy virus,hosts,8
Bovine foamy virus,Germany,isolated in,8
Bovine foamy virus,Poland,isolated in,8
BFV-Riems,East Germany,isolated in,8
BFV100,Poland,isolated in,8
BFV-Riems,Bovine cells,propagated in,8
BFV100,Nonbovine cells,propagated in,8
BFV-Riems,BFV100,related to,8
BFV-Riems,BFV isolates from China and the United States,similar to,8
BFV100,BFV isolates from China and the United States,similar to,8
Bovine foamy virus,env-bel coding region,has env-bel coding region,8
env-bel coding region,Provirial DNA,lacks introns,8
Apes,Simian foamy virus,transmit,9
Simian foamy virus,Humans,infect,9
Humans,Nonhuman primates,have contact with,9
Nonhuman primates,Humans,bite or scratch,9
Simian foamy virus,Humans,persist,9
Baboons,Human parainfluenza virus type 3,can be infected by,10
Vervet monkeys,Human parainfluenza virus type 3,can be infected by,10
Baboons,Human parainfluenza virus type 3,have antibody for,10
Vervet monkeys,Human parainfluenza virus type 3,have antibody for,10
Zambia,Nonhuman primates,is located in,10
African green monkeys,simian immunodeficiency virus,naturally infected by,11
sooty mangabey monkeys,simian immunodeficiency virus,naturally infected by,11
Asian macaques,simian immunodeficiency virus,experimentally infected by,11
Asian macaques,human AIDS,develops immunodeficiency syndrome,11
African green monkeys,simian immunodeficiency virus,maintains robust virus replication,11
African green monkeys,simian immunodeficiency virus,evolves strategies to avoid disease progression,11
African green monkeys,CD4(+) T cells,has phenotypic changes to,11
African green monkeys,simian immunodeficiency virus,has limited chronic immune activation,11
African green monkeys,simian immunodeficiency virus,has altered mucosal immunity,11
African green monkeys,T-cell renewal and proliferation,achieves unique balance between,11
African green monkeys,loss through activation-induced apoptosis and virus-induced cell death,achieves unique balance between,11
human,simian immunodeficiency virus,develops aids,11
