source,target,relation_type,doc_id
perch rhabdovirus,PRV,is classified as,1
PRV,grayling,is detected in,1
grayling,elevated,has mortality rates,1
grayling,connected,has neurological disorders,1
grayling,connected,has peritonitis,1
PRV,perch,is isolated from,1
PRV,sea trout,is isolated from,1
grayling isolates,perch isolate,are closely related to,1
grayling isolates,sea trout isolate,are closely related to,1
grayling isolates,PRV isolated in France,are most closely related to,1
grayling isolates,Danish isolate DK5533,are most closely related to,1
Finnish brown trout isolate ka907_87,grayling isolates,has low identity with,1
grayling isolates,immunofluorescence antibody test,are analyzed by,1
PRV,grayling,causes disease in,1
Avian Myeloblastosis Virus,Reverse Transcriptase,produces,2
Avian Myeloblastosis Virus,Envelope,produces,2
Myeloblastosis Associated Virus,Avian Myeloblastosis Virus,is helper for,2
Avian Myeloblastosis Virus,Myeloblastosis Associated Virus,has functional relationship with,2
Scientists,Avian Myeloblastosis Virus RT,refer to,2
Scientific Community,issue,needs clarification,2
Vaccinia virus,Bovine vaccinia,causes,3
Pseudocowpox virus,Milker's nodule,causes,3
Vaccinia virus,Pseudocowpox virus,co-infects,3
Farmers,Cattle,come into contact with,3
Milk herds,Vaccinia virus,are affected by,3
Patient,Lesion,has,3
Patient,Fever,has,3
Patient,Headache,has,3
Patient,Malaise,has,3
Patient,Myalgia,has,3
Patient,Lymphadenopathy,has,3
VACV,Patient's lesion,is detected in,3
PCPV,Patient's lesion,is detected in,3
VACV,Dairy cattle,is detected in,3
PCPV,Dairy cattle,is detected in,3
VACV/PCPV,Patient's sera,is detected in,3
Epidemiological surveillance,Control of both diseases,is essential for,3
Medical treatment,Control of both diseases,is essential for,3
SIV,SMs,infects,4
SIVsm,E041,infects,4
E041,AIDS,develops,4
E041,B-cell lymphoma,has,4
E041,Giant cell disease,has,4
E041,CD4(+)-cell decline,has,4
E041,p27 core antibody,loses,4
E041,control of SIVsm replication,loses,4
SIVsm,in E041,replicates,4
E041,in 2002,is euthanized,4
SIV,through macaques,is not passaged,4
SMs,with SIV,are infected,4
Humans,AIDS in less than 18 years,can develop,4
bats,natural reservoirs of viruses,are recognized as,5
adeno-associated viruses,primates,are distributed in,5
adeno-associated viruses,bats,are distributed in,5
faecal swab samples,bats,were collected from,5
faecal swab samples,the presence of AAVs,were examined for,5
BtAAV-YNM,known primate AAVs,is relatively distant to,5
BtAAV-YNM,porcine AAV strain Po3,is phylogenetically closer to,5
multiple distinctive genotypes of bat AAV,an individual sample,were observed within,5
diverse AAVs,bat populations,might be widely distributed in,5
MC29,neoplastic diseases,induces,6
MC29,v-myc gene,contains,6
HBI,c-myc sequences,has,6
HBI,v-myc sequences,has,6
HBI,lymphoid tumors,induces,6
HBI,chicken,inoculated,6
HBI,proviral DNA,found,6
HBI,gag-myc fusion protein,found,6
tumor cells,HBI gag-myc fusion protein,contain,6
Macaque,Type D retrovirus,hosts,7
Macaca cyclopis,Type D retrovirus,hosts,7
Macaca mulatta,Mason-Pfizer monkey virus,hosts,7
Type D retrovirus,Mason-Pfizer monkey virus,is related to,7
Type D retrovirus,Mason-Pfizer monkey virus,is distinct from,7
Macaques,Acquired immunodeficiency syndrome,has,7
Macaques,T-lymphocyte function defect,has,7
Macaques,Opportunistic infections,dies with,7
Macaques,Lymphoproliferative abnormalities,dies with,7
Bovine foamy virus,Cattle,is an infectious agent of,8
Bovine foamy virus,Host,has high prevalence in,8
BFV-Riems,1978,was isolated in,8
BFV-Riems,East Germany,was isolated in,8
BFV100,2005,was isolated in,8
BFV100,Poland,was isolated in,8
BFV-Riems,Bovine cells,was propagated in,8
BFV100,Nonbovine cells,was propagated in,8
BFV-Riems,BFV100,is highly related to,8
BFV-Riems,European BFV clade,is part of,8
BFV100,European BFV clade,is part of,8
BFV-Riems,BFV isolates from China and the United States,is similar to,8
BFV100,BFV isolates from China and the United States,is similar to,8
Provirial DNA,env-bel coding region,may specifically lack introns in,8
BFV,Env protein,has developed a novel mode to express,8
Apes,Simian foamy virus,transmit,9
Simian foamy virus,Humans,infect,9
Nonhuman primates,Hunters,expose,9
Hunters,Nonhuman primates,have contact with,9
Gorillas,Humans,bite,9
Chimpanzees,Humans,bite,9
Monkeys,Humans,bite,9
Apes,Humans,bite,9
Simian foamy virus,Human host,persist,9
HPIV3,Baboons,detected in,10
HPIV3,Vervet monkeys,detected in,10
Antibody for HPIV3,Baboons,detected in,10
Antibody for HPIV3,Vervet monkeys,detected in,10
Wild nonhuman primates,HPIV3 infection,are susceptible to,10
SIVs,African primates,naturally infect,11
SIVs,African green monkeys,infect,11
SIVs,Sooty mangabey monkeys,infect,11
SIVs,Asian macaques,infect,11
African green monkeys,SIVs,are hosts for,11
Sooty mangabey monkeys,SIVs,are hosts for,11
Asian macaques,SIVs,are hosts for,11
SIVs,immunodeficiency syndrome,result in,11
SIVs,AIDS,cause,11
Natural nonprogressive SIV infections,evolutionary adaptation,represent,11
Primate lentiviruses,African primates,infect,11
Virus replication,African primates,occurs in,11
Disease progression,African primates,is avoided by,11
Immune activation,African primates,is limited in,11
Mucosal immunity,African primates,is altered in,11
Virus-induced cell death,African primates,is avoided by,11
Pathogenesis of AIDS,natural nonprogressive SIV infections,is studied through,11
Vaccine design,natural nonprogressive SIV infections,may be informed by,11
Y73,RNA,has genome,12
Y73,Transforming gene,contains,12
Y73,yas,has sequence,12
Y73-associated virus,yas,has sequence,12
Y73,1- to 1.5-kb sequences,has sequence,12
Y73-associated virus,1- to 1.5-kb sequences,has sequence,12
Y73,Avian leukemia viruses,is similar to,12
Y73,Mammalian leukemia viruses,is similar to,12
4.8-kb RNA,Polyprotein p90,codes for,12
4.8-kb RNA,p19,contains,12
Y73,Cells,transforms,12
Y73,Protein 90,produces,12
T-lymphotropic viruses,simian T-lymphotropic viruses,are related to,13
HTLVs,distinct lineages,originated independently,13
HTLV-1,multiple cross-species transmissions,resulted from,13
HTLV-1,STLV-1,is infected with,13
central Africans,NHPs,report contact with,13
central Africans,HTLVs,are infected with,13
HTLV-4,phylogenetic lineage,is a member of,13
HTLV-3,phylogenetic diversity,falls within,13
HTLV-3,STLV-3,is similar to,13
HTLV-1,STLV-1,is similar to,13
HTLV,HTLV diagnosis,has implications for,13
HTLV,blood screening,has implications for,13
HTLV,disease development,has implications for,13
NHP exposure,HTLV emergence,contributes to,13
cross-species transmission,pandemic retrovirus emergence,is not the rate-limiting step,13
surveillance of populations,disease emergence,may predict and prevent,13
Flavobacterium columnare,cultured fish,has isolates,14
Flavobacterium columnare,different fish species,has isolates,14
Flavobacterium columnare,geographical origins,has isolates,14
Flavobacterium columnare,reference strains,has isolates,14
Genomovar I,Flavobacterium columnare,has isolates,14
Genomovar II,Flavobacterium columnare,has isolates,14
Genomovar I,Flavobacterium columnare,has higher diversity,14
Genomovar II,Genomovar I,has genetic differences,14
ISR sequence,Genomovar I and Genomovar II,confirms genetic differences,14
AFLP fingerprinting,Flavobacterium columnare,provides maximum resolution,14
AFLP fingerprinting,Flavobacterium columnare,allows fingerprinting at clone level,14
Genomovar I and Genomovar II,channel catfish from the US,are present in,14
Genomovar I and Genomovar II,tilapia in Brazil,are present in,14
Genomovar I,Genomovar II,is related to,14
Genomovar I,unique genetic group,is related to,14
ISR,Flavobacterium columnare,allows further subdivision,14
AFLP,Flavobacterium columnare,allows fingerprinting,14
JSRV,ovine pulmonary adenocarcinoma,causes,15
JSRV,sheep,infects,15
