Generated Text,absID
| Haemaphysalis japonica             | Hepatozoon ursi n. sp.        |
| Haemaphysalis flava                | Hepatozoon ursi n. sp.        |",60761
"| Host      | Pathogen                                |
|-----------|------------------------------------------|
| Colobus vellerosus (Ursine colobus monkey)    | -                                        |
|           | Entamoeba sp.                            |
|           | Isospora sp.                             |
|           | Ascaris sp.                              |
|           | Enterobius sp.                           |
|           | Trichuris sp. (two different species)    |
|           | Strongyle sp. (five different species)  |
|           | Giardia duodenalis Assemblage B         |
|           | Blastocystis subtype 2                   |
| Humans    | - Isospora belli                         |
|           | - Giardia duodenalis Assemblage B       |",60209
"| Host                   | Pathogen                |
|------------------------|-------------------------|
| Felis rufus            | Toxoplasma gondii       |
| (Bobcat)              |                         |
| Homo sapiens           | Toxoplasma gondii       |",60352
"| Host (Latin Name) | Pathogen (Latin Name) |
| ----------------- | ---------------------- |
| Colobus guereza   | None                  |
| Pilocolobus tephrosceles | Cryptosporidium sp., Giardia sp. |
| Cercopithecus ascanius | Cryptosporidium sp., Giardia sp. |",60154
"| Host           | Pathogen                          |
| --------------|----------------------------------|
| Alopex lagopus| Toxoplasma gondii                |
|               | Yersinia pseudotuberculosis serotype 2b|
|              | Salmonella Enteritidis phage type 1 (PT1)|
|              | None                             |",57491
"| Host             | Pathogen                   |
|------------------|----------------------------|
| Hawaiian monk seal (Monachus schauinslandi) | Phocine herpesvirus-1        |
|                  | Leptospira bratislava       |
|                  | Leptospira hardjo          |
|                  | Leptospira icterohaemorrhagiae |
|                  | Leptospira pomona         |
|                  | Brucella spp.              |
|                  | Chlamydophila abortus      |
|                  | Dirofilaria immitis        |
|                  | Toxoplasma gondii          |",60431
"| Host                 | Pathogen                |
|----------------------|--------------------------|
| Calomys laucha        | Junin virus (JV)         |
| C. musculinus        | Junin virus (JV)         |
| none                 | not applicable          |",58927
"| Host            | Pathogen                   |
|----------------|----------------------------|
| Ursus maritimus (Polar bear) | Morbillivirus             |
| Ursus maritimus (Polar bear)| Calicivirus                |
| Ursus maritimus (Polar bear)| Phocid herpesvirus type 1 (PhHV-1) |
| Ursus maritimus (Polar bear)| Rabies virus              |",60757
"| Host                  | Pathogen         |
|-----------------------|------------------|
| Blastocerus dichotomus| Desmodus rotundus|
| Mazama americana      | Desmodus rotundus|
| Hydrochoerus hydrochaeris|Desmodus rotundus|
| Cerdocyon thous        | Desmodus rotundus|
| Artibeus lituratus     | Desmodus rotundus|",58559
"| Host           | Pathogen                             |
|----------------|--------------------------------------|
| Swift fox      | Canine parvovirus (CPV)              |
|                | Canine distemper virus (CDV)         |
|                | Vesicular stomatitis New Jersey     |
|                | Vesicular stomatitis Indiana        |
|                | Cache Valley virus                  |
|                | Jamestown Canyon virus              |
|                | Rabies virus                        |
|                | Colorado tick fever virus          |
|                | Western equine encephalitis virus   |
| Kit fox        | Not mentioned as infected           |
| Yersinia pestis | Not found in serum from swift fox   |
| Francisella tularensis | Not found in serum from swift fox  |",59104
"| Host (Latin Name) | Pathogen (Latin Name) |
| ----------------- | ---------------------- |
| Tursiops aduncus    | CPV-1                   |
| Tursiops truncatus  | CPV-1                   |
| Steno bredanensis   | CPV-1                   |
| Stenella coeruleoalba | CPV-1, Parapoxvirus      |
| Balaena mysticetus   | CPV-2                   |
| Eumetopias jubatus   | Poxvirus, Parapoxvirus   |
| Phoca largha         | Parapoxvirus             |
| Phoca vitulina       | Parapoxvirus             |",60252
"| Host (Latin Name) | Pathogen (Latin Name) |
| ----------------- | ---------------------- |
| Neovison vison     | -                      |
| Mustela lutreola   | -                      |
| Mustela putorius   | -                      |
| Martes martes      | -                      |
| Martes foina        | -                      |
| Lutra lutra         | -                      |
| Meles meles         | -                      |
| Genetta genetta     | -                      |
| Vulpes vulpes       | -                      |
| Felis silvestris    | -                      |",58752
"| Host (Latin Name) | Pathogen (Latin Name) |
| ----------------- | ---------------------- |
| Cairina moschata   | Duck viral enteritis    |
| Anas spp.         | N/A                     |
| Anas platyrhynchos | N/A                     |
| Branta canadensis  | N/A                     |
| Cygnus olor        | Duck viral enteritis    |",58087
"| Host             | Pathogen         |
|------------------|-------------------|
| Procyon lotor     | None             |
| Mephitis mephitis | None             |
| Erethizon dorsatum| None             |

The given abstract does not mention any pathogens. It only discusses the behavior and characteristics of raccoons (Procyon lotor) and striped skunks (Mephitis mephitis), as well as porcupines (Erethizon dorsatum). There is no indication that these animals were infected by a specific pathogen in this abstract.",60414
"| Host        | Pathogen                                |
|-------------|-----------------------------------------|
| Zalophus californianus | Astrovirus species (novel)             |
| Eumetopias jubatus | Astrovirus species (novel)              |
| Tursiops truncatus | Astrovirus species (novel)              |
| Homo sapiens  | Astrovirus                              |
| Myotis spp.   | Astrovirus                              |
| Rhinolophus ferrumequinum | Astrovirus                             |",58978
"| Host (Latin Name) | Pathogen (Latin Name) |
| ----------------- | ---------------------- |
| Odocoileus hemionus hemionus | Bunyavirus (Jamestown Canyon virus), Bunyavirus (Northway virus) |
| Odocoileus hemionus californicus | Bunyavirus (Jamestown Canyon virus), Bunyavirus (Northway virus) |
| Odocoileus hemionus inyoensis | Bunyavirus (Jamestown Canyon virus), Bunyavirus (Northway virus) |
| Odocoileus hemionus columbianus | Not mentioned as host for any pathogen |
| Aedes spp. (snow pool mosquitoes) | Bunyavirus (Jamestown Canyon virus) |
| Culiseta inorn",59109
