Generated Text,absID
"```cql
CREATE (Lynx:Carnivora {name: ""Eurasian lynx"", scientific_name: ""Lynx lynx""}),
(Fox:Carnivora {name: ""red fox"", scientific_name: ""Vulpes vulpes""})

CREATE (Helicobacter:Bacteria),
(Hheilmannii:Helicobacter {scientific_name: ""Helicobacter heilmannii""}),
(Hsalomonis:Helicobacter {scientific_name: ""Helicobacter salomonis""})
LEAVE (Hsalomonis)

CREATE (Species:Mammalia),
(Lynx)-[:BELONGS_TO]->(Species),
(Fox)-[:BELONGS_TO]->(Species)

CREATE (G",60336
"[
  {
    ""id"": ""Odocoileus_virginianus"",
    ""type"": ""Organism"",
    ""name"": ""Odocoileus virginianus""
  },
  {
    ""id"": ""Borrelia_burgdorferi"",
    ""type"": ""Organism"",
    ""name"": ""Borrelia burgdorferi""
  },
  {
    ""id"": ""Georgia_(US_state)"",
    ""type"": ""Location"",
    ""name"": ""Georgia (US state)""
  },
  {
    ""id"": ""serologic_survey"",
    ""type"": ""Event"",
    ""name"": ""serologic survey""
  },
  {
    ""id"": ""enzyme-linked_immunosorbent_assay",60475
"```neo4j
CREATE (PasteurellaSpp:Entity {name: ""Pasteurella spp.""}), (BisonBison:Entity {name: ""Bison bison""})
CREATE (NasalSample:Entity {name: ""nasal sample"", type: ""Swab Sample""}, PharyngealSample:Entity {name: ""pharyngeal sample"", type: ""Swab Sample""}), 
      (PasteurellaHaemolytica:Entity {name: ""Pasteurella haemolytica""}, PasteurellaMultocida:Entity {name: ""Pasteurella multocida""})
CREATE (NasalSample)-[:COLLECTED_FROM]->(BisonBison), 
      (PharyngealSample)-[:COLLECTED_FROM]->(BisonBison)
CREATE (NasalSample)-",60058
"```neovault/create 3
0 neovault/set 1
1 key ""entity:common_seal""
2 value Phoca vitulina
1 neovault/incr-id
0 neovault/set 1
1 key ""type:organism""
2 value true
1 neovault/incr-id
0 neovault/set 1
1 key ""entity:harbour_porpoise""
2 value Phocoena phocoena
1 neovault/incr-id
0 neovault/set 1
1 key ""type:organism""
2 value true
1 neovault/incr-id
0 neovault/set 1
1 key ""entity:grey_seal""
2 value Halichoerus grypus
1 neovault/incr-id
0 neovault/",60289
"```neo4j
CREATE TYPE EntityType {label}
MERGE (Entity:EntityType {name: toUpperCase(replaceCollection(collect(distinct labels(.)),~""\s+"",'')[0])})
SET Entity.types = [labels]
RETURN Entity;

// Create Entities and their types
WITH ""grizzly bears"" AS grizzlyBearName, ""black bears"" AS blackBearName, ""Alaska"" AS alaskaLocation, 
     ""parvovirus"" AS parvovirusDisease, ""distemper"" AS distemperDisease, ""infectious hepatitis"" AS infectiousHepatitisDisease, 
     ""brucellosis"" AS brucellosisDisease, ""tularaemia"" AS tularaemiaDisease, ""Trichinella spp."" AS tr",57739
"```neo4j
CREATE TYPE Seal 
CREATE TYPE Morbillivirus 
CREATE TYPE Virus 
CREATE TYPE Dermatitis 
CREATE TYPE Histology 
CREATE TYPE RehabilitationCenter 
CREATE TYPE MarineMammalRehabilitation 
CREATE TYPE Pathologist 
CREATE TYPE Technician 
CREATE TYPE Diagnosis 
CREATE TYPE Immunohistochemistry 
CREATE TYPE PolymeraseChainReaction 
CREATE TYPE SouthernBlotTechnique 
CREATE TYPE USAState 

ON CREATE CONSTRAINT on_seal_create
FOR (s:Seal) REQUIRE NOT ((s)-[:hasType*]->(t)) OR t IN [ {Name:""Hooded Seal""},{Name:""Harp Seal""}]
ON UPDATE NOOP

ON CREATE CONSTRAINT on_morbilliv",57006
"```cql
CREATE (:Study { id: ""10.1371/journal.pone.0029586"",
    title: ""Microbiological and Molecular Characterization of Bacteria Isolated from Chimpanzees and Gorillas with Anthrax-Like Disease in Côte d'Ivoire and Cameroon"" })
CREATE (:Publication { id: ""29586"", journal_title: ""PLoS ONE"", year: 2011, month: ""7"", day: ""14"" })
Merge (s:Study{id:""10.1371/journal.pone.0029586""})<-[:HAS_ID]-(p:Publication{id:""29586""})

WITH *
MERGE (a:",60272
"Loading...
Title: Detection of Antibodies Reactive to the Agent of Human Granulocytic Ehrlichiosis in Black Bears
Abstract: Serum samples from 381 black bears (Ursus americanus) killed in Pennsylvania (USA) on 24 November 1997 were analyzed for antibodies reactive to the agent of human granulocytic ehrlichiosis (HGE; Ehrlichia sp.) by indirect immunofluorescence assay. Antibody reactivity to HGE antigen was detected in 21% (81/381) of the samples collected. Reactive samples were reported from 56% (14/25) of the counties where bear samples were collected. Endpoint antibody titer ranged from 1:8 to 1:16, 192, with a geometric mean",60742
"```cql
CREATE (T1:Entity {id:""Tuberculosis"", name:""Tuberculosis"", type:"":Disease""}),
(Mbovis:Entity {id:""Mycobacterium bovis"", name:""Mycobacterium bovis"", type:"":BacterialSpecies""})
CREATE (BrushtailPossum:Entity {id:""Trichosurus vulpecula"", name:""Brushtail possum"", type:"":AnimalSpecies""}),
(Stoat:Entity {id:""Mustela erminea"", name:""Stoat"", type:"":AnimalSpecies""})
CREATE (Hare:Entity {id:""Lepus europaeus occidentalis"", name:""European hare"", type:"":AnimalSpecies""}),
(Westland:Entity {id:""New Zealand West Coast"", name:""",60434
"Neo4j Cypher Query Format:

```cypher
CREATE (FalloDeer:Animal {name: ""Fallow Deer"", scientific_name: ""Dama dama""}) 
SET FalloDeer.synonyms = [""European fallow deer""]
CREATE (Paratuberculosis:Disease {name: ""Paratuberculosis""})
CREATE (ElSueveReserve:Location {name: ""Regional Hunting Reserve of El Sueve"", city: ""Asturias"", country: ""Spain""})
CREATE (DeerWithDiarrhea:Animal {name: ""Five of eight animals observed with diarrhea""}, has_disease: Paratuberculosis)
CREATE (GrossLesions:Pathology {name: ""gross lesions at postmortem examination and histopathology""})",60226
"```neovault/create 3
0
NeoVault: Creating new database at 'neo4j.db'...
1
NeoVault: Database created successfully!
2
Transaction started for Neo4J DB located at 'neo4j.db'.
# Added entities to the transaction stack, ready for commit or rollback.
```

```neovault/add 0
0
Entity: (Acanthocephala_species_Profilicollis_altmani {id ""profilicollis_altmani"", name ""Profilicollis altmani""}) as Acanthocephala_species
1
Entity: (Acanthocephala_species_Profilicollis_altmani {id ""profilicollis_altmani"", name ""Profilicoll",60232
"```neo4j
CREATE TYPE EntityType {label: String, type: String}
CREATE CONSTRAINT ON (e:EntityType) ASCENDING e.id UNIQUE
CREATE CONSTRAINT ON (t:EntityType) ASSERT t.type IN [""Animal"", ""TimePeriod"", ""Location""]
CREATE TYPE Animal {label: String, type: String}
CREATE CONSTRAINT ON (a:Animal) ASCENDING a.id UNIQUE
CREATE CONSTRAINT ON (t:EntityType) ASSERT t.type IN [""Animal""]
CREATE TYPE TimePeriod {startYear: Int, endYear: Int, label: String}
CREATE CONSTRAINT ON (p:TimePeriod) ASCENDING p.id UNIQUE
CREATE CONSTRAINT ON (t:EntityType) ASSERT t.type IN [""TimePeriod""]
CREATE TYPE Location {label",60457
"```graphql
CREATE (EntityType: EntityType {name: ""Species"", type: ""Organism""})
CREATE (Species1: Entity {name: ""Capreolus capreolus"", synonyms: [""Roe deer""], is_a: EntityType.name})
CREATE (Species2: Entity {name: ""Alces alces"", synonyms: [""Moose""], is_a: EntityType.name})
CREATE (Species3: Entity {name: ""Dama dama"", synonyms: [""Fallow deer""], is_a: EntityType.name})
CREATE (Species4: Entity {name: ""Cervus elaphus"", synonyms: [""Red deer""], is_a: EntityType.name})
CREATE (Species5: Entity {name: ""Rangifer tarandus"", synonyms: [""Reindeer""], is_",60010
"```neovault/cql
CREATE TYPE Person { label ""Person"", properties [name: String, affiliation: String] }
CREATE TYPE Publication { label ""Publication"", properties [title: String, year: Integer]}
CREATE TYPE Relationship_author2publication { label ""Relationship_author2publication"", source_type ""Person"", target_type ""Publication"", relationship_name ""authored"" }
CREATE TYPE Relationship_citation { label ""Relationship_citation"", source_type ""Publication"", target_type ""Publication"", relationship_name ""cites""}
CREATE TYPE Organism { label ""Organism"", properties [scientificName: String, commonNames: Object] }
CREATE TYPE Taxon { label ""Taxon"", properties [rank: String, scientificName: String]}
CREATE TYPE Relationship_partOf { label ""Relationship_partOf"", source_type ""Organ",60697
