Generated Text,absID
"| Host Common Name | Latin Name | Pathogen | Geographical Location | Infectious Level | Relationship to Other Species | Symptoms Displayed |
|---|---|---|---|---|---|---|
| Lynx | Lynx lynx | Helicobacter spp. (closely related to H. heilmannii) | Sweden | 68% positive in gastric mucosa | - | N/A |
| Fox | Vulpes vulpes | Helicobacter spp. (closely related to H. heilmannii and H. salomonis) | Sweden | 75% positive in gastric mucosa | Related to Lynx lynx | - |",60336
"| Latin Name | Common Name | Pathogen | Geographical Location | Infectious Level | Common Names for Equivalent Hosts | Relationship of Infection Potential | Symptoms Displayed by Species |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Odocoileus virginianus | White-tailed Deer | Borrelia burgdorferi | Georgia, USA | Serologic survey for antibodies to B. burgdorferi utilizing an enzyme-linked immunosorbent assay (ELISA) was conducted on white-tailed deer serum samples collected in Georgia from 1979 to 1990. | N/A | White-tailed deer had the highest prevalence of antibodies against B. burgdorferi, followed by age classes > or = 2.5 yr",60475
"| Latin Name | Common Name | Pathogen | Geographical Location | Infectious Level | Relationship to Other Hosts | Symptoms of Infection |
|---|---|---|---|---|---|---|
| Bison bison | American Bison/Buffalo | Pasteurella spp. | Yellowstone National Park, Montana (USA) | Oral and nasal carriage | Not mentioned | Not mentioned |
|  |  | Pasteurella haemolytica (biotype T, A, 3) |  |  | Bison have higher susceptibility to infection compared to other species | Not mentioned |",60058
"| Latín Name | Common Name | Pathogen | Geographical Location | Infectious Level | Relationship of Infection Potential | Symptoms of Infection |
|---|---|---|---|---|---|---|
| Phoca vitulina | Common Seal | Brucella species | German North Sea | 47 positive seals, presence in more than one organ sample in 15 animals | - | Lung as primary organ with bacteria present |
| Phocoena phocoena | Harbour Porpoise | Brucella species | German North Sea | 2 positive porpoises | - | Presence in lung and isolation of 2 strains from lungworms (Parafilaroides spp.) |
| Halichoerus grypus | Grey Seal | Brucella species | German North Sea | 1 positive seal | - | Lung as primary organ with bacteria present |
| Other marine mamm",60289
"| Latin Name | Common Name | Pathogen | Geographical Location | Infectious Levels | Common Names for Equivalent Hosts | Relationship of Infection Potential | Species with Symptoms |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Ursus arctos horribilis | Grizzly Bear | None specified | Alaska, United States of America | Antibody prevalence: <br> - Parvovirus: 0%<br>- Distemper: 8.3% (40/480)<br>- Infectious hepatitis: 14% (68/480)<br>- Brucellosis: 16.5% (79/480)<br>- Tularaemia: 19% (93/480)<br>- Trichin",57739
"| Host Common Name | Latinate Name | Pathogen | Geographical Location | Infectious Level | Relationship with Other Species | Symptoms Displayed by Infection |
|---|---|---|---|---|---|---|
| Hooded Seal | Cystophora cristata | Morbillivirus (Phocine Distemper Virus) | New Jersey, USA | Lehargic, Emaciated, Dermatitis | Juvenile Female | Lethargy, Emaciation, Dermatitis |
| Harp Seal | Phoca groenlandica | Morbillivirus (Phocine Distemper Virus) | New Jersey, USA | Lehargic, Emaciated, Dermatitis | Juvenile Male | Lethargy, Emaciation, Dermatitis |

The relationship between the two host species in this study is not explicitly mentioned. However",57006
"| Latin Name | Common Name | Pathogen | Geographical Location | Infectious Level | Relationship with Other Hosts | Displayed Symptoms |
|---|---|---|---|---|---|---|
| Bacillus anthracis | N/A | Anthrax | Côte d'Ivoire and Cameroon | Atypical isolates differing in motility, resistance to gamma phage, and penicillin G susceptibility. Some subclones showed beta-hemolytic activity and gamma phage susceptibility under certain conditions. | Chimpanzees and Gorillas | The microbiological and molecular characterization of bacteria isolated from four chimpanzees and one gorilla thought to have died of an anthrax-like disease in Côte d'Ivoire and Cameroon. |
| N/A | N/A | N/A | N/A | The",60272
"| LatLatin Name | Common Name (if present) | Pathogen | Geographical Location | Infectious Levels | Relationship with other Hosts | Symptoms in Species |
|---|---|---|---|---|---|---|
| Ursus americanus | Black Bear | Ehrlichia sp. (Agent of Human Granulocytic Ehrlichiosis) | Pennsylvania, USA | Antibody reactivity detected in 21% of samples collected | Adult bears were significantly more likely to have reactive antibodies than juvenile bears; no significant difference between male and female bears | N/A (study describes presence of antibodies, not symptoms)|
| None identified for other hosts mentioned in the text | N/A | N/A | N/A | N/A | N/A | N/A |",60742
"| Latin Name | Common Name | Pathogen | Geographical Location | Infectious Level | Relationship with Other Hosts | Displayed Symptoms |
|---|---|---|---|---|---|---|
| Trichosurus vulpecula | Brushtail possum | Mycobacterium bovis | Westland, New Zealand | Exceptionally low density (trap catch <3%) | More male than female possums had grossly visible tuberculous lesions. Distribution of infection appeared continuous along the forest-scrub margin. | Tuberculosis caused by M. bovis was diagnosed in 53% of trapped brushtail possums. Prevalence was at least twice that previously recorded in New Zealand and about seven times that recorded from the same population in 1980. |
| Mustela erminea | Stoat | Mycobacterium bovis | Westland, New Zealand",60434
"| Latin Name | Common Name | Pathogen | Geographical Location | Infection Level | Common Names for Equivalent Hosts | Relationship of Infection Potential |
|---|---|---|---|---|---|---|
| Dama dama | Fallow Deer | Mycobacterium avium subsp. paratuberculosis | Asturias, Spain | Seronegative (indirect enzyme-linked immunosorbent assay and immunodiffusion tests) for some deer; cultured in two deer | Free-ranging fallow deer population | Fallow Deer displayed symptoms of infection: diarrhea observed in five out of eight animals with gross lesions at postmortem examination and histopathology. |",60226
"| Latin Name | Common Name | Pathogen | Geographical Location | Infectious Levels | Host Species | Relationship | Symptoms Displayed |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Profilicollis altmani |  | Acanthocephalan parasites | Central California, between Pt. San Pedro and Pt. Arguello | Massive infections (>8760 parasites) | Southern sea otters (Enhydra lutris nereis), Surf scoter (Melanitta perspicillata) | Direct transmission from intermediate hosts to definitive host, indirect transmission through ingestion of infected prey items. P. altmani and/or Kenti infections led to the most massive infections and all cases of intestinal perforation. | Intestinal perforation and peritonitis (direct",60232
"| Latin Name | Common Name | Pathogen | Geographical Location | Infectious Level | Common Names for Equivalent Hosts | Relationship of Infection Potential | Species with Symptoms |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Odocoileus hemionus columbianus | Columbian black-tailed deer | N/A (Hair loss syndrome) | Western Washington, USA | Prevalence: 6% to 74% in fawns; 4% to 33% in does | None mentioned | Fawns have higher prevalence than does | Fawns and Does |
| N/A | Columbian black-tailed deer (Odocoileus hemionus columbianus) population | N/A | Western Washington, USA | Minimum fawn survival rates: 0.56 to 0.8",60457
"| Host Common Name | Latino Name | Pathogen | Geographical Location | Infectious Level | Relationship with Other Species | Symptoms Displayed |
| ---------------- | ----------- | -------- | ---------------------- | ----------------- | ------------------------------- | -------------------- |
| Roe Deer          | Capreolus capreolus | Dictyocaulus capreolus | Sweden | 14.7% | None mentioned | Not mentioned |
| Moose             | Alces alces | Dictyocaulus capreolus (29.5%) and Dictyocaulus eckerti (18.9%) | Sweden | 20.6% | Red deer and reindeer also infected with Dictyocaulus spp. | Not mentioned |
| Fallow Deer       | Dama dama | New genotype of Dict",60010
"| Latin Name | Common Name | Pathogen | Geographical Location | Infectious Levels | Relationship with Other Hosts | Symptoms of Infections |
|---|---|---|---|---|---|---|
| Rupicapra rupicapra rupicapra | Chamois | Gastrointestinal and lung helminths (not specified) | Not mentioned in the abstract | Male: higher output of gastrointestinal eggs; Female: lower output of gastrointestinal eggs | Males have a higher rate of parasites than females, but this is not applicable to other host species | The study did not mention specific symptoms for each pathogen. However, it was mentioned that male chamois had a higher output of lungworm larvae when compared to females. This could imply that both males and females were infected with the lung helminths but only males displayed more severe infection levels |
",60697
"| Host Common Name | Latinate Name | Pathogen | Geographical Location | Infectious Level | Relationship with Other Species | Symptoms Displayed |
| -----------------|---------------|----------|-----------------------|------------------|--------------------------------|---------------------|
| Macaque Monkey   | Macaca fuscata | E. histolytica, E. dispar | Mt. Takasaki, Oita Prefecture, Japan | N/A (wild population) | Not mentioned | None of the samples tested positive for E. histolytica; 42.57% of samples were positive for E. dispar |
| Entamoeba        | Entamoeba     | N/A      | N/A                   | Pathogen         | Host to both species            | Not mentioned       |",60358
"| Latin Name | Common Name | Pathogen | Geographical Location | Infectious Level | Host Species Relationship | Symptoms of Infection |
|---|---|---|---|---|---|---|
| Martes melampus melampus | European martens | N/A (not mentioned in abstract) | North-western part of Tohoku region, Japan | N/A (not mentioned in abstract) | N/A (not mentioned in abstract) | N/A (not mentioned in abstract) |
| Nyctereutes procyonoides viverrinus | Raccoon dogs | Mesocestoides paucitesticulus | North-western part of Tohoku region, Japan | Parasite | Infects martens and foxes as well | Not mentioned in abstract |
| Vulpes vulpes japonica | Japanese red foxes | Brachylaima tokudai (origin",60382
