Generated Text,absID
"MATCH (:BiologicalEntity {name:'Eurasian lynx'})-[:INFECTED_BY]->(p1:Pathogen)
WHERE ID(p1)=ID(labeling.apoc.ref.node('Helicobacter heilmannii', 'pathogen') )
MATCH (:BiologicalEntity {name:'red fox'})-[:INFECTED_BY]->(p2:Pathogen)
WHERE ID(p2)=ID(labeling.apoc.ref.node('Helicobter heilmannii', 'pathogen') ) OR ID(p2)=ID(labeling.apoc.ref.node('Helicobacter salomonis', 'pathogen'))
MATCH (:BiologicalEntity {name:'gastric mucosa'})-[:LOCATION]->(:Infection{infected_by: p1",60336
"const CYPHER = `
CREATE (:Species {name: ""Borrelia burgdorferi"", latinName: ""Odocoileus virginianus""})-[:INFECTS]->(:Pathogen {name: ""Borrelia burgdorferi"", latinName: ""Borrelia burgdorferi""})
CREATE (:Species {name: ""White-tailed deer"", latinName: ""Odocoileus virginianus""})-[:SEROPOSITIVE]->(:SerologyResult {prevalence: 36, region: ""Barrier Islands"", ageClass: ""<0.5 years""})
CREATE (:Species {name: ""White-tailed deer"", latinName: ""Odocoileus virginianus""})-[:SEROPOSITIVE]->(:SerologyResult",60475
"CREATE (:Species {name: 'Bison bison', commonName: 'American Bison'})-[:CARRIES]->(:Pathogen {name: 'Pasteurella spp.', commonName: 'Pasteurella species'}) 
WITH [{'name': 'Pasteurella haemolytica', 'commonName': 'Pasteurella haemolytica'}, {'name': 'Pasteurella multocida', 'commonName': 'Pasteurella multocida'}] AS pathogens
UNWIND range(0, size(pathogens)-1) as i 
UNPACK pathgons[i] as {name, commonName}
CREATE (:Pathogen {name: name, commonName: commonName})-[:INFECTS]->(:Species {name: 'Bison bison', commonName: 'American Bison'}) 
",60058
"CREATE (Brucella {name: 'Brucella'}), 
(Parafilaroides {name: 'Parafilaroides'})-[:PARASITE]->(CommonSeal {name:'common seal', latinName:'Phoca vitulina'}, HarbourPorpoise{latinName:'Phocoena phocoena'}, GreySeal{latinName:'Halichoerus grypus'}),
(Brucella)-[:PATHOGEN]-(CommonSeal {name: 'common seal', latinName:'Phoca vitulina'}), 
(Brucella)-[:PATHOGEN]-(HarbourPorpoise{latinName:'Phocoena phocoena'}), 
(Brucella)-[:PATHOGEN]-(GreySeal {latinName:'Halichoerus grypus'}), 
",60289
"CREATE (GrizzlyBear:Species {name:""grizzly bear"", latinName:""Ursus arctos horribilis"", commonName:""grizzly bear""}), 
(BlackBear:Species {name:""black bear"", latinName:""Ursus americanus"", commonName:""black bear""}),
(CanineDistemperVirus:Pathogen {latinName:""canine distemper virus"", name:""Canine Distemper Virus""}),
(Parvovirus:Pathogen {latinName:""parvovirus"", name:""Parvovirus""}),
(InfectiousHepatitisVirus:Pathogen {latinName:""infectious hepatitis virus"", name:""Infectious Hepatitis Virus""}),
(Brucellosis:Disease {name:""brucellosis""}),
(Tularaemia",57739
"CREATE (HoodedSeal:Species {name:""Cystophora cristata"",commonName:""Hooded Seal""}), 
(Harpseal:Species {name:""Phoca groenlandica"", commonName:""Harp Seal""}),
(Morbillivirus:Pathogen {name:""Morbillivirus""}),
(PDV:SubtypeOf{name:""Phocine Distemper Virus"", pathogen:$morph})-[:IS]-(Morbillivirus),
(HoodedSeal)-[:INFECTED_BY]->(:Infection {pathogen: $morph, host: $hoodedSeal}),
(Harpseal)-[:INFECTED_BY]->(:Infection {pathogen:$morph,host:$harpSeal}) 
WITH HoodedSeal AS hoodedSeal, Harpseal",57006
"CREATE (Host: {name:""chimpanzees"", latinName:""Homo sapiens""}), CREATE (Pathogen: {latinName:""Bacillus anthracis"", commonName:""anthrax""}) 
MERGE (Chimp: {name:""chimpanzees"", latinName:""Pan troglodytes""}) MERGE (Gorilla: {name:""gorillas"", latinName:""Gorilla gorilla""})
MERGE (Pathogen: {latinName:""Bacillus anthracis"", commonName:""anthrax""}) 
MERGE (Host_1: {name:""chimpanzees"", latinName:""Pan troglodytes""}), MERGE (Host_2: {name:""gorillas"", latinName:""Gorilla gorilla""})
MERGE (Pathogen:",60272
"CREATE (Host: {name:""Black Bear"", latinName:""Ursus americanus"", commonName:""black bear""}), 
(Pathogen: {latinName:""Ehrlichia sp.""})-[:INFECTS]->(Host)
WHERE NOT ((Host)-[:INFECTS*2]->(Pathogen))
RETURN ""The Black Bear (Ursus americanus) can be infected by Ehrlichia sp. or an antigenically related ehrlichial species."" AS result;",60742
"CREATE (Mbovis {name: ""Mycobacterium bovis"", pathogen_type:""Bacteria""})-[:INFECTS]->(Tvulpecula {name: ""Brushtail possum"", common_name: ""Trichosurus vulpecula""})
CREATE (Mbovis)-[:INFECTS]->(Mustelaerminea {name:""Stoat"", common_name:""Mustela erminea""})
CREATE (Lepuseuropaeusoccidentalis {name:""European hare"", common_name: ""Lepus europaeus occidentalis""})-[:INFECTED]->(Mbovis)
WITH Mbovis, Tvulpecula, Mustelaerminea, Lepuseuropaeusoccidentalis 
CREATE (Tvulpecula)-[:PREVALENCE]-(Mbov",60434
"CREATE (Species: {name:""Fallow deer"", latinName:""Dama dama"", commonName:""fallow deer""}), 
(Pathogen: {name:""Mycobacterium avium subsp. paratuberculosis"", latinName:""M.avium subsp.paratuberculosis"", commonName:""Paratuberculosis""})
CREATE (Species)-[:INFECTED_BY]->(:Disease{name:""Paratuberculosis""}), 
(Pathogen)-[:IDENTIFIED_AS]->(:Disease{name:""Paratuberculosis""})
RETURN Species, Pathogen, Disease;",60226
