"","entity","deepseek","gemma2","llama","llama70b","mistral","models_present","n_entity_types"
"1","serovars pomona","Pathogen","Pathogen","Pathogen","Pathogen",NA,4,1
"2","serovars icterohemorrhagiae","Pathogen","Pathogen","Pathogen","Pathogen",NA,4,1
"3","serovars canicola","Pathogen","Pathogen","Pathogen","Pathogen",NA,4,1
"4","serovars hardjo","Pathogen","Pathogen","Pathogen","Pathogen",NA,4,1
"5","serovars grippotyphosa","Pathogen","Pathogen","Pathogen","Pathogen",NA,4,1
"6","skunk","Host",NA,"Animal source",NA,NA,2,2
"7","opossum","Host",NA,NA,NA,NA,1,1
"8","gray squirrel","Host",NA,NA,NA,NA,1,1
"9","leptospirosis","Disease","Disease","Disease","Disease","Disease",5,1
"10","northeastern United States","Location","Location","Location","Location","Location",5,1
"11","serosurvey","Method",NA,NA,NA,"Process",2,2
"12","36%","Proportion","Proportion of individuals",NA,"Proportion of raccoons exposed",NA,3,3
"13","13%","Proportion","Proportion of individuals",NA,"Proportion of skunks exposed",NA,3,3
"14","February 27, 2001","Date",NA,NA,NA,NA,1,1
"15","September 17, 2001","Date",NA,NA,NA,NA,1,1
"16","265","Number of animals tested positive",NA,NA,NA,NA,1,1
"17","500","Total number of animals",NA,NA,NA,NA,1,1
"18","53%","Mortality rate",NA,NA,NA,NA,1,1
"19","jackals","serve as",NA,"Common name","Common name",NA,3,2
"20","black-backed jackal","Host",NA,NA,NA,NA,1,1
"21","golden jackal","Host",NA,NA,NA,NA,1,1
"22","side-striped jackal","Host",NA,NA,NA,NA,1,1
"23","C. adustus","Host","Host","Host","Host",NA,4,1
"24","Kenya","Location","Location","Location","Location","Location",5,1
"25","distemper","Disease",NA,NA,NA,NA,1,1
"26","ehrlichiosis","Disease",NA,NA,NA,NA,1,1
"27","Pacific harbor seal","found in","Common name","Common name",NA,NA,3,2
"28","Adrenal necrosis","affects",NA,NA,"Disease",NA,2,2
"29","Intranuclear inclusion bodies","contain",NA,"Structure","Biological structure",NA,3,3
"30","Electron microscopy","detects",NA,NA,"Detection method",NA,2,2
