source_text,target_text,relation_type,doc_id
Leptospira,domestic dogs,infects,59826
domestic dogs,Leptospira,hosts,59826
Leptospira,humans,infects,59826
humans,Leptospira,hosts,59826
raccoons,Leptospira,hosts,59826
Leptospira,raccoons,infects,59826
skunks,Leptospira,hosts,59826
Leptospira,skunks,infects,59826
opossums,Leptospira,does not host,59826
Leptospira,opossums,does not infect,59826
gray squirrels,Leptospira,hosts,59826
Leptospira,gray squirrels,infects,59826
Connecticut,peridomestic wildlife,lives in,59826
peridomestic wildlife,Connecticut,lives in,59826
northeastern United States,peridomestic wildlife,lives in,59826
peridomestic wildlife,northeastern United States,lives in,59826
leptospirosis,zoonotic disease,causes,59826
zoonotic disease,leptospirosis,is caused by,59826
rabies virus,Canis mesomelas,infects,58605
Canis mesomelas,rabies virus,hosts,58605
canine parvovirus,Canis mesomelas,infects,58605
Canis mesomelas,canine parvovirus,hosts,58605
canine distemper virus,Canis mesomelas,infects,58605
Canis mesomelas,canine distemper virus,hosts,58605
Ehrlichia canis,Canis mesomelas,infects,58605
Canis mesomelas,Ehrlichia canis,hosts,58605
jackals,rabies virus,hosts,58605
jackals,canine parvovirus,hosts,58605
jackals,canine distemper virus,hosts,58605
jackals,Ehrlichia canis,hosts,58605
golden jackals,CPV-2,hosts,58605
side-striped jackals,CPV-2,hosts,58605
side-striped jackals,CDV,hosts,58605
Kenya,serum samples,location of,58605
April 1987,serum samples,date of,58605
January 1988,serum samples,date of,58605
serum samples,antibodies,detected by,58605
antibodies,antibody prevalence,measurement of,58605
antibody prevalence,significantly differences,causes,58605
Herpesvirus,Herpesvirus,no_relationship,59830
Urocyon littoralis,canine adenovirus,hosts,59699
canine adenovirus,Urocyon littoralis,infects,59699
Urocyon littoralis,canine parvovirus,hosts,59699
canine parvovirus,Urocyon littoralis,infects,59699
Urocyon littoralis,canine distemper virus,does not host,59699
canine distemper virus,Urocyon littoralis,does not infect,59699
Channel Islands,Urocyon littoralis,location of,59699
California,Channel Islands,location of,59699
USA,California,location of,59699
194,Urocyon littoralis,number of,59699
97%,canine adenovirus,antibody prevalence of,59699
59%,canine parvovirus,antibody prevalence of,59699
Pyrenean Chamois,Pestivirus,hosts,59904
Rupicapra pyrenaica pyrenaica,Pestivirus,hosts,59904
Pestivirus,disease,associated with,59904
Pyrenean Chamois,mortality,experienced,59904
Pestivirus,mortality,causes,59904
Pestivirus,noncoding regions,found in,59904
Pestivirus,border disease virus cluster,belongs to,59904
Pyrenean Chamois,Spain,lives in,59904
outbreak,2001-02,occurred in,59904
border disease virus,Rupicapra pyrenaica,infects,59578
Rupicapra pyrenaica,border disease virus,hosts,59578
southern chamois,Rupicapra pyrenaica,common name of,59578
Rupicapra pyrenaica,southern chamois,latin name of,59578
border disease virus,high-mortality disease,causes,59578
Rupicapra pyrenaica,high-mortality disease,suffered from,59578
border disease virus,high-mortality disease,causes,59578
RT-PCR,pestivirus,detected by,59578
monoclonal antibodies,border disease virus,detected by,59578
intraeritrocitic parasites,RT-PCR,detected by,59578
pestivirus,border disease virus,is a,59578
high-mortality disease,border disease virus,is caused by,59578
Mirounga angustirostris,Urate nephrolithiasis,hosts,59831
Zalophus californianus,Urate nephrolithiasis,hosts,59831
Urate nephrolithiasis,Mirounga angustirostris,infects,59831
Urate nephrolithiasis,Zalophus californianus,infects,59831
Mirounga angustirostris,Nephroliths,has,59831
Zalophus californianus,Nephroliths,has,59831
Nephroliths,Mirounga angustirostris,found in,59831
Nephroliths,Zalophus californianus,found in,59831
Nephroliths,Renal pelvic dilation,associated with,59831
Nephroliths,Pyelonephritis,associated with,59831
Zalophus californianus,Hydronephrosis,has,59831
Nephroliths,Uric acid,composed of,59831
Nephroliths,Ammonium urate,composed of,59831
Metabolic derangements,Nephrolithiasis,causes,59831
Morphologic differences,Metabolic derangements,causes,59831
Physiologic differences,Metabolic derangements,causes,59831
Odocoileus virginianus,Ehrlichia chaffeensis,hosts,59842
Odocoileus virginianus,HGE agent,hosts,59842
Odocoileus virginianus,Ehrlichia-like organism,hosts,59842
Ehrlichia chaffeensis,Odocoileus virginianus,infects,59842
HGE agent,Odocoileus virginianus,infects,59842
Ehrlichia-like organism,Odocoileus virginianus,infects,59842
Amblyomma americanum,Odocoileus virginianus,lives in,59842
Ixodes scapularis,Odocoileus virginianus,lives in,59842
Ehrlichia chaffeensis,indirect fluorescent antibody testing,detected by,59842
HGE agent,indirect fluorescent antibody testing,detected by,59842
Ehrlichia spp.,nested polymerase chain reaction,detected by,59842
Ehrlichia-type morula,neutrophil,found in,59842
Ehrlichia chaffeensis,human ehrlichioses agents,causes,59842
HGE agent,human ehrlichioses agents,causes,59842
free-living wild species,pathogenic agents,hosts,59912
pathogenic agents,free-living wild species,infects,59912
wildebeest,bovine herpes virus types 1 and 2,hosts,59912
topi,bovine herpes virus types 1 and 2,hosts,59912
Zebra,African horse sickness,hosts,59912
African horse sickness,Zebra,infects,59912
wart hog,African swine fever,hosts,59912
African swine fever,wart hog,infects,59912
lumpy skin disease,free-living wild species,does not infect,59912
coagulase-positive Staphylococcus aureus,black bear,infects,59921
