"","entity","deepseek","gemma2","llama","llama70b","mistral","models_present","n_entity_types"
"1","small wild mammals","small wild mammals",NA,NA,NA,"Host",2,2
"2","skunks","Wildlife","Host","Host","Species","Animal",5,4
"3","Mephitis mephitis","Host","Host","Host","Host","Host",5,1
"4","opossums","marsupial","Host","Host","Species","Animal",5,4
"5","Didelphis virginiana","Host","Host","Host",NA,"Host",4,1
"6","gray squirrels","gray squirrel","Host","Host","Species","Animal",5,4
"7","Sciurus carolinensis","Host","Host","Host","Host","Host",5,1
"8","pomona","Leptospira serovar",NA,NA,"Serovar",NA,2,2
"9","icterohemorrhagiae","Leptospira serovar",NA,NA,"Serovar",NA,2,2
"10","canicola","Leptospira serovar Canicola",NA,NA,"Serovar",NA,2,2
"11","hardjo","serovar",NA,NA,"Serovar",NA,2,2
"12","grippotyphosa","serovar",NA,NA,"Serovar",NA,2,2
"13","February 27","Date","DATE","Date","Date","Date",5,2
"14","September 17","Date of serosurvey","DATE","Date","Date",NA,4,3
"15","2001","Year","Year","Year","Year","Year",5,1
"16","13%","Measurement","Percentage",NA,"Percentage","Percentage",4,2
"17","high antibody titers","Measurement","Biomarker",NA,"Laboratory test value",NA,3,3
"18","canine parvovirus (CPV-2)","virus","Virus","Viral pathogen",NA,"Virus",4,3
"19","Ehrlichia canis","bacterium","Bacteria","Bacterium","Bacterium species","Bacterial species",5,5
"20","jackals","Host",NA,NA,"Organism Species",NA,2,2
"21","black-backed jackals","Host","Host","Mammal","Species","Animal species",5,4
"22","Canis mesomelas","Host","Host","Host","hosts","hosts",5,2
"23","golden jackals","Host","Host","Mammal","Canis aureus","Canis aureus",5,3
"24","Canis aureus","Host",NA,NA,NA,NA,1,1
"25","side-striped jackals","Host","Host","Mammal","Species","Animal species",5,4
"26","Canis adustus","Host",NA,NA,NA,NA,1,1
"27","76","Count",NA,"Number: Sample Size","Quantity",NA,3,3
"28","free-ranging","status",NA,"Animal population",NA,NA,2,2
"29","April 1987","Date","DATE","Date","Date","Date",5,2
"30","January 1988","Date","Date","Date","Date","Date",5,1
"31","34%","Measurement",NA,"Percentage","Percentage","Percentage",4,2
"32","14 positive/55 sampled","Measurement",NA,NA,NA,NA,1,1
"33","9%","Measurement","Prevalence",NA,"Percentage","Percentage",4,3
"34","4/55","Measurement",NA,NA,"Ratio",NA,2,2
"35","3%","Measurement",NA,NA,"Percentage","Percentage",3,2
"36","1/28","Measurement",NA,NA,"Date",NA,2,2
"37","2%","Measurement","Prevalence",NA,"Percentage","Percentage",4,3
"38","1/36","Measurement",NA,NA,"Ratio",NA,2,2
"39","9/16","Measurement",NA,NA,"Fraction",NA,2,2
"40","5/26","Measurement",NA,NA,"Date",NA,2,2
"41","Herpesvirus","Virus genus","Virus","causes","causes","Virus",5,3
"42","Pacific harbor seals","Species",NA,NA,NA,"Animal species",2,2
"43","Phoca vitulina richardsi","subspecies","Subspecies","Species","Subspecies","Host",5,4
"44","adrenal necrosis","Disease","Disease",NA,NA,"Disease",3,1
"45","sepsis","Disease","Disease",NA,NA,"Disease",3,1
"46","bacterial omphalophlebitis","Disease","Disease",NA,NA,"Disease",3,1
"47","gastroenteritis","Disease","Disease",NA,NA,"Disease",3,1
"48","thymic atrophy","Disease","Disease",NA,NA,"Disease",3,1
"49","lymphopenia","Hematologic disorder","blood condition",NA,NA,"Medical Condition",3,3
"50","intranuclear inclusion bodies","Viral inclusion body",NA,NA,NA,NA,1,1
"51","viral particles","Herpesviridae","Virus",NA,NA,"virions",3,3
"52","adrenal glands","Tissue","Tissue","Tissue","Tissue","Organ",5,2
"53","liver","Tissue","Tissue","Tissue","Tissue","Organ",5,2
"54","thymus","Tissue",NA,NA,NA,NA,1,1
"55","lymphocytes","immune cell",NA,NA,NA,NA,1,1
"56","phocine adrenal cell lines","Phocine (seal) adrenal cell line",NA,NA,NA,NA,1,1
"57","phocine kidney cell lines","biological entity",NA,NA,NA,NA,1,1
"58","cytopathic effect","pathological process","Biological Phenomenon",NA,NA,"Biological Phenomenon",3,2
"59","coastal California","geographical region","Geographic Location",NA,NA,NA,2,2
"60","74 of 162 (45%)","Statistical measure",NA,NA,NA,NA,1,1
"61","24","Number","Number of species","Number","Age",NA,4,3
"62","42 of 95 (44%)","prevalence",NA,NA,NA,NA,1,1
"63","32 of 67 (47%)","Statistical Measure",NA,NA,NA,NA,1,1
"64","0 to 63 days","Time Range","Duration","Duration","AgeRange","Duration",5,3
"65","below average birth weight","Sign or Symptom","Physical Characteristic",NA,NA,NA,2,2
"66","Channel Islands","Archipelago",NA,"Geographic Region",NA,"Geographical Location",3,3
"67","California","state",NA,NA,"AdministrativeRegion",NA,2,2
"68","serologic survey","serologic survey",NA,"Biological research study",NA,"Scientific Study",3,3
"69","194","Count","Number of individuals","Number of individuals","Quantity","Quantity",5,3
"70","canine parvovirus","virus","Virus","Viral pathogen","Virus","Virus",5,3
"71","canine herpesvirus","Canid herpesvirus 1","Virus","Virus","Virus","Virus",5,2
"72","canine coronavirus","virus","Virus","virus","Virus","Virus",5,2
"73","59%","Prevalence","Antibody prevalence","Percentage","Percentage","Prevalence",5,3
"74","pestivirus","Genus","Virus","Virus","Virus","Virus",5,2
"75","Pyrenean Chamois","subspecies","Animal","Species","Species","Animal Species",5,4
"76","Rupicapra pyrenaica pyrenaica","LLM_Default_Classification","Animal subspecies","Species","Subspecies","Animal Species",5,5
"77","Spain","Country",NA,"Country",NA,NA,2,1
"78","northeastern Spain","geographical region","Geographic Location",NA,"Geographic Region","Geographical Location",4,4
"79","previously unreported disease","disease",NA,NA,NA,NA,1,1
"80","noncoding regions","genomic region","DNA or RNA sequence","genomic region","BiologicalRegion","Genomic region",5,4
"81","border disease virus cluster","virus cluster","Virus Cluster",NA,"Virus cluster","Viral Cluster",4,4
"82","16 of 17 chamois","Organism Count",NA,NA,NA,NA,1,1
"83","82.1% to 88.1%","Prevalence",NA,NA,NA,"PercentageRange",2,2
"84","2001-02","Date","Temporal Expression","Time period","TimePeriod","YearRange",5,5
"85","southern chamois","species","Animal","Rupicapra pyrenaica (species)","Species","Animal species",5,5
"86","Rupicapra pyrenaica","species","Animal Species","Species","Species","Species",5,3
"87","border disease virus","Pestivirus","Virus","Virus","Virus","Virus",5,2
"88","central Pyrenees","geographical region","Geographical Location","Mountain range","MountainRange","Geographical Location",5,4
"89","NE Spain","Geographical","Geographic Location","Administrative Region","Geographic Region","Geographical Location",5,5
"90","2002","Year","Year","Year","Year","Year",5,1
"91","42%","Percentage","Percentage","Percentage","Percentage","Percentage",5,1
"92","20","Number",NA,"Number of affected chamois","Quantity",NA,3,3
"93","depression","Disease","Mental disorder","Mental disorder","Disease","Mental disorder",5,2
"94","movement difficulties","Paresis","Clinical sign","Motor dysfunction","Sign or Symptom","Symptom",5,5
"95","abnormal behaviour","Symptom",NA,"Behavioral Abnormality","Sign or Symptom","Symptom",4,3
"96","alopecia","symptom","Symptom","Dermatological condition","Disease","Symptom",5,4
"97","skin hyperpigmentation","Disease Symptom","Clinical finding","Dermatological condition","Disease","Symptom",5,5
"98","cachexia","syndrome","Disease symptom","Clinical condition","Disease","Symptom",5,5
"99","abscesses","Pathological finding","lesion","Subcutaneous abscesses","Disease or Syndrome","Medical Condition",5,5
"100","subcutaneous infection","viral infection","Infectious disease","Subcutaneous abscess","Disease","Disease",5,4
"101","orchitis","Disease","Disease","Inflammation of the testes","Disease","Disease",5,2
"102","edema","symptom","Clinical finding","Brain edema","Disease","Medical Condition",5,5
"103","espongiosis","disease","Disease","Pathological process/Neurological disorder/White matter lesion","Disease","Disease",5,3
