source_text,target_text,relation_type,doc_id
Leptospirosis,zoonotic disease,is a,59826
rabies virus,Canis mesomelas,infects,58605
canine parvovirus (CPV-2),Canis mesomelas,infects,58605
canine distemper virus (CDV),Canis mesomelas,infects,58605
Ehrlichia canis,Canis mesomelas,infects,58605
rabies virus,C. aureus,infects,58605
canine parvovirus (CPV-2),C. aureus,infects,58605
canine distemper virus (CDV),C. aureus,infects,58605
Ehrlichia canis,C. aureus,infects,58605
canine parvovirus (CPV-2),C. adustus,infects,58605
canine distemper virus (CDV),C. adustus,infects,58605
free-ranging jackals,rabies virus,hosts,58605
free-ranging jackals,canine parvovirus (CPV-2),hosts,58605
free-ranging jackals,canine distemper virus (CDV),hosts,58605
free-ranging jackals,Ehrlichia canis,hosts,58605
black-backed jackals,free-ranging jackals,is a type of,58605
golden jackals,free-ranging jackals,is a type of,58605
side-striped jackals,free-ranging jackals,is a type of,58605
Canis mesomelas,free-ranging jackals,is a type of,58605
C. aureus,free-ranging jackals,is a type of,58605
C. adustus,free-ranging jackals,is a type of,58605
serum samples,free-ranging jackals,collected from,58605
antibodies,serum samples,detected in,58605
Kenya,free-ranging jackals,location of,58605
African ecosystems,free-ranging jackals,habitat of,58605
rare and endangered canids,canine diseases,potentially affected by,58605
Pacific harbor seal,Herpesvirus,hosts,59830
Herpesvirus,Pacific harbor seal,infects,59830
Pacific harbor seal,adrenal necrosis,has lesions,59830
Pacific harbor seal,sepsis,has lesions,59830
Pacific harbor seal,bacterial omphalophlebitis,has lesions,59830
Pacific harbor seal,pneumonia,has lesions,59830
Pacific harbor seal,gastroenteritis,has lesions,59830
Pacific harbor seal,thymic atrophy,has lesions,59830
Pacific harbor seal,hepatic necrosis,has lesions,59830
Pacific harbor seal,lymphopenia,experiences,59830
adrenal tissue,Pacific harbor seal,from,59830
kidney cell lines,adrenal tissue,inoculated with,59830
adrenal tissue,Pacific harbor seal,homogenate from,59830
Herpesvirus,electron microscopy,detected by,59830
inclusion bodies,adrenal tissue,found in,59830
viral particles,adrenal tissue,found in,59830
cytopathic effect,kidney cell lines,produced in,59830
cytopathic effect,adrenal tissue,produced in,59830
Herpesvirus,viral particles,morphologically consistent with,59830
Herpesvirus,viral particles,morphologically consistent with,59830
male,Herpesvirus,affected by,59830
female,Herpesvirus,affected by,59830
island fox,Urocyon littoralis,is a,59699
Channel Islands,California,is in,59699
Channel Islands,"California, USA",is in,59699
island fox,194,was surveyed,59699
canine adenovirus,97%,has antibody prevalence,59699
canine parvovirus,59%,has antibody prevalence,59699
island fox,canine adenovirus,hosts,59699
island fox,canine parvovirus,hosts,59699
island fox,canine herpesvirus,hosts,59699
island fox,canine coronavirus,hosts,59699
island fox,leptospirosis,hosts,59699
island fox,toxoplasmosis,hosts,59699
pestivirus,Pyrenean Chamois,infects,59904
Pyrenean Chamois,pestivirus,hosts,59904
pestivirus,mortality,associated with,59904
pestivirus,border disease virus cluster,belongs to,59904
Pyrenean Chamois,disease,affected by,59904
disease,mortality,associated with,59904
Pyrenean Chamois,Spain,found in,59904
Pyrenean Chamois,northeastern Spain,found in,59904
pestivirus,Pyrenean Chamois,detected in,59904
pestivirus,noncoding regions,detected in,59904
Severe outbreak of disease,southern chamois,affects,59578
Severe outbreak of disease,central Pyrenees,occurred in,59578
Severe outbreak of disease,NE Spain,occurred in,59578
Severe outbreak of disease,2001,occurred in,59578
Severe outbreak of disease,2002,occurred in,59578
Severe outbreak of disease,February,occurred in,59578
Severe outbreak of disease,June,occurred in,59578
border disease virus,Severe outbreak of disease,causes,59578
border disease virus,Rupicapra pyrenaica,affects,59578
Rupicapra pyrenaica,southern chamois,is also known as,59578
Rupicapra pyrenaica,border disease virus,is affected by,59578
border disease virus,pestivirus,is a,59578
northern elephant seal,Mirounga angustirostris,is,59831
California sea lion,Zalophus californianus,is,59831
Urate nephrolithiasis,northern elephant seal,found in,59831
Urate nephrolithiasis,California sea lion,found in,59831
nephrolithiasis,marine mammals,reported in,59831
hydronephrosis,California sea lion,noted in,59831
nephrolithiasis,necropsy examination,diagnosed during,59831
white-tailed deer,Ehrlichia spp.,hosts,59842
white-tailed deer,Amblyomma americanum,hosts,59842
white-tailed deer,Ixodes scapularis,hosts,59842
Amblyomma americanum,Ehrlichia chaffeensis,strongly implicated vector of,59842
Ehrlichia chaffeensis,white-tailed deer,infects,59842
Ehrlichia chaffeensis,inguinal lymph node,isolated in culture from,59842
white-tailed deer,coastal Georgia,found in,59842
white-tailed deer,southeastern United States,found in,59842
sera,game areas,collected from,59912
sera,foot-and-mouth disease,tested for antibodies against,59912
sera,bovine herpes virus types 1 and 2,tested for antibodies against,59912
sera,lumpy skin disease,tested for antibodies against,59912
sera,bovine viral diarrhoea,tested for antibodies against,59912
sera,Akabane,tested for antibodies against,59912
sera,bovine ephemeral fever,tested for antibodies against,59912
sera,bluetongue,tested for antibodies against,59912
sera,enzootic bovine leucosis,tested for antibodies against,59912
sera,African horse sickness,tested for antibodies against,59912
sera,African swine fever,tested for antibodies against,59912
sera,Brucella abortus,tested for antibodies against,59912
buffalo,Syncerus caffer,is a,59912
wildebeest,Connochaetes taurinus,is a,59912
topi,Damaliscus korrigum,is a,59912
black bear,Ursus americanus,is a,59921
Ursus americanus,black bear,is a,59921
black bear,coagulase-positive Staphylococcus aureus,hosts,59921
coagulase-positive Staphylococcus aureus,bacterial valvular endocarditis,causes,59921
bacterial valvular endocarditis,black bear,affects,59921
bacterial valvular endocarditis,other organs,affects,59921
coagulase-positive Staphylococcus aureus,other organs,infects,59921
parainfluenza 3 virus,Bison bison,infects,58455
Bison bison,parainfluenza 3 virus,hosts,58455
free-ranging bison,Bison bison,is a,58455
Delta bison,Bison bison,is a,58455
"Delta Junction, Alaska",Alaska,found in,58455
"Delta Junction, Alaska",Delta bison,near,58455
Alaska,USA,is in,58455
domestic cattle,infection,source of,58455
Rocky Mountain cougars,feline immunodeficiency virus,hosts,59903
Rocky Mountain cougars,feline parvovirus,hosts,59903
Rocky Mountain cougars,feline coronavirus,hosts,59903
Rocky Mountain cougars,feline calicivirus,hosts,59903
Rocky Mountain cougars,canine distemper virus,hosts,59903
Rocky Mountain cougars,feline herpesvirus,hosts,59903
Rocky Mountain cougars,Yersinia pestis,hosts,59903
feline immunodeficiency virus,Rocky Mountain cougars,is endemic in,59903
feline parvovirus,Rocky Mountain cougars,is endemic in,59903
feline coronavirus,Rocky Mountain cougars,exposure to is more sporadic,59903
feline calicivirus,Rocky Mountain cougars,exposure to is more sporadic,59903
canine distemper virus,Rocky Mountain cougars,exposure to is more sporadic,59903
Yersinia pestis,Rocky Mountain cougars,exposure to is more sporadic,59903
feline herpesvirus,Rocky Mountain cougars,no evidence of,59903
feline immunodeficiency virus,Rocky Mountain cougars,transmission within family groups,59903
feline coronavirus,Rocky Mountain cougars,transmission within family groups,59903
feline immunodeficiency virus,Rocky Mountain cougars,host sex affecting exposure probability,59903
Yersinia pestis,Rocky Mountain cougars,host sex affecting exposure probability,59903
Hawaiian monk seal,viruses,hosts,59836
Hawaiian monk seal,bacteria,hosts,59836
Hawaiian monk seal,parasites,hosts,59836
serum samples,antibodies,tested for,59836
viruses,morbidity,cause,59836
viruses,mortality,cause,59836
bacteria,morbidity,cause,59836
bacteria,mortality,cause,59836
parasites,morbidity,cause,59836
parasites,mortality,cause,59836
enzyme-linked immunosorbent assay,phocine herpesvirus-1,used to detect,59836
serum samples,Leptospira bratislava,tested for,59836
serum samples,L. hardjo,tested for,59836
serum samples,L. icterohaemorrhagiae,tested for,59836
serum samples,L. pomona,tested for,59836
serum samples,Brucella spp.,tested for,59836
10 conventional serologic tests,Brucella spp.,used to detect,59836
card test,B. canis,used to detect,59836
complement fixation (CF) test,Chlamydophila abortus,used to detect,59836
serum samples,Toxoplasma gondii,tested for,59836
serum samples,Dirofilaria immitis,tested for,59836
serum samples,four morbilliviruses,tested for,59836
serum samples,influenza A virus,tested for,59836
serum samples,canine adenovirus,tested for,59836
serum samples,caliciviruses,tested for,59836
Ehrlichia sp.,white-tailed deer,resembles,59858
Ehrlichia chaffeensis,human granulocytic ehrlichiosis (HGE),agent of,59858
DGA,E. chaffeensis,specific for,59858
GE9f,E. phagocytophila genogroup,forward primer,59858
Hippopotamus amphibius,Bacillus anthracis,hosts,56169
Bacillus anthracis,Anthrax,causes,56169
Anthrax,Hippopotamus amphibius,affects,56169
Anthrax,Syncerus caffer,affects,56169
Anthrax,Loxodonta africana,affects,56169
Hippopotamus amphibius,Bacillus anthracis,hosts,56169
Bacillus anthracis,Anthrax,causes,56169
Spirochetes,mammals,infects,59837
Spirochetes,ticks,infects,59837
Borrelia burgdorferi,ticks,infects,59837
Borrelia burgdorferi,black-tailed jackrabbit,infects,59837
black-tailed jackrabbit,Borrelia burgdorferi,hosts,59837
Dermacentor occidentalis,Spirochetes,hosts,59837
D. parumapertus,Spirochetes,hosts,59837
Ixodes neotomae,Spirochetes,hosts,59837
I. pacificus,Spirochetes,hosts,59837
Haemaphysalis leporispalustris,Spirochetes,hosts,59837
I. neotomae,Borrelia burgdorferi,infects,59837
H. leporispalustris,Borrelia burgdorferi,infects,59837
H. leporispalustris,Spirochetes,passes,59837
Columbian black-tailed deer,Spirochetes,hosts,59837
Spirochetes,Borrelia burgdorferi,does not infect,59837
Borrelia burgdorferi,Spirochetes,does not infect,59837
bovine tuberculosis,TB,causes,59823
European badger,Meles meles,common name of,59823
Meles meles,European badger,latin name of,59823
British cattle,bovine tuberculosis,hosts,59823
European badger,bovine tuberculosis,hosts,59823
females,movement,positively correlated with,59823
Clostridium perfringens,humans,infects,57733
Clostridium perfringens,several animal species,infects,57733
Clostridium perfringens type A,gastrointestinal tract,is a normal inhabitant of,57733
Clostridium perfringens,polar bears,isolated from,57733
polar bears,Clostridium perfringens,hosts,57733
Svalbard Archipelago,polar bears,location of,57733
Norway,Svalbard Archipelago,location of,57733
gastrointestinal tract,Clostridium perfringens type A,location of,57733
Amblyomma americanum,Ehrlichia chaffeensis,infects,59859
white-tailed deer,Ehrlichia chaffeensis,hosts,59859
Amblyomma americanum,southeastern United States,lives in,59859
white-tailed deer,southeastern United States,lives in,59859
Ehrlichia chaffeensis,human ehrlichiosis,causes,59859
Amblyomma americanum,Ehrlichia chaffeensis,suspected vector of,59859
lone star tick,Amblyomma americanum,common name of,59859
Amblyomma americanum L.,lone star tick,scientific name of,59859
white-tailed deer,Odocoileus virginianus Zimmermann,common name of,59859
Odocoileus virginianus Zimmermann,white-tailed deer,scientific name of,59859
Staphylococcus aureus,human,infects,56156
Staphylococcus aureus,western lowland gorilla,infects,56156
Staphylococcus aureus,chimpanzee,infects,56156
western lowland gorilla,Staphylococcus aureus,hosts,56156
chimpanzee,Staphylococcus aureus,hosts,56156
human,Staphylococcus aureus,associated with,56156
great ape,Staphylococcus aureus,hosts,56156
t148,western lowland gorilla,found in,56156
t148,chimpanzee,found in,56156
International Centre for Medical Research of Franceville,Gabon,located in,56156
necrotizing wound,western lowland gorilla,found in,56156
staphylococcal sepsis,Staphylococcus aureus,caused by,56156
western lowland gorilla,staphylococcal sepsis,died from,56156
Central Africa,great ape,location of,56156
Gabon,International Centre for Medical Research of Franceville,location of,56156
Gabon,great ape,location of,56156
chimpanzee,great ape,is a,56156
Gorilla gorilla gorilla,western lowland gorilla,is a,56156
Pan troglodytes,chimpanzee,is a,56156
Leptospira licerasiae serovar Varillal,Peruvian Amazon,isolated,56805
Mycoplasma alligatoris sp. nov.,American alligators,infects,57753
Mycoplasma alligatoris sp. nov.,lethal pathogen,is a,57753
Mycoplasmas,tissues,isolated from,57753
Mycoplasmas,American alligators,from,57753
American alligators,Mycoplasma alligatoris sp. nov.,hosts,57753
American alligators,Alligator mississippiensis,are,57753
White-tailed deer,Ehrlichia spp.,hosts,59860
Ehrlichia spp.,White-tailed deer,infects,59860
White-tailed deer,southeastern United States,found in,59860
Ehrlichia spp.,southeastern United States,found in,59860
White-tailed deer,Alabama,found in,59860
White-tailed deer,Arkansas,found in,59860
White-tailed deer,Florida,found in,59860
White-tailed deer,Georgia,found in,59860
White-tailed deer,Illinois,found in,59860
White-tailed deer,Kentucky,found in,59860
White-tailed deer,Louisiana,found in,59860
White-tailed deer,Maryland,found in,59860
White-tailed deer,Massachusetts,found in,59860
White-tailed deer,Mississippi,found in,59860
White-tailed deer,Missouri,found in,59860
White-tailed deer,North Carolina,found in,59860
White-tailed deer,South Carolina,found in,59860
White-tailed deer,Tennessee,found in,59860
White-tailed deer,Texas,found in,59860
White-tailed deer,Virginia,found in,59860
White-tailed deer,West Virginia,found in,59860
White-tailed deer,USA,found in,59860
White-tailed deer,Ehrlichia spp.,has antibody prevalence to,59860
Brucella sp.,marine mammals,infects,59886
Brucella sp.,pinnipeds,infects,59886
Brucella sp.,cetaceans,infects,59886
Brucella sp.,harbor seals,hosts,59886
Brucella sp.,harp seals,hosts,59886
brucellosis card test,Brucella sp.,used to detect,59886
buffered acidified plate antigen test,Brucella sp.,used to detect,59886
livanol test,Brucella sp.,used to detect,59886
lung,Brucella sp.,hosts,59886
axillary lymph nodes,Brucella sp.,hosts,59886
inguinal lymph nodes,Brucella sp.,hosts,59886
prescapular lymph nodes,Brucella sp.,hosts,59886
lymphoid tissues,Brucella sp.,hosts,59886
visceral tissues,Brucella sp.,hosts,59886
harbor seals,pinnipeds,is a,59886
harp seals,pinnipeds,is a,59886
harbor seals,cetaceans,is a,59886
harp seals,cetaceans,is a,59886
Phoca vitulina,harbor seals,is a,59886
Phoca groenlandica,harp seals,is a,59886
Mycobacterium avium subsp. paratuberculosis,paratuberculosis,causes,57730
Mycobacterium avium subsp. paratuberculosis,brown bears,infects,57730
brown bears,Mycobacterium avium subsp. paratuberculosis,hosts,57730
brown bears,National Park Low Tatras,lives in,57730
brown bears,central European Carpathians,lives in,57730
brown bears,Slovakia,lives in,57730
brown bears,kidney,has tissue sample,57730
brown bears,intestinal mucosa,has tissue sample,57730
Mycobacterium avium subsp. paratuberculosis,cattle,infects,57730
cattle,Mycobacterium avium subsp. paratuberculosis,hosts,57730
Mycobacterium avium subsp. paratuberculosis,Ziehl-Neelsen staining,detected by,57730
Mycobacterium avium subsp. paratuberculosis,polymerase chain reaction,detected by,57730
Mycobacterium avium subsp. paratuberculosis,restriction fragment length polymorphism (RFLP),detected by,57730
Mycobacterium avium subsp. paratuberculosis,RFLP type B-C1,classified as,57730
RFLP type B-C1,cattle,detected in,57730
RFLP type B-C1,brown bears,detected in,57730
Salmonella enterica,Zalophus californianus,infects,59832
Salmonella enterica,Mirounga angustirostris,infects,59832
Salmonella enterica,Larus occidentalis,infects,59832
Zalophus californianus,Salmonella enterica,hosts,59832
Mirounga angustirostris,Salmonella enterica,hosts,59832
Larus occidentalis,Salmonella enterica,hosts,59832
Channel Islands,California,is located in,59832
Channel Islands,USA,is located in,59832
San Miguel Island,Channel Islands,is located in,59832
San Nicolas Island,Channel Islands,is located in,59832
Puget Sound,WA,is located in,59832
WA,USA,is located in,59832
Salmonella spp.,Zalophus californianus,has been isolated from,59832
Salmonella spp.,Mirounga angustirostris,has been isolated from,59832
Salmonella spp.,Larus occidentalis,has been isolated from,59832
Salmonella,Zalophus californianus,was isolated from,59832
Salmonella,Mirounga angustirostris,was isolated from,59832
Salmonella,Larus occidentalis,was isolated from,59832
Salmonella,Zalophus californianus,was identified from,59832
Salmonella,Mirounga angustirostris,was identified from,59832
Salmonella,Larus occidentalis,was identified from,59832
Salmonella,Zalophus californianus,was serotyped from,59832
Salmonella,Mirounga angustirostris,was serotyped from,59832
Salmonella,Larus occidentalis,was serotyped from,59832
Salmonella,Zalophus californianus,was tested for antimicrobial sensitivity from,59832
Salmonella,Mirounga angustirostris,was tested for antimicrobial sensitivity from,59832
Salmonella,Larus occidentalis,was tested for antimicrobial sensitivity from,59832
Salmonella,Zalophus californianus,was subjected to pfge from,59832
Salmonella,Mirounga angustirostris,was subjected to pfge from,59832
Salmonella,Larus occidentalis,was subjected to pfge from,59832
Enteritidis,Salmonella,is a serotype of,59832
Montevideo,Salmonella,is a serotype of,59832
Newport,Salmonella,is a serotype of,59832
Reading,Salmonella,is a serotype of,59832
Saint Paul,Salmonella,is a serotype of,59832
Salmonella spp.,Channel Islands,has a higher prevalence in,59832
Salmonella spp.,Channel Islands,has a higher prevalence in,59832
Papio anubis,Trichuris sp.,hosts,60194
Papio anubis,Strongyloides sp.,hosts,60194
Papio anubis,Trichostrongylus sp.,hosts,60194
