source,target,relation_type,doc_id
Batrachochytrium dendrobatidis,chytrid fungus,has pathogen,1
Batrachochytrium dendrobatidis,Eurycea neotenes,detected in,1
Batrachochytrium dendrobatidis,Eurycea pterophila,detected in,1
Batrachochytrium dendrobatidis,Eurycea nana,detected in,1
Batrachochytrium dendrobatidis,Eurycea sosorum,detected in,1
Batrachochytrium dendrobatidis,Eurycea tonkawae,detected in,1
5.8S rRNA gene,Batrachochytrium dendrobatidis,sequence,1
internal transcribed spacer,Batrachochytrium dendrobatidis,sequence,1
PCR products,sequences,contain,1
Batrachochytrium dendrobatidis,presence in endangered species,confirms,1
nonconsumptive tail clippings,sequences,source,1
historically collected samples,examination of fungus across time,used,1
Spirometra erinacei,Cyclops,infects,2
Spirometra erinacei,Rana nigromaculata,infects,2
Spirometra erinacei,ICR mice,infects,2
Spirometra erinacei,Dogs,infects,2
Spirometra erinacei,Cats,infects,2
Spirometra erinacei,Mesocyclops leuckarti,infects,2
Spirometra erinacei,Eucyclops serrulatus,infects,2
Procercoids,Coracidium,develops from,2
Plerocercoids,Procercoids,develops from,2
Adult worms,Eggs,produces,2
Batrachochytrium dendrobatidis,chytridiomycosis,causes,3
Batrachochytrium dendrobatidis,affected regions,introduced,3
Batrachochytrium dendrobatidis,Africa,originates,3
Xenopus laevis,chytridiomycosis,infected,3
Xenopus laevis,international trade,traded,3
international trade,Batrachochytrium dendrobatidis,disseminates,3
Protopolystoma xenopodis,Xenopus laevis,infected,4
Polystoma,anuran amphibians,infects,5
Pseudodiplorchis americanus,Scaphiopus couchii,infects,5
Protopolystoma xenopodis,Xenopus laevis,infects,5
temperature,infection levels,affects,5
behaviour,infection levels,affects,5
population density,infection levels,affects,5
intra-specific competitive interactions,infection levels,affects,5
inter-specific competitive interactions,infection levels,affects,5
survivorship,infection levels,affects,5
reproductive output,infection levels,affects,5
immune response,Protopolystoma xenopodis,responds to,5
Xenopus laevis laevis,Protopolystoma spp.,host,6
Xenopus muelleri,Protopolystoma spp.,host,6
Xenopus laevis laevis,Protopolystoma xenopodis,host,6
Xenopus muelleri,Protopolystoma xenopodis,host,6
Protopolystoma spp.,Xenopus laevis laevis,pathogen,6
Protopolystoma spp.,Xenopus muelleri,pathogen,6
Protopolystoma xenopodis,X. l. laevis,pathogen,6
Host,Parasite,interaction,6
Host,Genotype,interaction,6
Parasite,Genotype,interaction,6
Host,Parasite,resistance,6
Hybrid,Parasite,resistance,6
Allopolyploid,Xenopus spp.,speciation,6
Xenopus laevis,Protopolystoma xenopodis,host,7
Protopolystoma xenopodis,Xenopus laevis,introduced,7
South Africa,Xenopus laevis,source,7
Wales,Xenopus laevis,new geographical region,7
Temperature,Protopolystoma xenopodis,influence,7
Egg development,Temperature,affected by,7
Infection,Temperature,affected by,7
Transmission,Temperature,affected by,7
Global warming,Temperature increase,predicted outcome,7
Protopolystoma xenopodis,Wales,habitat,7
Trypanosoma avium,Eusimulium securiforme,transmitted by,8
Raptors,Trypanosoma avium,infected by,8
Raptors,Blood-sucking insects,feasted on by,8
Blood-sucking insects,Trypanosoma avium,infected with,8
Black flies,Raptor nestlings,trapped while attempting to feed on,8
Hippoboscid flies,Trypanosoma avium,infected with,8
Mosquitoes,Trypanosoma avium,infected with,8
Biting midges,Trypanosoma avium,infected with,8
Trypanosomes,Raptors,isolated from,8
Trypanosomes,Blood-sucking insects,isolated from,8
Trypanosomes isolated from raptors,T. avium complex,belong to,8
T. avium complex,Ornithophilic simuliids,transmitted by,8
Mycoplasma gallisepticum,house finches,infects,9
Mycoplasma gallisepticum,blue jay,infects,9
Mycoplasma gallisepticum,American goldfinches,infects,9
house finches,Mycoplasma gallisepticum,hosts,9
blue jay,Mycoplasma gallisepticum,hosts,9
American goldfinches,Mycoplasma gallisepticum,hosts,9
Mycoplasma gallisepticum,lesions,isolated from,9
Mycoplasma gallisepticum,cage,isolated from,9
Mycoplasma gallisepticum,free-ranging American goldfinches,isolated from,9
DNA,fingerprints,produced,9
DNA,RAPD,analyzed,9
Mycoplasma gallisepticum,vaccine and reference strains,compared,9
Mycoplasma gallisepticum,contemporary MG isolates from commercial poultry,compared,9
Myoplasma sturni,blue jays,isolated from,10
Mycoplasma sturni,northern mockingbirds,is isolated from,10
Mycoplasma sturni,PATHOGEN,is,10
Mycoplasma gallisepticum,PATHOGEN,is,10
Mycoplasma sturni,conjunctivitis,causes,10
Mycoplasma gallisepticum,conjunctivitis,causes,10
house finches,conjunctivitis,have,10
American goldfinches,conjunctivitis,have,10
birds,clinical signs,developed,10
Mycoplasma gallisepticum,house finches,infects,11
Mycoplasma gallisepticum,American goldfinches,infects,11
Mycoplasma gallisepticum,purple finch,infects,11
Mycoplasma gallisepticum,brown-headed cowbirds,infects,11
Mycoplasma gallisepticum,tufted titmice,infects,11
house finches,Mycoplasma gallisepticum,hosts,11
American goldfinches,Mycoplasma gallisepticum,hosts,11
purple finch,Mycoplasma gallisepticum,hosts,11
brown-headed cowbirds,Mycoplasma gallisepticum,hosts,11
tufted titmice,Mycoplasma gallisepticum,hosts,11
Mycoplasma gallisepticum,house finch,infects,12
Mycoplasma gallisepticum,American goldfinch,infects,12
Mycoplasma gallisepticum,house sparrow,infects,12
American goldfinch,naive house finches,is infectious to,12
house sparrow,naive house finches,is infectious to,12
evening grosbeaks,Mycoplasma gallisepticum,infected by,13
pine grosbeaks,Mycoplasma gallisepticum,infected by,13
Mycoplasma gallisepticum,evening grosbeak,isolated from,13
Mycoplasma gallisepticum,direct immunofluorescence,identified by,13
Mycoplasma gallisepticum,polymerase chain reaction,identified by,13
Mycoplasma gallisepticum,M. gallisepticum isolates,similar to,13
Mycoplasma gallisepticum,conjunctivitis,causes,13
Mycoplasma gallisepticum,rhinitis,causes,13
Mycoplasma gallisepticum,mucopurulent infra-orbital sinusitis,causes,13
evening grosbeaks,conjunctivitis,affected by,13
pine grosbeaks,conjunctivitis,affected by,13
house finches,Mycoplasma gallisepticum,infected by,13
American gold finches,Mycoplasma gallisepticum,infected by,13
Mycoplasma gallisepticum,eastern North America,found in,13
Mycoplasma gallisepticum,House finches,infects,14
House finches,American goldfinches,transmits,14
House finches,Purple finches,transmits,14
House finches,House sparrows,transmits,14
House finches,American goldfinches,spills over,14
House finches,Purple finches,spills over,14
House finches,House sparrows,spills over,14
wild songbirds,Mycoplasma gallisepticum,infected by,15
House finches,Mycoplasma gallisepticum,infected by,15
American goldfinch,Mycoplasma gallisepticum,infected by,15
Mycoplasma gallisepticum,House finches,causes disease in,15
Mycoplasma gallisepticum,American goldfinch,causes disease in,15
Mycoplasma gallisepticum,wild songbirds,introduced to,15
Mycoplasma sturni,European starling,isolated from,16
Mycoplasma sturni,Mycoplasmal conjunctivitis,causes,16
Mycoplasma sturni,Glucose,ferments,16
Mycoplasma sturni,Chicken erythrocytes,does not hemadsorb,16
Mycoplasma sturni,Chicken erythrocytes,does not hemagglutinate,16
Mycoplasma sturni,37 C,grows rapidly at,16
Mycoplasma sturni,Mycoplasma gallisepticum,is similar to,16
Mycoplasma sturni,House finches,affects,16
Mycoplasma sturni,Conjunctivitis in other passerine species,role in,16
house finches,Mycoplasma gallisepticum,host,17
Mycoplasma gallisepticum,Carpodacus mexicanus,infects,18
house finches,mycoplasmal conjunctivitis,are affected by,18
eastern house finches,mycoplasmal conjunctivitis,are affected by,18
USA,North America,is located in,18
November 1994,time period,is part of,18
October 1996,time period,is part of,18
bird feeders,house finches,are used by,18
platform type feeders,conjunctivitis,are associated with,18
hopper type feeders,conjunctivitis,are associated with,18
tube type feeders,conjunctivitis,are associated with,18
raised platform type feeders,conjunctivitis,are protective against,18
season,conjunctivitis,influences,18
year,conjunctivitis,influences,18
conjunctivitis,Mycoplasma gallisepticum,is caused by,18
citizen-based survey,risk factors,used to identify,18
questionnaires,data,used to collect,18
bivariate analyses,data,used to analyze,18
logistic regression model,data,used to analyze,18
multivariate analysis,data,used to analyze,18
outbreak,1994-1996,occurred in,18
prevention,modifying bird feeding activities,involves,18
Mycoplasma gallisepticum,House finches,infects,19
Mycoplasma gallisepticum,Lesions,causes,19
Mycoplasma gallisepticum,Lymphoplasmacytic inflammation,causes,19
Mycoplasma gallisepticum,Epithelial and lymphoid hyperplasia,causes,19
Mycoplasma gallisepticum,Conjunctivae,infects,19
Mycoplasma gallisepticum,Nasal turbinates,infects,19
Mycoplasma gallisepticum,Trachea,infects,19
Mycoplasma gallisepticum,Polymerase chain reaction,confirmed by,19
Mycoplasma gallisepticum,Arbitrary primer PCR,confirmed by,19
Mycoplasma gallisepticum,House finch conjunctivitis,associated with,19
