source,target,relation_type,doc_id
Batrachochytrium dendrobatidis,Eurycea neotenes,infects,1
Batrachochytrium dendrobatidis,Eurycea pterophila,infects,1
Batrachochytrium dendrobatidis,Eurycea nana,infects,1
Batrachochytrium dendrobatidis,Eurycea sosorum,infects,1
Batrachochytrium dendrobatidis,Eurycea tonkawae,infects,1
Central Texas,Eurycea neotenes,found in,1
Central Texas,Eurycea pterophila,found in,1
Central Texas,Eurycea nana,found in,1
Central Texas,Eurycea sosorum,found in,1
Central Texas,Eurycea tonkawae,found in,1
USA,Eurycea neotenes,found in,1
USA,Eurycea pterophila,found in,1
USA,Eurycea nana,found in,1
USA,Eurycea sosorum,found in,1
USA,Eurycea tonkawae,found in,1
Batrachochytrium dendrobatidis,PCR products,detected by,1
Batrachochytrium dendrobatidis,5.8S rRNA gene,detected by,1
Batrachochytrium dendrobatidis,ITS regions,detected by,1
Nonconsumptive tail clippings,Eurycea neotenes,sampled from,1
Nonconsumptive tail clippings,Eurycea pterophila,sampled from,1
Nonconsumptive tail clippings,Eurycea nana,sampled from,1
Nonconsumptive tail clippings,Eurycea sosorum,sampled from,1
Nonconsumptive tail clippings,Eurycea tonkawae,sampled from,1
Historically collected samples,Eurycea neotenes,sampled from,1
Historically collected samples,Eurycea pterophila,sampled from,1
Historically collected samples,Eurycea nana,sampled from,1
Historically collected samples,Eurycea sosorum,sampled from,1
Historically collected samples,Eurycea tonkawae,sampled from,1
Spirometra erinacei,Cyclops,infects,2
Spirometra erinacei,Rana nigromaculata,infects,2
Spirometra erinacei,ICR mice,infects,2
Spirometra erinacei,Dogs,infects,2
Spirometra erinacei,Cats,infects,2
Spirometra erinacei,Mesocyclops leuckarti,infects,2
Spirometra erinacei,Eucyclops serrulatus,infects,2
Cyclops,Coracidium,hosts,2
Rana nigromaculata,Procercoids,hosts,2
ICR mice,Plerocercoids,hosts,2
Dogs,Plerocercoids,hosts,2
Cats,Plerocercoids,hosts,2
Procercoids,Plerocercoids,develops into,2
Plerocercoids,Adult worms,develops into,2
Adult worms,Eggs,produces,2
Eggs,Coracidium,hatches into,2
Laboratory,Spirometra erinacei life cycle,maintains,2
Batrachochytrium dendrobatidis,Xenopus laevis,infects,3
Batrachochytrium dendrobatidis,Africa,found in,3
Batrachochytrium dendrobatidis,southern Africa,found in,3
Xenopus laevis,Batrachochytrium dendrobatidis,hosts,3
Xenopus,Africa,lives in,3
Xenopus,southern Africa,lives in,3
chytridiomycosis,Xenopus laevis,affects,3
Batrachochytrium dendrobatidis,chytridiomycosis,causes,3
international trade,Batrachochytrium dendrobatidis,disseminates,3
mid-1930s,international trade,starts,3
Protopolystoma xenopodis,African clawed toad,hosts,4
Protopolystoma xenopodis,Urinary bladder,found in,4
Xenopus laevis,"South Wales, U.K.",lives in,4
Protopolystoma xenopodis,African clawed toad,infects,4
Temperature,Oviposition rate,affects,4
Protopolystoma xenopodis,Eggs,produces,4
Worms,Protopolystoma xenopodis,harbors,4
Experiment 1,Oviposition rate,monitored,4
Experiment 2,Oviposition rate,monitored,4
Polystoma,anuran amphibians,infects,5
Pseudodiplorchis americanus,Scaphiopus couchii,infects,5
Protopolystoma xenopodis,Xenopus laevis,infects,5
temperature,Protopolystoma xenopodis,affects,5
behaviour,Protopolystoma xenopodis,affects,5
population density,Protopolystoma xenopodis,affects,5
intra-specific competitive interactions,Protopolystoma xenopodis,affects,5
inter-specific competitive interactions,Protopolystoma xenopodis,affects,5
survivorship,Protopolystoma xenopodis,affects,5
reproductive output,Protopolystoma xenopodis,affects,5
adult worms,immunological response,are affected by,5
egg production,immunological response,is affected by,5
Protopolystoma spp.,Xenopus laevis laevis,infects,6
Protopolystoma spp.,Xenopus muelleri,infects,6
Protopolystoma xenopodis,Xenopus laevis,infects,6
Protopolystoma xenopodis,hybrid host species,infects,6
Protopolystoma spp.,Xenopus laevis laevis sibs,shows variable infectivity to,6
Protopolystoma xenopodis,Xenopus laevis laevis,subject to host-genotype interactions with,6
hybrid host species,Protopolystoma spp.,resistant to,6
Protopolystoma xenopodis,geographical area,found in,6
Protopolystoma spp.,Xenopus laevis laevis,associated with,6
Xenopus muelleri,Protopolystoma spp.,associated with,6
Xenopus laevis laevis sibs,Protopolystoma xenopodis infectivity,influenced by,6
allopolyploid speciation,refractoriness to parasites or pathogens,affected by,6
Protopolystoma xenopodis,Xenopus laevis,infects,7
Protopolystoma xenopodis,North temperate habitat,lives in,7
Protopolystoma xenopodis,South Africa,found in,7
Protopolystoma xenopodis,Wales,found in,7
Temperature,Egg development,affects,7
Temperature,Life-cycle processes,affects,7
Global warming,Temperature,predicted to affect,7
Trypanosoma avium,raptors,infects,8
Trypanosoma avium,birds,hosts,8
Eusimulium spp.,Trypanosoma avium,transmits,8
Eusimulium securiforme,Trypanosoma avium,transmits,8
Ornithomyia avicularia,Trypanosoma avium,transmits,8
Culex pipiens pipiens,Trypanosoma avium,transmits,8
Culicoides spp.,Trypanosoma avium,transmits,8
Trypanosoma avium,Eusimulium spp.,found in,8
Trypanosoma avium,Ornithomyia avicularia,found in,8
Trypanosoma avium,Culex pipiens pipiens,found in,8
Trypanosoma avium,Culicoides spp.,found in,8
18S rRNA,Species identification,detected by,8
Species identification,18S rRNA,inferred from,8
Intra-specific relationships,18S rRNA,inferred from,8
Interspecific relationships,18S rRNA,inferred from,8
Kinetoplast,Minicircle size,characterized by,8
Kinetoplast,Dimensions of the kinetoplast disc,characterized by,8
All trypanosomes,T. avium complex,belong to,8
Mycoplasma gallisepticum,house finches,infects,9
Mycoplasma gallisepticum,blue jay,infects,9
Mycoplasma gallisepticum,American goldfinches,infects,9
house finches,Mycoplasma gallisepticum,hosts,9
blue jay,Mycoplasma gallisepticum,hosts,9
American goldfinches,Mycoplasma gallisepticum,hosts,9
Mycoplasma gallisepticum,lesions of infected birds,found in,9
Mycoplasma gallisepticum,free-ranging American goldfinches,isolated from,9
Mycoplasma gallisepticum,blue jay,isolated from,9
Mycoplasma gallisepticum,random amplified polymorphic DNA analyses,detected by,9
Mycoplasma gallisepticum,vaccine and reference strains,compared to,9
Mycoplasma gallisepticum,contemporary MG isolates from commercial poultry,compared to,9
Mycoplasma sturni,blue jays,infects,10
Mycoplasma sturni,northern mockingbirds,infects,10
Mycoplasma sturni,conjunctival/corneal swabs,detected in,10
Mycoplasma sturni,indirect immunofluorescence,identified by,10
Mycoplasma gallisepticum,house finches,infects,10
Mycoplasma gallisepticum,American goldfinches,infects,10
Mycoplasma sturni,wildlife care facility,found in,10
northern mockingbirds,Mycoplasma sturni,hosts,10
blue jays,Mycoplasma sturni,hosts,10
Florida,USA,located in,10
Mycoplasma gallisepticum,House finches,infects,11
Mycoplasma gallisepticum,American goldfinches,infects,11
Mycoplasma gallisepticum,Purple finch,infects,11
Mycoplasma gallisepticum,Brown-headed cowbirds,infects,11
Mycoplasma gallisepticum,Tufted titmice,infects,11
House finches,Mycoplasma gallisepticum,hosts,11
American goldfinches,Mycoplasma gallisepticum,hosts,11
Purple finch,Mycoplasma gallisepticum,hosts,11
Brown-headed cowbirds,Mycoplasma gallisepticum,hosts,11
Tufted titmice,Mycoplasma gallisepticum,hosts,11
Tompkins County,Mycoplasma gallisepticum,found in,11
New York,Mycoplasma gallisepticum,found in,11
USA,Mycoplasma gallisepticum,found in,11
February 1998,study,occurred during,11
March 1998,study,occurred during,11
February 1999,study,occurred during,11
March 1999,study,occurred during,11
Random amplification of polymorphic DNA (RAPD),Mycoplasma gallisepticum,used to detect,11
Plate agglutination (PA),Mycoplasma gallisepticum,used to detect,11
Mycoplasma gallisepticum,house finch,infects,12
Mycoplasma gallisepticum,American goldfinch,infects,12
Mycoplasma gallisepticum,house sparrow,infects,12
American goldfinch,Mycoplasma gallisepticum,hosts,12
house sparrow,Mycoplasma gallisepticum,hosts,12
house finch,Mycoplasma gallisepticum,hosts,12
American goldfinch,naive house finches,infects,12
house sparrow,naive house finches,infects,12
Mycoplasma gallisepticum,evening grosbeak,infects,13
Mycoplasma gallisepticum,pine grosbeak,infects,13
Mycoplasma gallisepticum,house finch,infects,13
Mycoplasma gallisepticum,American gold finch,infects,13
Mycoplasma gallisepticum,eastern North America,found in,13
evening grosbeak,Mycoplasma gallisepticum,hosts,13
pine grosbeak,Mycoplasma gallisepticum,hosts,13
house finch,Mycoplasma gallisepticum,hosts,13
American gold finch,Mycoplasma gallisepticum,hosts,13
Quebec,Canada,located in,13
winter 1998-99,Quebec,occurred in,13
conjunctivitis,evening grosbeak,affected,13
conjunctivitis,pine grosbeak,affected,13
rhinitis,evening grosbeak,affected,13
rhinitis,pine grosbeak,affected,13
mucopurulent infra-orbital sinusitis,evening grosbeak,affected,13
mucopurulent infra-orbital sinusitis,pine grosbeak,affected,13
polymerase chain reaction,Mycoplasma gallisepticum,detected,13
direct immunofluorescence,Mycoplasma gallisepticum,detected,13
Random amplified polymorphic DNA (RAPD) fingerprinting,Mycoplasma gallisepticum,detected,13
Mycoplasma gallisepticum,Carpodacus mexicanus,infects,14
Carpodacus mexicanus,Mycoplasma gallisepticum,hosts,14
Carpodacus mexicanus,conjunctivitis,hosts,14
American goldfinches,Mycoplasma gallisepticum,hosts,14
Carduelis tristis,Mycoplasma gallisepticum,hosts,14
purple finches,Mycoplasma gallisepticum,hosts,14
Carpodacus purpureus,Mycoplasma gallisepticum,hosts,14
house sparrows,Mycoplasma gallisepticum,hosts,14
Passer domesticus,Mycoplasma gallisepticum,hosts,14
House Finch Disease Survey,Carpodacus mexicanus,monitors,14
House Finch Disease Survey,American goldfinches,monitors,14
House Finch Disease Survey,purple finches,monitors,14
House Finch Disease Survey,Carpodacus purpureus,monitors,14
House Finch Disease Survey,house sparrows,monitors,14
House Finch Disease Survey,Passer domesticus,monitors,14
eastern North America,House Finch Disease Survey,found in,14
North America,Mycoplasma gallisepticum,found in,14
North America,Carpodacus mexicanus,found in,14
North America,American goldfinches,found in,14
North America,purple finches,found in,14
North America,Carpodacus purpureus,found in,14
North America,house sparrows,found in,14
North America,Passer domesticus,found in,14
Mycoplasma gallisepticum,wild house finches,infects,15
Mycoplasma gallisepticum,American goldfinch,infects,15
Mycoplasma gallisepticum,Mycoplasmal conjunctivitis,causes,15
Mycoplasmal conjunctivitis,mid-Atlantic region,spreads,15
Mycoplasmal conjunctivitis,eastern United States,spreads,15
Mycoplasmal conjunctivitis,Canada,spreads,15
wild house finches,Mycoplasma gallisepticum,hosts,15
American goldfinch,Mycoplasma gallisepticum,hosts,15
European starling,Mycoplasma sturni,hosts,16
Mycoplasma sturni,European starling,infects,16
Mycoplasma sturni,Glucose,ferments,16
Mycoplasma sturni,Chicken erythrocytes,does not hemadsorb,16
Mycoplasma sturni,Chicken erythrocytes,does not hemagglutinate,16
Mycoplasma sturni,37 C,grows rapidly,16
Mycoplasma sturni,Conjunctiva,is isolated from,16
Mycoplasma sturni,Mycoplasma gallisepticum,is similar to,16
Mycoplasma gallisepticum,House finches,infects,16
Mycoplasma sturni,Passerine species,may infect,16
House finches,Mycoplasma gallisepticum,hosts,17
Mycoplasma gallisepticum,House finches,infects,17
Mycoplasma gallisepticum,Washington D.C.,found in,17
House finches,Eastern North America,lives in,17
Epidemic mycoplasmal conjunctivitis,House finches,ffects,17
November 1994,Epidemic mycoplasmal conjunctivitis,started in,17
March 1997,Epidemic mycoplasmal conjunctivitis,ended in,17
Fall,Epidemic mycoplasmal conjunctivitis,associated with,17
Winter,Epidemic mycoplasmal conjunctivitis,associated with,17
Mycoplasma gallisepticum,house finches,infects,18
Mycoplasma gallisepticum,eastern house finches,found in,18
house finches,Mycoplasma gallisepticum,hosts,18
Carpodacus mexicanus,eastern house finches,is a type of,18
eastern USA,USA,located in,18
residential bird feeding sites,eastern USA,located in,18
eight state region,eastern USA,located in,18
health status,house finches,observed in,18
sympatric passerine species,house finches,co-exists with,18
bird feeders,volunteers,maintained by,18
neighborhood housing locale,house finches,influences,18
altitude,house finches,influences,18
conjunctivitis,house finches,affects,18
season,conjunctivitis in house finches,influences,18
year,conjunctivitis in house finches,influences,18
platform,bird feeder,type of,18
hopper,bird feeder,type of,18
tube,bird feeder,type of,18
logistic regression model,conjunctivitis in house finches,used to analyze,18
conjunctivitis in house finches,outbreak,associated with,18
conjunctivitis in house finches,Mycoplasma gallisepticum,spread of,18
season and type of feeder,conjunctivitis in house finches,influences,18
House Finches,Finches,harbored by,19
Carpodacus mexicanus,Mycoplasma gallisepticum,infected by,19
Mycoplasma gallisepticum,House Finches,infects,19
Finches,Pens,lives in,19
Finches,Lesions,developed,19
Lesions,House Finches,found in,19
House Finches,Necropsy,undergone,19
House Finches,Mycoplasma testing,undergone,19
Mycoplasma testing,Polymerase chain reaction (PCR),detected by,19
Mycoplasma testing,Arbitrary primer PCR,detected by,19
Serum plate agglutination (SPA),House Finches,detected conjunctivitis,19
Hemagglutination inhibition (HI),House Finches,detected conjunctivitis,19
Enzyme-linked immunosorbent assay (ELISA),House Finches,detected conjunctivitis,19
November 1995,Exposure,occurred during,19
January 1996,Exposure,occurred during,19
12wk,Exposure,lasted,19
House Finch,Mycoplasma gallisepticum,hosts,20
Mycoplasma gallisepticum,House Finch,infects,20
House Finch,Auburn,found in,20
Auburn,Alabama,found in,20
Alabama,USA,found in,20
House Finch,March 1998,observed in,20
House Finch,February 1999,observed in,20
House Finch,September,observed in,20
House Finch,November,observed in,20
Mycoplasma gallisepticum,SPA assay,detected by,20
Mycoplasma gallisepticum,Polymarse chain reaction (PCR),detected by,20
House Finch,Mycoplasma gallisepticum,affected by,20
House Finch,Mycoplasma gallisepticum,carries,20
Mycoplasma gallisepticum,spreading,characterized by,20
Mycoplasma gallisepticum,Carpodacus mexicanus,infects,21
Mycoplasma gallisepticum,house finches,found in,21
Mycoplasma gallisepticum,wild birds,found in,21
Mycoplasma gallisepticum,conjunctivitis,causes,21
Carpodacus mexicanus,Mycoplasma gallisepticum,hosts,21
poultry production facilities,house finches,associated with,21
poultry production facilities,wild birds,associated with,21
northeast Georgia,study,location of,21
poultry farms,study,location of,21
feeder stations,study,location of,21
misp net,traps bird,uses,21
trap,traps bird,uses,21
serum plate agglutination (SPA),antibodies to MG,detects,21
polymerase chain reaction (PCR),MG,detects,21
necropsies,collect samples,used to,21
hemagglutination inhibition,test for MG,used to,21
histopathology,test for MG,used to,21
tufted titmice,nonclinical carriers of MG,may be,21
MG,at low levels in house finches,may persist,21
Mycoplasma gallisepticum,house finch,infects,22
Mycoplasma gallisepticum,United States,found in,22
house finch,Mycoplasma gallisepticum,hosts,22
pvpA gene,PvpA,encodes for,22
polymerase chain reaction (PCR),pvpA gene,detects,22
restriction fragment length polymorphism (RFLP) analysis,pvpA gene,detects,22
nucleotide sequencing,pvpA gene,detects,22
turkey,Mycoplasma gallisepticum,hosts,22
chicken,Mycoplasma gallisepticum,hosts,22
emerging disease,house finch,affects,22
epidemiology,Mycoplasma gallisepticum,studies,22
molecular evolution,Mycoplasma gallisepticum,influences,22
house finch,Mycoplasma gallicepticum,hosts,23
plumage coloration,resistance,predicts,23
plumage hue,clearance of disease,influences,23
Mycoplasma gallicepticum,house finch,infects,23
female,male,chooses,23
male,resistance,has,23
resistance,mate choice,affects,23
carotenoid,plumage coloration,contributes to,23
plumage coloration,signal of resistance,is,23
Hamilton-Zuk hypothesis,signal of resistance,proposes,23
Mycoplasma gallisepticum,Carpodacus mexicanus,infects,24
Mycoplasma gallisepticum,North America,found in,24
Mycoplasma gallisepticum,Mycoplasma gallisepticum,strains,24
Mycoplasma gallisepticum,House finches,isolated from,24
Mycoplasma gallisepticum,Other songbirds,isolated from,24
Mycoplasma gallisepticum,RAPD,used for,24
Mycoplasma gallisepticum,AFLP,used for,24
Mycoplasma species,of,has genomic variability,24
Genotype,RAPD,obtained by,24
Genotype,AFLP,obtained by,24
2001 isolate,other songbird samples,different from,24
2001 isolate,Vaccine and reference strains,clustered with,24
Mycoplasma gallisepticum,house finches,infects,25
Mycoplasma gallisepticum,1994,emerges,25
Mycoplasma gallisepticum,conjunctivitis,causes,25
