source,target,relation_type,doc_id
Batrachochytrium dendrobatidis,endemic salamander species,detected in,1
nested PCR protocol,endemic salamander species,used to analyze,1
chytrid fungus,Texas salamander,detected in,1
chytrid fungus,Blanco River Springs salamander,detected in,1
chytrid fungus,San Marcos salamander,detected in,1
chytrid fungus,Barton Springs salamander,detected in,1
chytrid fungus,Jollyville Plateau salamander,detected in,1
5.8S rRNA gene,chytrid fungus,confirmed the detection of,1
internal transcribed spacer (ITS) regions,chytrid fungus,confirmed the detection of,1
nonconsumptive tail clippings,historically collected samples,used to confirm,1
Spirometra erinacei,cyclops,host_of,2
Spirometra erinacei,Rana nigromaculata,host_of,2
Spirometra erinacei,ICR mice,host_of,2
Spirometra erinacei,dogs,host_of,2
Spirometra erinacei,cats,host_of,2
cyclops,Spirometra erinacei,intermediate_host_of,2
Rana nigromaculata,Spirometra erinacei,intermediate_host_of,2
ICR mice,Spirometra erinacei,intermediate_host_of,2
Mesocyclops leuckarti,coracidial infection,susceptible_to,2
Eucyclops serrulatus,coracidial infection,susceptible_to,2
procercoids,minute spines,contains,2
procercoids,calcium corpuscles,contains,2
procercoids,cercomer,contains,2
procercoids,tadpoles,infection_of,2
procercoids,ICR mice,infection_of,2
plerocercoids,mice,infection_of,2
plerocercoids,dogs,infection_of,2
plerocercoids,cats,infection_of,2
adult worms,eggs,produce,2
Spirometra erinacei,ORGANISM,classified_as,2
chytrid fungus,chytridiomycosis,cause,3
Batrachochytrium dendrobatidis,chytridiomycosis,etiologic agent,3
Africa,amphibian chytrid fungus,origin,3
X. laevis,amphibian chytrid fungus,means of dissemination,3
international trade,amphibian chytrid fungus,means of dissemination,3
Protopolystoma xenopodis,oviparous monogenean,is an,4
Protopolystoma xenopodis,urinary bladder of the African clawed toad,occurs in,4
Protopolystoma xenopodis,"South Wales, U.K.",is found in,4
Protopolystoma xenopodis,20 degrees C,produces eggs at,4
Protopolystoma xenopodis,8 degrees C,produces eggs at,4
Protopolystoma xenopodis,6 degrees C,produces eggs at,4
Protopolystoma xenopodis,2 degrees C,produces eggs at,4
