entity_id,entity,doc_id,label
1,Batrachochytrium dendrobatidis,1,Disease
2,endemic salamander species,1,Species
3,central Texas,1,Location
4,nested PCR protocol,1,Method
5,chytrid fungus,1,Disease
6,Texas salamander,1,Species
7,Blanco River Springs salamander,1,Species
8,San Marcos salamander,1,Species
9,Barton Springs salamander,1,Species
10,Jollyville Plateau salamander,1,Species
11,USA endangered species list,1,List
12,5.8S rRNA gene,1,Gene
13,internal transcribed spacer (ITS) regions,1,Region
14,nonconsumptive tail clippings,1,Sample
15,historically collected samples,1,Sample
16,Spirometra erinacei,2,ORGANISM
17,cyclops,2,SPECIES
18,Rana nigromaculata,2,SPECIES
19,ICR mice,2,SPECIES
20,dogs,2,SPECIES
21,cats,2,SPECIES
22,Mesocyclops leuckarti,2,SPECIES
23,Eucyclops serrulatus,2,SPECIES
24,coracidium,2,STRUCTURE
25,procercoids,2,STRUCTURE
26,plerocercoids,2,STRUCTURE
27,adult worms,2,STRUCTURE
28,laboratory,2,LOCATION
29,29 degrees C,2,TEMPERATURE
30,microns,2,UNIT
31,days,2,UNIT
32,mm,2,UNIT
33,egg,2,STRUCTURE
34,Spirometra erinacei,2,CLASSIFICATION
35,amphibian chytrid fungus,3,DISEASE
36,chytridiomycosis,3,DISEASE
37,Batrachochytrium dendrobatidis,3,ORGANISM
38,Xenopus,3,SPECIES
39,Xenopus laevis,3,SPECIES
40,Africa,3,LOCATION
41,southern Africa,3,LOCATION
42,interdigital webbing,3,ANATOMICAL STRUCTURE
43,Xenopus collected,3,COLLECTION
44,1879,3,TIME
45,1999,3,TIME
46,1938,3,TIME
47,mid-1930s,3,TIME
48,international trade,3,EVENT
49,X. laevis,3,SPECIES
50,Protopolystoma xenopodis,4,Species
51,Monogenea,4,Taxon
52,Polystomatidae,4,Taxon
53,Xenopus laevis,4,Species
54,African clawed toad,4,Species
55,South Wales,4,Location
56,U.K.,4,Location
57,20 degrees C,4,Temperature
58,8 degrees C,4,Temperature
59,6 degrees C,4,Temperature
60,2 degrees C,4,Temperature
61,11.9 eggs/worm/day,4,Value
62,0.9 eggs/worm/day,4,Value
63,4.1 eggs/worm/day,4,Value
64,0.2 eggs/worm/day,4,Value
65,12.7 eggs/worm/day,4,Value
66,310%,4,Value
67,6350%,4,Value
