entity_id,entity,doc_id,label
1,Batrachochytrium dendrobatidis,1,Disease
2,chytrid fungus,1,Disease
3,Eurycea neotenes,1,Host
4,Texas salamander,1,Common Name
5,Eurycea pterophila,1,Host
6,Blanco River Springs salamander,1,Common Name
7,Eurycea nana,1,Host
8,San Marcos salamander,1,Common Name
9,Eurycea sosorum,1,Host
10,Barton Springs salamander,1,Common Name
11,Eurycea tonkawae,1,Host
12,Jollyville Plateau salamander,1,Common Name
13,USA,1,Location
14,Central Texas,1,Location
15,5.8S rRNA gene,1,Gene
16,ITS regions,1,Region
17,internal transcribed spacer,1,Part
18,PCR products,1,Product
19,sequences,1,Sequence
20,nonconsumptive tail clippings,1,Sample
21,flanking internal transcribed spacer,1,Region
22,Spirometra erinacei,2,Pathogen
23,Cyclops,2,Host
24,Rana nigromaculata,2,Host
25,ICR mice,2,Host
26,Dogs,2,Host
27,Cats,2,Host
28,Mesocyclops leuckarti,2,Host
29,Eucyclops serrulatus,2,Host
30,Coracidium,2,Stage
31,Procercoids,2,Stage
32,Plerocercoids,2,Stage
33,Worms,2,Organism
34,amphibian,3,species
35,chytrid fungus,3,pathogen
36,Batrachochytrium dendrobatidis,3,pathogen
37,Xenopus,3,host
38,Xenopus laevis,3,host
39,Xenopus laevis frog,3,host
40,southern Africa,3,location
41,1879,3,date
42,1999,3,date
43,1938,3,date
44,mid-1930s,3,date
45,Protopolystoma xenopodis,4,Organism
46,Xenopus laevis,4,Host
47,African clawed toad,4,Host
48,South Wales,4,Location
49,U.K.,4,Location
50,Polystoma,5,Species
51,anuran amphibians,5,Group
52,Pseudodiplorchis americanus,5,Parasite
53,Scaphiopus couchii,5,Host
54,Protopolystoma xenopodis,5,Parasite
55,Xenopus laevis,5,Host
56,temperature,5,Environmental Factor
57,behaviour,5,Host Factor
58,population density,5,Host Factor
59,intra-specific competitive interactions,5,Parasite Factor
60,inter-specific competitive interactions,5,Parasite Factor
61,survivorship,5,Parasite Factor
62,reproductive output,5,Parasite Factor
63,immune response,5,Host Response
64,Xenopus laevis laevis,6,Species
65,Xenopus muelleri,6,Species
66,Protopolystoma spp.,6,Parasite
67,Protopolystoma xenopodis,6,Parasite
68,X. l. laevis,6,Species
69,Host,6,Host
70,Parasite,6,Pathogen
71,Hybrid,6,Host
72,Allopolyploid,6,Speciation
73,Genotype,6,Host
74,Genotype,6,Pathogen
75,Protopolystoma xenopodis,7,Organism
76,Xenopus laevis,7,Organism
77,South Africa,7,Location
78,Wales,7,Location
79,Xenopus,7,Host
80,African,7,Host
81,Xenopus laevis,7,Host
82,Environmental temperature,7,Factor
83,Egg development,7,Process
84,Infection,7,Process
85,Transmission,7,Process
86,Global warming,7,Factor
87,2008,7,Year
88,Mycoplasma gallisepticum,9,Pathogen
89,house finches,9,Host
90,Carpodacus mexicanum,9,Host
91,blue jay,9,Host
92,Cyanocitta cristata,9,Host
93,American goldfinches,9,Host
94,Carduelis tristis,9,Host
95,North Carolina,9,Location
96,United States,9,Location
97,DNA,9,Molecule
98,RAPD,9,Technique
99,songbirds,9,Host
100,poultry,9,Host
101,Mycoplasma sturni,10,Pathogen
102,blue jays,10,Host
103,northern mockingbirds,10,Host
104,Florida,10,Location
105,Mimus polyglottos,10,Host
106,Cyanocitta cristata,10,Host
107,Mycoplasma gallisepticum,10,Pathogen
108,house finches,10,Host
109,American goldfinches,10,Host
110,Carpodacus mexicanus,10,Host
111,Carduelis tristis,10,Host
112,conjunctivitis,10,Disease
113,sinusitis,10,Disease
114,epiphora,10,Disease
115,songbirds,10,Host
116,Mycoplasmal,11,Disease
117,songbirds,11,Host
118,New York,11,Location
119,Mycoplasma gallisepticum,11,Pathogen
120,house finches,11,Host
121,Carpodacus mexicanus,11,Scientific Name
122,Tomkins County,11,Location
123,USA,11,Location
124,February 1998,11,Time
125,November,11,Time
126,March,11,Time
127,American goldfinches,11,Host
128,Carduelis tristis,11,Scientific Name
129,purple finch,11,Host
130,Carpodacus purpureus,11,Scientific Name
131,brown-headed cowbirds,11,Host
132,Molothrus ater,11,Scientific Name
133,tufted titmice,11,Host
134,Parus bicolor,11,Scientific Name
135,Mycoplasma gallisepticum,12,Pathogen
136,house finch,12,Host
137,Carpodacus mexicanus,12,Host
138,American goldfinch,12,Host
139,Carduelis tristis,12,Host
140,house sparrow,12,Host
141,Passer domesticus,12,Host
142,naive house finches,12,Host
143,Mycoplasmosis,13,Disease
144,evening grosbeaks,13,Host
145,Coccothraustes vespertinus,13,Species
146,pine grosbeaks,13,Host
147,Pinicola enucleator,13,Species
148,Quebec,13,Location
149,Canada,13,Location
150,Mycoplasma gallisepticum,13,Pathogen
151,conjunctivitis,13,Disease
152,rhinitis,13,Disease
153,mucopurulent infra-orbital sinusitis,13,Disease
154,house finches,13,Host
155,Carpodacus mexicanus,13,Species
156,American gold finches,13,Host
157,Carduelis tristis,13,Species
158,eastern North America,13,Location
159,polymerase chain reaction,13,Technique
160,random amplified polymorphic DNA (RAPD) fingerprinting,13,Technique
161,direct immunofluorescence,13,Technique
162,Mycoplasma gallisepticum,14,Pathogen
163,House finches,14,Host
164,Carpodacus mexicanus,14,Host
165,Carduelis tristis,14,Host
166,Purple finches,14,Host
167,Carpodacus purpureus,14,Host
168,House sparrows,14,Host
169,Passer domesticus,14,Host
170,North America,14,Location
171,Eastern North America,14,Location
172,Mycoplasmal,15,Disease
173,wild songbirds,15,Host
174,Mycoplasma gallisepticum,15,Pathogen
175,House finches,15,Species
176,Carpodacus mexicanus,15,Species
177,American goldfinch,15,Species
178,Carduelis tristis,15,Species
179,mid-Atlantic,15,Region
180,eastern United States,15,Region
181,Canada,15,Region
182,early 1994,15,Time
183,late 1995,15,Time
184,Mycoplasmal,16,Disease
185,European starling,16,Host
186,Sturnus vulgaris,16,Species
187,Mycoplasma sturni,16,Pathogen
188,Conjunctivitis,16,Condition
189,Episcleritis,16,Condition
190,House finches,16,Host
191,Carpodacus mexicanus,16,Species
192,Mycoplasma gallisepticum,16,Pathogen
193,Glucose,16,Substance
194,Chicken erythrocytes,16,Substance
195,37 C,16,Temperature
196,Passerine species,16,Group
197,house finches,17,organization
198,Carpodacus mexicanus,17,species
199,Mycoplasma gallisepticum,17,species
200,sub-urban Washington D.C.,17,location
201,USA,17,location
202,eastern North America,17,location
203,November 1994,17,date
204,March 1997,17,date
205,house finch population,17,organization
206,juveniles,17,organization
207,Mycoplasma gallisepticum,18,Pathogen
208,Carpodacus mexicanus,18,Host
209,house finches,18,Host
210,eastern house finches,18,Host
211,USA,18,Location
212,November 1994,18,Time
213,October 1996,18,Time
214,bird feeders,18,Object
215,platform type feeders,18,Object
216,hopper type feeders,18,Object
217,tube type feeders,18,Object
218,raised platform type feeders,18,Object
219,season,18,Attribute
220,year,18,Attribute
221,conjunctivitis,18,Disease
222,mycoplasmal conjunctivitis,18,Disease
223,citizen-based survey,18,Method
224,questionnaires,18,Method
225,bivariate analyses,18,Method
226,logistic regression model,18,Method
227,multivariate analysis,18,Method
228,outbreak,18,Event
229,prevention,18,Action
230,Mycoplasma gallisepticum,19,Pathogen
231,House finches,19,Host
232,Carpodacus mexicanus,19,Scientific name
233,November 1995,19,Date
234,January 1996,19,Date
235,Lesions,19,Entity
236,Lymphoplasmacytic inflammation,19,Entity
237,Epithelial and lymphoid hyperplasia,19,Entity
238,Conjunctivae,19,Entity
239,Nasal turbinates,19,Entity
240,Trachea,19,Entity
241,Polymerase chain reaction,19,Technique
242,PCR,19,Abbreviation
243,Arbitrary primer PCR,19,Technique
244,Serum plate agglutination,19,Technique
245,Hemagglutination inhibition,19,Technique
246,Enzyme-linked immunosorbent assay,19,Technique
247,ELISA,19,Abbreviation
248,Free-flying house finch populations,19,Entity
249,house finch,20,bird
250,Carpodacus mexicanus,20,species
251,Mycoplasma gallisepticum,20,bacteria
252,Auburn,20,location
253,Alabama,20,location
254,USA,20,location
