source,target,relation_type,doc_id
Batrachochytrium dendrobatidis,salamander species,infects,1
salamander species,central Texas,habitat,1
Texas salamander,central Texas,habitat,1
Blanco River Springs salamander,central Texas,habitat,1
San Marcos salamander,central Texas,habitat,1
Barton Springs salamander,central Texas,habitat,1
Jollyville Plateau salamander,central Texas,habitat,1
USA,endangered species list,lists,1
Jollyville Plateau salamander,endangered species list,petitioned,1
Batrachochytrium dendrobatidis,salamander species,detected,1
PCR products,5.8S rRNA gene,sequenced,1
PCR products,internal transcribed spacer,sequenced,1
historically collected samples,examination of the fungus across time,used,1
nonconsumptive tail clippings,examination of the fungus across time,used,1
Spirometra erinacei,cyclops,hosts,2
Spirometra erinacei,Rana nigromaculata,hosts,2
Spirometra erinacei,ICR mice,hosts,2
Spirometra erinacei,dogs,hosts,2
Spirometra erinacei,cats,hosts,2
cyclops,Spirometra erinacei,intermediate_host,2
Rana nigromaculata,Spirometra erinacei,intermediate_host,2
procercoids,tadpoles,infects,2
procercoids,mice,infects,2
plerocercoids,mice,infects,2
adult worms,eggs,produces,2
unknown,chytridiomycosis,cause_of,3
Batrachochytrium dendrobatidis,chytridiomycosis,etiologic_agent,3
Africa,amphibian chytrid,origin,3
international trade,amphibian chytrid,means_of_dissemination,3
1938,earliest case of chytridiomycosis,time_of_event,3
Protopolystoma xenopodis,Xenopus laevis,occurs_in,4
Protopolystoma xenopodis,South Wales,found_in,4
Protopolystoma xenopodis,U.K.,introduced_to,4
Polystoma,anuran amphibians,infects,5
Pseudodiplorchis americanus,Scaphiopus couchii,parasitizes,5
Protopolystoma xenopodis,Xenopus laevis,parasitizes,5
temperature,infection levels,affects,5
behaviour,infection levels,affects,5
population density,infection levels,affects,5
intra-specific competitive interactions,infection levels,affects,5
inter-specific competitive interactions,infection levels,affects,5
survivorship,infection levels,affects,5
reproductive output,infection levels,affects,5
Xenopus laevis/Protopolystoma xenopodis,immunity,interacts with,5
Protopolystoma spp.,Xenopus laevis laevis,infects,6
Protopolystoma spp.,Xenopus muelleri,infects,6
Protopolystoma xenopodis,X. l. laevis,infects,6
Protopolystoma xenopodis,X. l. laevis,shows variable infectivity to,6
P. xenopodis,strains with high or low infectivity,co-occurs with,6
P. xenopodis,host compatibility,is subject to,6
P. xenopodis,host genotype,interacts with,6
P. xenopodis,parasite genotype,interacts with,6
hybridisation,refractoriness,confers,6
refractoriness,selective advantage,may have conferred,6
allopolyploid pathway,Xenopus spp.,is believed to have evolved,6
African parasite,north temperate habitat,inhabits,7
Protopolystoma xenopodis,Wales,introduced,7
Protopolystoma xenopodis,South Africa,introduced,7
Protopolystoma xenopodis,temperature,affected by,7
egg development,temperature,affected by,7
egg viability/development,15°C,threshold,7
hatching,22 days,time,7
hatching,32 days,time,7
hatching,66 days,time,7
egg production,year-round,occurs,7
egg production,10 weeks,restricted to,7
host infection,July-September,occurs,7
host infection,10 weeks,restricted to,7
life-cycle progress,temperature,affected by,7
infection,global warming,enhanced by,7
raptors,trypanosomes,had,8
trypanosomes,birds,infected,8
raptors,blood-sucking insects,had,8
blood-sucking insects,trypanosomes,carried,8
Czech and Slovak Republics,vectors,search for,8
