source,target,relation_type,doc_id
Batrachochytrium dendrobatidis,Texas salamander,causes,1
Batrachochytrium dendrobatidis,Blanco River Springs salamander,causes,1
Batrachochytrium dendrobatidis,San Marcos salamander,causes,1
Batrachochytrium dendrobatidis,Barton Springs salamander,causes,1
Batrachochytrium dendrobatidis,Jollyville Plateau salamander,causes,1
Spirometra erinacei,Cyclops,infects,2
Spirometra erinacei,Rana nigromaculata,infects,2
Spirometra erinacei,ICR mice,infects,2
Spirometra erinacei,Dogs,infects,2
Spirometra erinacei,Cats,infects,2
Spirometra erinacei,Mesocyclops leuckarti,infects,2
Spirometra erinacei,Eucyclops serrulatus,infects,2
Procercoids,Coracidium,develops from,2
Plerocercoids,Procercoids,develops from,2
Adult worms,Plerocercoids,develops from,2
Batrachochytrium dendrobatidis,Xenopus,infects,3
Batrachochytrium dendrobatidis,Africa,originates from,3
Xenopus laevis,mid-1930s,is traded internationally,3
Batrachochytrium dendrobatidis,international trade in X. laevis,is disseminated through,3
Protopolystoma xenopodis,Xenopus laevis,infects,4
Protopolystoma xenopodis,urinary bladder,occurs in,4
Protopolystoma xenopodis,Xenopus laevis,produces eggs in,4
Xenopus laevis,Protopolystoma xenopodis,hosts,4
Protopolystoma xenopodis,South Wales,is introduced to,4
Protopolystoma xenopodis,U.K.,can produce eggs in,4
Pseudodiplorchis americanus,Scaphiopus couchii,preys on,5
Polystoma,anuran,infects,5
Protopolystoma xenopodis,Xenopus laevis,infects,5
temperature,Protopolystoma xenopodis,affects,5
host factors,Protopolystoma xenopodis,affects,5
Protopolystoma xenopodis,Protopolystoma xenopodis,interacts with,5
Xenopus laevis/Protopolystoma xenopodis,environmental factors,interacts with,5
Protopolystoma xenopodis,Xenopus laevis,interacts with,5
adult worms,Xenopus laevis,interacts with,5
Protopolystoma xenopodis,adult worms,has,5
previous infection,post-infection immunity,causes,5
Xenopus laevis laevis,Protopolystoma spp.,host,6
Xenopus muelleri,Protopolystoma spp.,host,6
Xenopus laevis laevis,Protopolystoma xenopodis,host,6
Xenopus muelleri,Protopolystoma xenopodis,host,6
Protopolystoma spp.,Xenopus laevis laevis,pathogen,6
Protopolystoma spp.,Xenopus muelleri,pathogen,6
Protopolystoma xenopodis,Xenopus laevis laevis,pathogen,6
Protopolystoma xenopodis,Xenopus muelleri,pathogen,6
Xenopus laevis laevis,Hybrid,host,6
Xenopus muelleri,Hybrid,host,6
Hybrid,Protopolystoma spp.,host,6
Hybrid,Protopolystoma xenopodis,host,6
Allopolyploid,Xenopus spp.,speciation,6
Protopolystoma xenopodis,Xenopus laevis,introduced with,7
Xenopus laevis,South Africa,imported from,7
Protopolystoma xenopodis,temperature above 15°C,requires,7
water temperatures,life-cycle processes,inhibit,7
temperature,egg development,affects,7
eggs,in controlled conditions,develop,7
host infection,after time lag,begins,7
egg production,year-round,continues,7
Protopolystoma xenopodis,in 10 weeks,transmit,7
temperature,infection,enhance,7
Trypanosoma avium,Raptors,infects,8
Trypanosoma avium,Eusimulium spp.,transmitted by,8
Trypanosoma avium,Ornithomyia avicularia,transmitted by,8
Trypanosoma avium,Culex pipiens pipiens,transmitted by,8
Trypanosoma avium,Culicoides spp.,transmitted by,8
Raptors,Trypanosoma avium,harbors,8
Eusimulium spp.,Trypanosoma avium,hosts,8
Ornithomyia avicularia,Trypanosoma avium,hosts,8
Culex pipiens pipiens,Trypanosoma avium,hosts,8
Culicoides spp.,Trypanosoma avium,hosts,8
18S rRNA,species identification,used for,8
Kinetoplast,avian trypanosomes,characteristic of,8
Mycoplasma gallisepticum,house finches,isolated from,9
Mycoplasma gallisepticum,blue jay,isolated from,9
Mycoplasma gallisepticum,American goldfinches,isolated from,9
Mycoplasma gallisepticum,songbirds,caused infection in,9
house finches,Mycoplasma gallisepticum,contracted conjunctivitis from,9
blue jay,Mycoplasma gallisepticum,contracted conjunctivitis from,9
American goldfinches,Mycoplasma gallisepticum,contracted conjunctivitis from,9
Mycoplasma gallisepticum,vaccine,tested against,9
Mycoplasma gallisepticum,reference strains,tested against,9
Mycoplasma gallisepticum,commercial poultry,tested against,9
songbirds,11 states,examined in,9
Mycoplasma gallisepticum,North Carolina,isolated from,9
Mycoplasma gallisepticum,United States,isolated from,9
1994,outbreak,started,9
1996,outbreak,ended,9
blue jays,Mycoplasma sturni,infected by,10
northern mockingbirds,Mycoplasma sturni,infected by,10
Mycoplasma sturni,conjunctival/corneal swabs,isolated from,10
Mycoplasma sturni,Mycoplasma sturni,identified as,10
Mycoplasma gallisepticum,Mycoplasma sturni,similar to,10
Mycoplasma sturni,songbirds with conjunctivitis,differential diagnosis of,10
Mycoplasma gallisepticum,House finches,infects,11
Mycoplasma gallisepticum,American goldfinches,infects,11
Mycoplasma gallisepticum,Purple finch,infects,11
Mycoplasma gallisepticum,Brown-headed cowbirds,infects,11
Mycoplasma gallisepticum,Tufted titmice,infects,11
House finches,Mycoplasma gallisepticum,hosts,11
American goldfinches,Mycoplasma gallisepticum,hosts,11
Purple finch,Mycoplasma gallisepticum,hosts,11
Brown-headed cowbirds,Mycoplasma gallisepticum,hosts,11
Tufted titmice,Mycoplasma gallisepticum,hosts,11
