source,target,relation_type,doc_id
Batrachochytrium dendrobatidis,Salamander,is detected in,1
Salamander,Central Texas,is endemic to,1
Eurycea neotenes,Salamander,is a species of,1
E. pterophila,Salamander,is a species of,1
E. nana,Salamander,is a species of,1
E. sosorum,Salamander,is a species of,1
E. tonkawae,Salamander,is a species of,1
USA,Endangered species list,has a,1
Endangered species list,E. tonkawae,includes,1
Batrachochytrium dendrobatidis,Pathogen,is a,1
Salamander,Populations,has,1
Populations,Central Texas,are found in,1
PCR products,Nonconsumptive tail clippings,are obtained from,1
Historically collected samples,Other studies,are used in,1
Fungus,PCR products,is detected using,1
Pathogen,Salamander,is detected in,1
Species list,E. tonkawae,includes,1
Spirometra erinacei,Laboratory,has life cycle,2
Cyclops,Spirometra erinacei,hosts,2
Rana nigromaculata,Spirometra erinacei,hosts,2
ICR mice,Spirometra erinacei,hosts,2
Dogs,Spirometra erinacei,hosts,2
Cats,Spirometra erinacei,hosts,2
Mesocyclops leuckarti,Spirometra erinacei,hosts,2
Eucyclops serrulatus,Spirometra erinacei,hosts,2
Coracidium,Procercoids,develops into,2
Procercoids,Plerocercoids,develops into,2
Plerocercoids,Adult worms,develops into,2
Adult worms,Eggs,produces,2
Eggs,Coracidium,hatches into,2
Spirometra erinacei,compatible with description,has morphology,2
chytridiomycosis,amphibian deaths and population declines,causes,3
amphibian chytrid Batrachochytrium dendrobatidis,chytridiomycosis,is_cause_of,3
1879 to 1999,survey of archived specimens,time_period,3
Xenopus,southern Africa,collected_in,3
Xenopus laevis frog,chytridiomycosis,affected_by,3
1938,earliest case of chytridiomycosis found,time_period,3
African region,amphibian chytrid,origin,3
international trade in X. laevis,amphibian chytrid,means_of_dispersion,3
Protopolystoma xenopodis,Xenopus laevis,occurs in,4
Protopolystoma xenopodis,Monogenea,is a type of,4
Protopolystoma xenopodis,Polystomatidae,is a member of,4
Protopolystoma xenopodis,South Wales,is found in,4
Protopolystoma xenopodis,U.K.,is introduced to,4
Protopolystoma xenopodis,Urinary bladder,produces eggs in,4
Temperature,Oviposition rate,affects,4
Egg production,Protopolystoma xenopodis,is monitored in,4
Protopolystoma xenopodis,U.K.,has a different reproductive output in,4
Protopolystoma xenopodis,Natural sites,has a different reproductive output in,4
Polystoma,Scaphiopus couchii,infects,5
Pseudodiplorchis americanus,Scaphiopus couchii,infects,5
Protopolystoma xenopodis,Xenopus laevis,infects,5
temperature,Parasite growth,affects,5
behaviour,Parasite transmission,influences,5
population density,Parasite transmission,influences,5
parasite factors,Parasite numbers,regulate,5
intragroup and intergroup competitive interactions,Parasite numbers,influence,5
intrinsic characters,Parasite numbers,influence,5
immune response,Parasite infection,responses to,5
lab experiments,Xenopus laevis/Protopolystoma xenopodis interaction,study,5
Parasite,Host,infects,6
Protopolystoma spp.,Parasite,is a type of,6
Xenopus laevis laevis,Host,is a type of,6
Xenopus muelleri,Host,is a type of,6
Xenopus spp.,Xenopus laevis laevis,includes,6
Xenopus spp.,Xenopus muelleri,includes,6
Host,Parasite,is infected by,6
Hybrid,Host,is a type of,6
Allopolyploid speciation,Hybrid,is related to,6
Infectivity,Parasite,is a property of,6
Resistance,Host,is a property of,6
Genotype,Parasite,interacts with,6
Phenotype,Genotype,is influenced by,6
Pathogen,Parasite,is a type of,6
Species,Organism,is a type of,6
Taxon,Species,is a type of,6
Zone,Area,is a type of,6
Area,Location,is a type of,6
Kilometer,Distance,is a unit of,6
Laboratory,Experiment,is a location of,6
Nature,Parasite,is a location of,6
Abstract,Document,is a type of,6
Protopolystoma xenopodis,Xenopus laevis,introduced with,7
Protopolystoma xenopodis,Wales,introduced to,7
Protopolystoma xenopodis,temperature,affected by,7
Egg development,temperature,affected by,7
Egg viability,temperature,dependent on,7
Hatching,temperature,dependent on,7
Transmission,temperature,dependent on,7
Infection,temperature,dependent on,7
Life-cycle,temperature,dependent on,7
Persistence,temperature,dependent on,7
Global warming,enhance infection,predicted to,7
Avian trypanosomes,birds,are parasites of,8
Trypanosoma avium,T. avium complex,is a member of,8
raptors,trypanosomes,host,8
blood-sucking insects,trypanosomes,are potential vectors of,8
black flies,simuliid,are a type of,8
hippoposcid flies,simuliid,are a type of,8
mosquitoes,insect,are a type of,8
biting midges, Culicoides,are a type of,8
eagle,raptor,is a type of,8
sparrowhawk,raptor,is a type of,8
kestrel,raptor,is a type of,8
buzzard,raptor,is a type of,8
ornithophilic simuliids,T. avium,transmit,8
raptors,T. avium,are hosts of,8
trypanosomes,raptor nestlings,are found in,8
kinetoplast,avain trypanosomes,has features characteristic of,8
18S rRNA sequences,species identification,are used for,8
Mycoplasma gallisepticum,house finches,is isolated from,9
Mycoplasma gallisepticum,blue jay,is isolated from,9
Mycoplasma gallisepticum,American goldfinches,is isolated from,9
house finches,Mycoplasma gallisepticum,contracted conjunctivitis from,9
blue jay,Mycoplasma gallisepticum,contracted conjunctivitis from,9
American goldfinches,Mycoplasma gallisepticum,contracted conjunctivitis from,9
Mycoplasma gallisepticum,MG isolates from songbirds,has rapd banding patterns identical to,9
MG isolates from songbirds,other strains and isolates tested,are different from,9
Mycoplasma gallisepticum,vaccine and reference strains analyzed,is not caused by,9
Mycoplasma gallisepticum,songbirds and commercial poultry,has not been shared between,9
Mycoplasma sturni,conjunctival/corneal swabs,is cultured from,10
Mycoplasma sturni,indirect immunofluorescence,is identified by,10
Mycoplasma sturni,conjunctivitis,is a cause of,10
Mycoplasma sturni,sinusitis,is a cause of,10
Mycoplasma sturni,epiphora,is a cause of,10
Mycoplasma gallisepticum,conjunctivitis,is a cause of,10
Mycoplasma sturni,songbirds with conjunctivitis,should be considered in the differential diagnosis of,10
Mycoplasma gallisepticum,songbirds with conjunctivitis,should be considered in the differential diagnosis of,10
Mycoplasmal conjunctivitis,songbirds,affects,11
Mycoplasma gallisepticum,house finches,infects,11
Mycoplasma gallisepticum,American goldfinches,infects,11
Mycoplasma gallisepticum,purple finch,infects,11
Mycoplasma gallisepticum,brown-headed cowbirds,infects,11
Mycoplasma gallisepticum,tufted titmice,infects,11
February 1998,Mycoplasmal conjunctivitis,occurs,11
November to March,Mycoplasmal conjunctivitis,occurs,11
February/March 1998,February/March 1999,compared to,11
Mycoplasma gallisepticum,house finches,isolated from,11
Mycoplasma gallisepticum,American goldfinches,isolated from,11
Mycoplasma gallisepticum,purple finch,isolated from,11
Mycoplasma gallisepticum,house finch isolates,similar to,11
Mycoplasma gallisepticum,purple finch,confirmed in,11
Mycoplasma gallisepticum,brown-headed cowbirds,exposed to,11
Mycoplasma gallisepticum,tufted titmice,exposed to,11
P < 0.05,decline in prevalence,statistically significant,11
Mycoplasma gallisepticum,Various species of free-living birds,isolated from,12
Mycoplasma gallisepticum,Conjunctival sac,inoculated into,12
House finch,American goldfinch,compared to,12
House finch,House sparrow,compared to,12
American goldfinch,House finch,compared to,12
House sparrow,American goldfinch,compared to,12
House finch,Naive house finches,infectious to,12
American goldfinch,Naive house finches,infectious to,12
House sparrow,Naive house finches,infectious to,12
American goldfinch,Up to 49 days post inoculation,remained infectious for,12
American goldfinches,Long-distance movements,make,12
American goldfinches,Important role in M. gallisepticum dynamics in house finches,play,12
evening grosbeaks,Mycoplasma gallisepticum,infectedby,13
pine grosbeaks,Mycoplasma gallisepticum,infectedby,13
Quebec,evening grosbeaks,locationof,13
Quebec,pine grosbeaks,locationof,13
Canada,evening grosbeaks,locationof,13
Canada,pine grosbeaks,locationof,13
Coccothraustes vespertinus,grosbeaks,subtypeof,13
Pinicola enucleator,grosbeaks,subtypeof,13
Mycoplasma gallisepticum,Mycoplasmosis,etiologicallyrelatedto,13
house finches,Mycoplasma gallisepticum,infectedby,13
American gold finches,Mycoplasma gallisepticum,infectedby,13
Mycoplasma gallisepticum,conjunctivitis,etiologicallyrelatedto,13
Mycoplasma gallisepticum,rhinitis,etiologicallyrelatedto,13
Mycoplasma gallisepticum,mucopurulent infra-orbital sinusitis,etiologicallyrelatedto,13
Mycoplasma gallisepticum,catarrhal and lymphoplasmacytic conjunctivitis,etiologicallyrelatedto,13
random amplified polymorphic DNA (RAPD),Mycoplasma gallisepticum,usedtodiagnose,13
polymerase chain reaction,Mycoplasma gallisepticum,usedtodiagnose,13
direct immunofluorescence,Mycoplasma gallisepticum,usedtoidentify,13
Mycoplasma gallisepticum,conjunctivitis,causes,14
Mycoplasma gallisepticum,House Finch,infects,14
House Finch,conjunctivitis,hosts,14
House Finch,conjunctivitis,transmits,14
house finches,American goldfinches,spillover,14
house finches,purple finches,spillover,14
house finches,house sparrows,spillover,14
sites with diseased house finches,conjunctivitis,reports,14
sites with diseased house finches,spread of conjunctivitis,influence,14
House Finch Disease Survey,conjunctivitis,monitors,14
participants,cases of conjunctivitis,document,14
Carpodacus mexicanus,Mycoplasma gallisepticum,infected by,15
Wild house finches,Mycoplasma gallisepticum,had,15
Mycoplasmal conjunctivitis,Mycoplasma gallisepticum,caused by,15
Mycoplasma gallisepticum,poultry,is nonzoonotic pathogen of,15
House finches,Mycoplasmal conjunctivitis,had,15
Mycoplasmal conjunctivitis,American goldfinch,spread to,15
American goldfinch,Mycoplasmal conjunctivitis,had,15
Mycoplasmal conjunctivitis,1994,began in,15
Mycoplasmal conjunctivitis,mid-Atlantic region,spread from,15
Mycoplasmal conjunctivitis,Eastern United States,spread to,15
Mycoplasmal conjunctivitis,Canada,spread to,15
1995,"Mycoplasmal conjunctivitis, spread",year,15
Myelopasmal conjunctivitis,rapid spread of a pathogen,example of,15
Mycoplasma sturni,Conjunctiva,is isolated from,16
Mycoplasma sturni,Mycoplasmal conjunctivitis,causes,16
Mycoplasma sturni,Mycoplasma gallisepticum,is similar to,16
Mycoplasma sturni,Glucose,ferments,16
Mycoplasma sturni,37 C,grows rapidly at,16
Mycoplasma sturni,Mycoplasma spp,is distinct from,16
House finches,Mycoplasma gallisepticum,infected by,17
House finches,Migration,carried by,17
Conjunctivitis,House finches,spread by,17
Conjunctivitis,Eastern North America,reported in,17
Conjunctivitis,House finch population,affected,17
House finch numbers,Mortality,decreased due to,17
Conjunctivitis,Dispersing juveniles,fluctuated seasonally with,17
Conjunctivitis,North,spread mainly,17
Conjunctivitis,Southeast,spread mainly,17
Conjunctivitis,West,spread mainly,17
Mycoplasma gallisepticum,house finches,associated with,18
house finches,conjunctivitis,observed with,18
house finches,sympatric species,compared to,18
year of the study,conjunctivitis in house finches,associated with,18
season,conjunctivitis in house finches,associated with,18
presence of tube style feeders,conjunctivitis in house finches,associated with,18
presence of raised platform type feeders,conjunctivitis in house finches,protective against,18
bird feeding activities,season and type of feeder,modified based on,18
spread of disease,modifying bird feeding activities,prevented by,18
Mycoplasma gallisepticum,House finches,infects,19
Mycoplasma gallisepticum,Lesions,causes,19
Mycoplasma gallisepticum,Conjunctivitis,causes,19
Mycoplasma gallisepticum,Ocular swelling,causes,19
Mycoplasma gallisepticum,Ocular and nasal discharge,causes,19
Mycoplasma gallisepticum,Lymphoplasmacytic inflammation,causes,19
Mycoplasma gallisepticum,Epithelial and lymphoid hyperplasia,causes,19
Polymerase chain reaction,Mycoplasma gallisepticum,used to detect,19
Arbitrary primer PCR,Mycoplasma gallisepticum,used to confirm,19
Serum plate agglutination,Antibody response,used to detect,19
Hemagglutination inhibition,Antibody response,used to detect,19
Enzyme-linked immunosorbent assay,Antibody response,used to detect,19
Field strain,House finch conjunctivitis,associated with,19
Mycoplasma gallisepticum,Free-flying house finch populations,may have a negative impact on,19
Mycoplasmal conjunctivitis,House finch,affects,20
House finch,Species,is a,20
Carpodacus mexicanus,Species,is a,20
Auburn,Alabama,is located in,20
Alabama,USA,is located in,20
March 1998,Date,is a,20
February 1999,Date,is a,20
September,Month,is a,20
November,Month,is a,20
Mycoplasma gallisepticum,House finch,infects,20
House finch,Mycoplasma gallisepticum,is exposed to,20
Serum plate agglutination,Mycoplasma gallisepticum,is used to detect,20
Polymerase chain reaction,Mycoplasma gallisepticum,is used to detect,20
PCR,Polymerase chain reaction,is an abbreviation for,20
Host-parasite relationship,Mycoplasmal conjunctivitis,is affected by,20
Mycoplasma gallisepticum,house finches,associated with,21
Mycoplasma gallisepticum,conjunctivitis,caused,21
house finches,Mycoplasma gallisepticum,infected with,21
poultry production facilities,wild birds,associated with,21
eastern population,Mycoplasma gallisepticum,affected by,21
northeast Georgia,poultry farms,location of,21
poultry farms,feeder stations,location of,21
