source,target,relation_type,doc_id
Batrachochytrium dendrobatidis,Eurycea neotenes,infected,1
Batrachochytrium dendrobatidis,Eurycea pterophila,infected,1
Batrachochytrium dendrobatidis,Eurycea nana,infected,1
Batrachochytrium dendrobatidis,Eurycea sosorum,infected,1
Batrachochytrium dendrobatidis,Eurycea tonkawae,infected,1
Eurycea neotenes,Central Texas,sampled,1
Eurycea pterophila,Central Texas,sampled,1
Eurycea nana,Central Texas,sampled,1
Eurycea sosorum,Central Texas,sampled,1
Eurycea tonkawae,Central Texas,sampled,1
Batrachochytrium dendrobatidis,PCR,detected,1
PCR,Nested PCR protocol,used,1
Nested PCR protocol,Batrachochytrium dendrobatidis,used,1
Batrachochytrium dendrobatidis,5.8S rRNA gene,confirmed,1
5.8S rRNA gene,Batrachochytrium dendrobatidis,confirmed,1
Batrachochytrium dendrobatidis,ITS,confirmed,1
ITS,Batrachochytrium dendrobatidis,confirmed,1
Batrachochytrium dendrobatidis,Nonconsumptive tail clippings,detected,1
Nonconsumptive tail clippings,Batrachochytrium dendrobatidis,used,1
Spirometra erinacei,Species,is a,2
Spirometra erinacei,Cyclops,infects,2
Spirometra erinacei,Rana nigromaculata,infects,2
Spirometra erinacei,ICR mice,infects,2
Dogs,Host for Spirometra erinacei,is a,2
Cats,Host for Spirometra erinacei,is a,2
Mesocyclops leuckarti,Coracidium,is susceptible to,2
Eucyclops serrulatus,Coracidium,is susceptible to,2
Procercoids,Coracidium,develops from,2
Plerocercoids,Procercoids,develops from,2
Dogs,Plerocercoids,infects with,2
Cats,Plerocercoids,infects with,2
Batrachochytrium dendrobatidis,Chytridiomycosis,causes,3
Batrachochytrium dendrobatidis,International trade in X. laevis,is introduced by,3
Xenopus laevis,Batrachochytrium dendrobatidis,is infected by,3
Xenopus,Chytridiomycosis,is surveyed for,3
Africa,Batrachochytrium dendrobatidis,is the origin of,3
Southern Africa,Chytridiomycosis,is affected by,3
Protopolystoma xenopodis,Xenopus laevis,parasitizes,4
Protopolystoma xenopodis,urinary bladder,occurs in,4
Protopolystoma xenopodis,eggs,produces,4
Eggs,host,developed in,4
Hosts,temperature,exposed to,4
Protopolystoma xenopodis,South Wales,has been introduced to,4
Protopolystoma xenopodis,U.K.,can produce eggs in,4
Host factors,Monogenean infections,regulate,5
Polystomatid monogeneans,Anuran amphibians,infect,5
Pseudodiplorchis americanus,Scaphiopus couchii,infect,5
Protopolystoma xenopodis,Xenopus laevis,infect,5
Environmental factors,Parasite factors,affect,5
Temperature,Parasite factors,affect,5
Behaviour,Parasite factors,affect,5
Population density,Parasite factors,affect,5
Parasite factors,Infection levels,affect,5
Intra-specific competitive interactions,Parasite factors,affect,5
Inter-specific competitive interactions,Parasite factors,affect,5
Survivorship,Parasite factors,affect,5
Reproductive output,Parasite factors,affect,5
Immune response,Parasite factors,respond to,5
Adult worms,Eggs,produce,5
Field studies,Infection levels,observe,5
Laboratory experiments,Immune response,study,5
Protopolystoma spp.,Xenopus laevis laevis,infects,6
Protopolystoma spp.,Xenopus muelleri,infects,6
Protopolystoma spp.,F1 hybrids,infects,6
P. xenopodis,X. l. laevis,shows variable infectivity to,6
P. xenopodis,P. xenopodis,co-occurs with,6
P. xenopodis,Host genotype,interacts with,6
P. xenopodis,Parasite genotype,interacts with,6
Hybridisation,Pathogen,confers refractoriness to,6
Hybridisation,Allopolyploid speciation,confers selective advantage on,6
Host,Parasite,is infected by,6
Host,Parasite genotype,interacts with,6
Host,Genotype,interacts with,6
Xenopus spp.,Allopolyploid speciation,evolved through,6
Protopolystoma xenopodis,Xenopus laevis,introduced by,7
Protopolystoma xenopodis,Wales,introduced to,7
Protopolystoma xenopodis,temperature,affected by,7
Protopolystoma xenopodis,eggs,developed in,7
Protopolystoma xenopodis,controlled conditions,hatched in,7
Protopolystoma xenopodis,Wales,produced eggs in,7
Protopolystoma xenopodis,Wales,transmitted in,7
Xenopus laevis,Protopolystoma xenopodis,infected by,7
Wales,North temperate habitat,located in,7
South Africa,African continent,located in,7
1960s,Protopolystoma xenopodis,time of introduction,7
2008,Wales,time of temperature measurement,7
Trypanosoma avium,Raptors,parasitizes,8
Raptors,Trypanosoma avium,are infected by,8
Black flies,Trypanosoma avium,are vectors of,8
Hippoboscid flies,Trypanosoma avium,are vectors of,8
Mosquitoes,Trypanosoma avium,are vectors of,8
Biting midges,Trypanosoma avium,are vectors of,8
Trypanosoma avium,Eusimulium securiforme,is transmitted by,8
Trypanosoma avium,18S rRNA,is identified by,8
Trypanosoma avium,Kinetoplast,has,8
Trypanosoma avium,Minicircle,has,8
Mycoplasma gallisepticum,House finches,is isolated from,9
Mycoplasma gallisepticum,Blue jay,is isolated from,9
Mycoplasma gallisepticum,American goldfinches,is isolated from,9
House finches,Mycoplasma gallisepticum,contracted conjunctivitis from,9
Blue jay,Mycoplasma gallisepticum,contracted conjunctivitis from,9
American goldfinches,Mycoplasma gallisepticum,contracted conjunctivitis from,9
Mycoplasma gallisepticum,Vaccine,was compared to,9
Mycoplasma gallisepticum,Reference strains,was compared to,9
Mycoplasma gallisepticum,Commercial poultry,was compared to,9
Mycoplasma gallisepticum,DNA fingerprints,was tested for,9
DNA fingerprints,Random amplified polymorphic DNA,were produced by,9
DNA fingerprints,Vaccine,were compared to,9
DNA fingerprints,Reference strains,were compared to,9
DNA fingerprints,Commercial poultry,were compared to,9
Mycoplasma sturni,Conjunctivitis,causes,10
Mycoplasma sturni,Corneal swabs,isolated from,10
Mycoplasma sturni,Indirect immunofluorescence,identified by,10
Northern mockingbirds,Mycoplasma sturni,host of,10
Blue jays,Mycoplasma sturni,host of,10
House finches,Mycoplasma gallisepticum,host of,10
American goldfinches,Mycoplasma gallisepticum,host of,10
Mycoplasma sturni,Songbirds,affects,10
Mimus polyglottos,Mycoplasma sturni,host of,10
Cyanocitta cristata,Mycoplasma sturni,host of,10
Carpodacus mexicanus,Mycoplasma gallisepticum,host of,10
Carduelis tristis,Mycoplasma gallisepticum,host of,10
songbirds,Mycoplasma gallisepticum,host,11
house finches,Mycoplasma gallisepticum,host,11
American goldfinches,Mycoplasma gallisepticum,host,11
purple finch,Mycoplasma gallisepticum,host,11
brown-headed cowbirds,Mycoplasma gallisepticum,exposed,11
tufted titmice,Mycoplasma gallisepticum,exposed,11
Mycoplasma gallisepticum,house finches,infects,11
Mycoplasma gallisepticum,American goldfinches,infects,11
Mycoplasma gallisepticum,purple finch,infects,11
Mycoplasma gallisepticum,brown-headed cowbirds,infects,11
Mycoplasma gallisepticum,tufted titmice,infects,11
house finches,conjunctivitis,develops,11
American goldfinches,conjunctivitis,develops,11
purple finch,conjunctivitis,develops,11
conjunctivitis,songbirds,observed,11
conjunctivitis,house finches,observed,11
conjunctivitis,American goldfinches,observed,11
conjunctivitis,purple finch,observed,11
Mycoplasma gallisepticum,house finches,isolated,11
Mycoplasma gallisepticum,American goldfinches,isolated,11
Mycoplasma gallisepticum,purple finch,isolated,11
Mycoplasma gallisepticum,purple finch,confirmed,11
Mycoplasma gallisepticum,house finch isolates,similar,11
Mycoplasma gallisepticum,purple finch isolate,similar,11
February/March 1998,February/March 1999,compared,11
Mycoplasma gallisepticum,Carpodacus mexicanus,hosts,12
Mycoplasma gallisepticum,American goldfinch,infects,12
Mycoplasma gallisepticum,House sparrow,infects,12
Mycoplasma gallisepticum,House finch,infects,12
American goldfinch,Mycoplasma gallisepticum,carries,12
House sparrow,Mycoplasum gallisepticum,carries,12
House finch,American goldfinch,infectious to,12
American goldfinch,House finch,infectious to,12
House sparrows,House finches,infectious to,12
Mycoplasma gallisepticum,House finch,causes disease in,12
evening grosbeaks,Mycoplasma gallisepticum,infected by,13
pine grosbeaks,Mycoplasma gallisepticum,infected by,13
Mycoplasma gallisepticum,evening grosbeak,isolated from,13
Mycoplasma gallisepticum,Mycoplasma gallisepticum,identified as,13
Mycoplasma gallisepticum,M. gallisepticum isolates,similar to,13
Mycoplasma gallisepticum,polymerase chain reaction,identified by,13
Mycoplasma gallisepticum,random amplified polymorphic DNA (RAPD) fingerprinting,identified by,13
Mycoplasma gallisepticum,direct immunofluorescence,identified by,13
evening grosbeaks,conjunctivitis,affected by,13
pine grosbeaks,conjunctivitis,affected by,13
evening grosbeaks,rhinitis,affected by,13
pine grosbeaks,rhinitis,affected by,13
evening grosbeaks,mucopurulent infra-orbital sinusitis,affected by,13
pine grosbeaks,mucopurulent infra-orbital sinusitis,affected by,13
