source,target,relation_type,doc_id
Batrachochytrium dendrobatidis,Texas Salamander,infects,1
Batrachochytrium dendrobatidis,Blanco River Springs Salamander,infects,1
Batrachochytrium dendrobatidis,San Marcos Salamander,infects,1
Batrachochytrium dendrobatidis,Barton Springs Salamander,infects,1
Batrachochytrium dendrobatidis,Jollyville Plateau Salamander,infects,1
PCR protocol,Batrachochytrium dendrobatidis,detects,1
Eurycea neotenes,Batrachochytrium dendrobatidis,hosts,1
Eurycea pterophila,Batrachochytrium dendrobatidis,hosts,1
Eurycea nana,Batrachochytrium dendrobatidis,hosts,1
Eurycea sosorum,Batrachochytrium dendrobatidis,hosts,1
Eurycea tonkawae,Batrachochytrium dendrobatidis,hosts,1
Nucleic acids,RNA,contain,1
Batrachochytrium dendrobatidis,Central Texas,located in,1
Spirometra erinacei,Cyclops,infects,2
Spirometra erinacei,Rana nigromaculata,infects,2
Spirometra erinacei,ICR Mice,infects,2
Spirometra erinacei,Dogs,infects,2
Spirometra erinacei,Cats,infects,2
Cyclops,Spirometra erinacei,hosts,2
Rana nigromaculata,Spirometra erinacei,hosts,2
ICR Mice,Spirometra erinacei,hosts,2
Dogs,Spirometra erinacei,hosts,2
Cats,Spirometra erinacei,hosts,2
Mesocyclops leuckarti,Spirometra erinacei,hosts,2
Eucyclops serrulatus,Spirometra erinacei,hosts,2
Spirometra erinacei,Eggs,develops in,2
Spirometra erinacei,Coracidium,develops in,2
Spirometra erinacei,Procercoids,develops in,2
Spirometra erinacei,Plerocercoids,develops in,2
Spirometra erinacei,Worms,develops in,2
Spirometra erinacei,Laboratory,found in,2
Batrachochytrium dendrobatidis,Xenopus,infects,3
Batrachochytrium dendrobatidis,Southern Africa,found in,3
Xenopus,Batrachochytrium dendrobatidis,hosts,3
Xenopus laevis,Xenopus,is a species of,3
Chytridiomycosis,Xenopus,affects,3
Amphibian Chytrid Fungus,Chytridiomycosis,causes,3
Protopolystoma xenopodis,Xenopus laevis,infects,4
Protopolystoma xenopodis,African Clawed Toad,lives in,4
Protopolystoma xenopodis,Eggs,produces,4
Protopolystoma xenopodis,Temperature,affected by,4
Protopolystoma xenopodis,South Wales,found in,4
Protopolystoma xenopodis,U.K.,found in,4
Pseudodiplorchis americanus,Scaphiopus couchii,infects,5
Protopolystoma xenopodis,Xenopus laevis,infects,5
Polystomatid Monogeneans,Anuran Amphibians,infects,5
Environmental Factors,Infrapopulations,regulate,5
Host Factors,Infrapopulations,regulate,5
Parasite Factors,Infrapopulations,regulate,5
Intra-specific Competitive Interactions,Infrapopulations,regulate,5
Inter-specific Competitive Interactions,Infrapopulations,regulate,5
Survivorship,Parasite Numbers,affects,5
Reproductive Output,Parasite Numbers,affects,5
Immune Response,Acquired Immunity,develops,5
Acquired Immunity,Pre-patent Period,reduces,5
Acquired Immunity,Egg Production,reduces,5
Protopolystoma spp.,Xenopus laevis laevis,infects,6
Protopolystoma spp.,Xenopus muelleri,infects,6
Xenopus laevis laevis,Protopolystoma spp.,hosts,6
Xenopus muelleri,Protopolystoma spp.,hosts,6
Xenopus spp.,Allopolyploid speciation,evolved through,6
Hybrid resistance,Selective advantage,conferred,6
Protopolystoma xenopodis,Variable infectivity,shows,6
Protopolystoma xenopodis,Host genotypexparasite genotype interactions,interacts with,6
Protopolystoma xenopodis,Xenopus laevis,infects,7
Protopolystoma xenopodis,Habitat,lives in,7
Protopolystoma xenopodis,South Africa,found in,7
Protopolystoma xenopodis,Wales,found in,7
Temperature,Egg Development,affects,7
Global Warming,Temperature,predicted to affect,7
Habitat,Protopolystoma xenopodis,hosts,7
Protopolystoma xenopodis,Egg Development,transmitted by,7
Trypanosoma avium,Raptors,infects,8
Black Flies,Trypanosoma avium,hosts,8
Hippoboscid Flies,Trypanosoma avium,hosts,8
Mosquitoes,Trypanosoma avium,hosts,8
Biting Midges,Trypanosoma avium,hosts,8
Trypanosoma avium,Black Flies,found in,8
Trypanosoma avium,Hippoboscid Flies,found in,8
Trypanosoma avium,Mosquitoes,found in,8
Trypanosoma avium,Biting Midges,found in,8
Trypanosoma avium,Ornithophilic Simuliids,transmitted by,8
18S rRNA,Trypanosoma avium,detected in,8
Kinetoplast,Avian Trypanosomes,characteristic of,8
Mycoplasma gallisepticum,House Finches,infects,9
Mycoplasma gallisepticum,Blue Jay,infects,9
Mycoplasma gallisepticum,American Goldfinches,infects,9
Mycoplasma gallisepticum,Lesions,found in,9
House Finches,Conjunctivitis,contracted,9
Blue Jay,Conjunctivitis,contracted,9
American Goldfinches,Conjunctivitis,contracted,9
Mycoplasma gallisepticum,Lesions,isolated from,9
Mycoplasma gallisepticum,Blue Jay,isolated from,9
Mycoplasma gallisepticum,American Goldfinches,isolated from,9
Mycoplasma gallisepticum,Random Amplified Polymorphic DNA,detected by,9
Mycoplasma gallisepticum,Vaccine Strains,compared to,9
Mycoplasma gallisepticum,Reference Strains,compared to,9
