source,target,relation_type,doc_id
Batrachochytrium dendrobatidis,Endemic Salamander species,detected in,1
Batrachochytrium dendrobatidis,Salamander samples,found in,1
Chytrid fungus,Texas Salamander,detected in,1
Chytrid fungus,Blanco River Springs Salamander,detected in,1
Chytrid fungus,San Marcos Salamander,detected in,1
Chytrid fungus,Barton Springs Salamander,detected in,1
Chytrid fungus,Jollyville Plateau Salamander,detected in,1
PCR protocol,Detection of Batrachochytrium dendrobatidis,used for,1
PCR products,5.8S rRNA gene,had identical sequences to,1
Barton Springs Salamander,USA endangered species list,petitioned for addition to,1
Spirometra erinacei,Laboratory,experimentally maintained in,2
Cyclops,First Intermediate Host, served as,2
Rana nigromaculata,Second Intermediate Host,served as,2
ICR mice,Second Host,served as,2
Dogs,Definitive Host,served as,2
Cats,Definitive Host,served as,2
Coracidium,Eggs,develops from,2
Procercoids,Coracidium,develops from,2
Plerocercoids,Procercoids,develops from,2
Procercoids,Tadpoles,infects,2
Procercoids,ICR mice,infects,2
Plerocercoids,Dogs,infects,2
Plerocercoids,Cats,infects,2
Adult Worms,Eggs,produce,2
Adult Worms,Plerocercoids,develop from,2
Protopolystoma xenopodis,Urinary bladder,occurs in,4
Protopolystoma xenopodis,Monogenea,is a,4
Protopolystoma xenopodis,Egg production,has reproductive activity,4
Protopolystoma xenopodis,Environmental temperature,is affected by,4
Protopolystoma xenopodis,Parasite age,has oviposition rate influenced by,4
Protopolystoma xenopodis,Temperature reduction,has oviposition rate influenced by,4
Protopolystoma xenopodis,Return to normal temperature,has oviposition rate increased by,4
Protopolystoma xenopodis,South Wales,has been introduced to,4
Protopolystoma xenopodis,United Kingdom,can produce eggs in,4
Protopolystoma xenopodis,Xenopus laevis,infects,5
Pseudodiplorchis americanus,Scaphiopus couchii,infects,5
Polystoma,Anuran amphibians,infects,5
Protopolystoma xenopodis,temperature,transmit,5
Protopolystoma xenopodis,host factors,transmit,5
Protopolystoma xenopodis,parasite factors,transmit,5
Protopolystoma xenopodis,host factors,are controlled by,5
Protopolystoma xenopodis,parasite factors,are controlled by,5
Xenopus laevis,Protopolystoma xenopodis,hosts,5
Xenopus laevis,acquired immune response,exhibits,5
Xenopus laevis,post-infection immunity,shows,5
Protopolystoma,Protopolystoma xenopodis,infect,6
Protopolystoma,Xenopus laevis laevis,infect,6
Protopolystoma xenopodis,Xenopus laevis laevis,have variable infectivity,6
Protopolystoma xenopodis,strains with high or low infectivity,co-occur,6
Protopolystoma xenopodis,host genotype,interact,6
Protopolystoma xenopodis,parasite genotype,interact,6
Xenopus spp.,allopolyploid pathway,evolve through,6
Refractoriness,selective advantage,confers,6
Protopolystoma xenopodis,Xenopus laevis,introduced with,7
Protopolystoma xenopodis,North Temperate,survives in,7
Protopolystoma xenopodis,Temperature,affected by,7
Protopolystoma xenopodis,Egg Development,has life-cycle process,7
Protopolystoma xenopodis,Water Temperature,requires,7
Protopolystoma xenopodis,Global Warming,is affected by,7
South Africa,Protopolystoma xenopodis,origin,7
Wales,Protopolystoma xenopodis,destination,7
Africa,Protopolystoma xenopodis,continent,7
North Temperate,Protopolystoma xenopodis,habitat,7
Trypanosoma avium,Raptors,infects,8
Trypanosoma avium,Birds,infects,8
Trypanosoma avium,Black flies,transmitted by,8
Trypanosoma avium,Hippoboscid flies,transmitted by,8
Trypanosoma avium,Mosquitoes,transmitted by,8
Trypanosoma avium,Biting midges,transmitted by,8
Trypanosoma avium,T. avium complex,is part of,8
Raptors,Trypanosoma avium,are hosts of,8
Birds,Trypanosoma avium,are hosts of,8
Czech Republic,study,is a location of,8
Slovak Republic,study,is a location of,8
Sparrowhawk,Trypanosoma avium,is a host of,8
Buzzard,Trypanosoma avium,is a host of,8
Lesser-spotted eagle,Trypanosoma avium,is a host of,8
Kestrel,Trypanosoma avium,is a host of,8
Mycoplasma gallisepticum,Conjunctivitis,causes,9
Mycoplasma gallisepticum,Lesions of Infected Birds,isolated from,9
Mycoplasma gallisepticum,Cage Previously Occupied by Infected House Finches,isolated from,9
Mycoplasma gallisepticum,Free-Ranging American Goldfinches,isolated from,9
Mycoplasma gallisepticum,MG Isolates from Songbirds,has same rapd banding pattern as,9
Mycoplasma gallisepticum,Vaccine and Reference Strains,different from,9
Mycoplasma gallisepticum,Contemporary MG Isolates from Commercial Poultry,different from,9
Songbirds,Mycoplasma gallisepticum,infected with,9
House Finches,Mycoplasma gallisepticum,infected with,9
Blue Jay,Mycoplasma gallisepticum,infected with,9
American Goldfinches,Mycoplasma gallisepticum,infected with,9
North Carolina,Free-Ranging American Goldfinches,location of,9
United States,House Finches and Blue Jay,location of,9
Poultry,Mycoplasma gallisepticum,infected with,9
Mycoplasma sturni,Conjunctival/Corneal Swabs,is cultured from,10
Mycoplasma sturni,Mycoplasma sturni,is identified as,10
Mycoplasma sturni,Conjunctivitis,causes,10
Mycoplasma sturni,Differential Diagnosis,is considered in,10
Mycoplasma gallisepticum,Differential Diagnosis,is considered in,10
Blue Jays,Conjunctivitis,have,10
Northern Mockingbirds,Conjunctivitis,have,10
House Finches,Conjunctivitis,have,10
