source,target,relation_type,doc_id
Spirometra erinacei,Cyclops,infects,2
Spirometra erinacei,Rana nigromaculata,infects,2
Spirometra erinacei,ICR mice,infects,2
Spirometra erinacei,Dogs,infects,2
Spirometra erinacei,Cats,infects,2
Spirometra erinacei,Mesocyclops leuckarti,infects,2
Spirometra erinacei,Eucyclops serrulatus,infects,2
Spirometra erinacei,Cyclops,develops in,2
Spirometra erinacei,Rana nigromaculata,develops in,2
Spirometra erinacei,ICR mice,develops in,2
Spirometra erinacei,Dogs,develops in,2
Spirometra erinacei,Cats,develops in,2
Batrachochytrium dendrobatidis,Chytridiomycosis,causes,3
Batrachochytrium dendrobatidis,Xenopus,infects,3
Xenopus,Batrachochytrium dendrobatidis,hosts,3
Southern Africa,Batrachochytrium dendrobatidis,is the origin of,3
International trade in X. laevis,Batrachochytrium dendrobatidis,disseminates,3
Protopolystoma xenopodis,Xenopus laevis,infects,4
Protopolystoma xenopodis,Urinary bladder,lives in,4
Protopolystoma xenopodis,Eggs,oviposits,4
Temperature,Oviposition rate,affects,4
Protopolystoma xenopodis,Eggs,produces,4
Protopolystoma xenopodis,South Wales,introduced to,4
Protopolystoma xenopodis,U.K.,can produce eggs in,4
Protopolystoma xenopodis,Xenopus laevis,infects,5
Pseudodiplorchis americanus,Scaphiopus couchii,infects,5
Protopolystoma xenopodis,Xenopus laevis,regulates,5
Temperature,Protopolystoma xenopodis,affects,5
Host Behaviour,Protopolystoma xenopodis,affects,5
Population Density,Protopolystoma xenopodis,affects,5
Intra-specific Competitive Interactions,Protopolystoma xenopodis,affects,5
Inter-specific Competitive Interactions,Protopolystoma xenopodis,affects,5
Survivorship,Protopolystoma xenopodis,affects,5
Reproductive Output,Protopolystoma xenopodis,affects,5
Immune Response,Protopolystoma xenopodis,affects,5
Protopolystoma xenopodis,Xenopus laevis,infects,7
Protopolystoma xenopodis,North temperate habitat,survives in,7
Temperature,egg development of Protopolystoma xenopodis,affects,7
Wales,Protopolystoma xenopodis,hosts,7
South Africa,Protopolystoma xenopodis,originates,7
Protopolystoma xenopodis,specific temperature range for life-cycle progress,requires,7
Mycoplasma sturni,Blue Jays,infects,10
Mycoplasma sturni,Northern Mockingbirds,infects,10
Mycoplasma sturni,Conjunctivitis,causes,10
Mycoplasma gallisepticum,Conjunctivitis,causes,10
Mycoplasma sturni,Blue Jays,lives in,10
Mycoplasma sturni,Northern Mockingbirds,lives in,10
Mycoplasma sturni,conjunctival/corneal swabs,transmitted by,10
Mycoplasma gallisepticum,Mycoplasmal Conjunctivitis,causes,11
Mycoplasma gallisepticum,Songbirds,infects,11
Mycoplasma gallisepticum,House Finches,infects,11
Mycoplasma gallisepticum,American Goldfinches,infects,11
Mycoplasma gallisepticum,Purple Finches,infects,11
Mycoplasma gallisepticum,Brown-headed Cowbirds,infects,11
Mycoplasma gallisepticum,Tufted Titmice,infects,11
Aedes aegypti,Mycoplasma gallisepticum,transmits,11
House Finches,Mycoplasma gallisepticum,hosts,11
American Goldfinches,Mycoplasma gallisepticum,hosts,11
Purple Finches,Mycoplasma gallisepticum,hosts,11
Brown-headed Cowbirds,Mycoplasma gallisepticum,hosts,11
Tufted Titmice,Mycoplasma gallisepticum,hosts,11
New York,Mycoplasma gallisepticum,hosts,11
