source_text,target_text,relation_type,doc_id
Leptospira,zoonotic disease,is associated with,59826
Leptospira,domestic dogs,is found in,59826
Leptospira,raccoons,is found in,59826
Leptospira icterohemorrhagiae,raccoons,is found in,59826
Leptospira grippotyphosa,skunks,is found in,59826
Leptospira grippotyphosa,gray squirrels,is found in,59826
Leptospira canicola,gray squirrels,is found in,59826
Leptospira,opossums,is found in,59826
Leptospira pomona,opossums,is found in,59826
Leptospira icterohemorrhagiae,opossums,is found in,59826
Leptospira canicola,opossums,is found in,59826
Leptospira hardjo,opossums,is found in,59826
Leptospira grippotyphosa,opossums,is found in,59826
Leptospira,raccoons,is found in,59826
Leptospira,Procyon lotor,is found in,59826
Leptospira,skunks,is found in,59826
Serologic survey,Serologic survey,no_relationship,58605
Herpesvirus,Pacific harbor seal,infects,59830
Pacific harbor seal,Herpesvirus,hosts,59830
adrenal necrosis,adrenal cells,affects,59830
adrenal cells,intranuclear inclusion bodies,contain,59830
intranuclear inclusion bodies,DNA,stained positive for,59830
sepsis,Pacific harbor seal,affects,59830
bacterial omphalophlebitis,Pacific harbor seal,affects,59830
pneumonia,Pacific harbor seal,affects,59830
gastroenteritis,Pacific harbor seal,affects,59830
thymic atrophy,Pacific harbor seal,affects,59830
hepatic necrosis,Pacific harbor seal,affects,59830
lymphopenia,Pacific harbor seal,affects,59830
electron microscopy,viral particles,detected,59830
viral particles,adrenal tissue,found in,59830
viral particles,phocine adrenal and kidney cell lines,found in,59830
viral particles,Herpesvirus,consistent with,59830
adrenal tissue,cytopathic effect,causes,59830
cytopathic effect,cell cultures,observed in,59830
cytopathic effect,5 days,observed after,59830
intranuclear inclusion bodies,male seals,observed in,59830
intranuclear inclusion bodies,female seals,observed in,59830
Pacific harbor seal,California,lives in,59830
Pacific harbor seal,USA,lives in,59830
Pacific harbor seal,coast,stranded on,59830
Pacific harbor seal,central and northern California,stranded on,59830
Pacific harbor seal,coastal California,stranded on,59830
Pacific harbor seal,0 to 63 days,rehabilitated for,59830
Pacific harbor seal,birth weight,below average,59830
island fox,Urocyon littoralis,common name of,59699
Urocyon littoralis,island fox,latin name of,59699
Channel Islands,island fox,lives in,59699
California,island fox,lives in,59699
USA,island fox,lives in,59699
island fox,California,threatened species in,59699
194,island fox,number of,59699
canine adenovirus,island fox,infects,59699
island fox,canine adenovirus,hosts,59699
canine parvovirus,island fox,infects,59699
island fox,canine parvovirus,hosts,59699
canine herpesvirus,island fox,infects,59699
island fox,canine herpesvirus,hosts,59699
canine coronavirus,island fox,infects,59699
island fox,canine coronavirus,hosts,59699
leptospirosis,island fox,infects,59699
island fox,leptospirosis,hosts,59699
toxoplasmosis,island fox,infects,59699
island fox,toxoplasmosis,hosts,59699
canine distemper virus,island fox,does not infect,59699
island fox,canine distemper virus,does not host,59699
Pestivirus,Pyrenean Chamois,infects,59904
Pyrenean Chamois,Pestivirus,hosts,59904
Pestivirus,disease,causes,59904
Pestivirus,Spain,found in,59904
Pestivirus,2001-02,found in,59904
Pestivirus,border disease virus,has pairwise similarity with,59904
Pestivirus,82.1%,has pairwise similarity value,59904
Pestivirus,88.1%,has pairwise similarity value,59904
Pestivirus,outbreak,associated with,59904
Pestivirus,Rupicapra pyrenaica pyrenaica,associated with,59904
southern chamois,Rupicapra pyrenaica,is,59578
Urate nephrolithiasis,northern elephant seal,affects,59831
Urate nephrolithiasis,California sea lion,affects,59831
nephrolithiasis,northern elephant seal,affects,59831
nephrolithiasis,California sea lion,affects,59831
nephrolithiasis,northern elephant seal,diagnosed in,59831
nephrolithiasis,California sea lion,diagnosed in,59831
nephrolithiasis,California sea lion,first report in,59831
nephrolithiasis,northern elephant seal,first report in,59831
nephroliths,northern elephant seal,found in,59831
nephroliths,California sea lion,found in,59831
nephroliths,northern elephant seal,vary in size from 1-10 mm in diameter in,59831
nephroliths,California sea lion,vary in size from 1-15 mm in diameter in,59831
nephroliths,northern elephant seal,composed of uric acid and ammonium urate in,59831
nephroliths,California sea lion,composed of ammonium urate in,59831
nephroliths,northern elephant seal,associated with renal pelvic dilation in,59831
nephroliths,California sea lion,associated with renal pelvic dilation in,59831
nephroliths,northern elephant seal,associated with pyelonephritis in,59831
nephroliths,California sea lion,associated with pyelonephritis in,59831
hydronephrosis,California sea lion,noted in,59831
nephrolithiasis,northern elephant seal,hypothesized to be caused by metabolic derangements due to morphologic or physiologic differences in,59831
nephrolithiasis,California sea lion,hypothesized to be caused by metabolic derangements due to morphologic or physiologic differences in,59831
Amblyomma americanum,white-tailed deer,found on,59842
Ixodes scapularis,white-tailed deer,found on,59842
Ehrlichia chaffeensis,white-tailed deer,infects,59842
HGE agent,white-tailed deer,infects,59842
Ehrlichia-like organism,white-tailed deer,infects,59842
white-tailed deer,Ehrlichia chaffeensis,hosts,59842
white-tailed deer,HGE agent,hosts,59842
white-tailed deer,Ehrlichia-like organism,hosts,59842
white-tailed deer,Amblyomma americanum,parasitized by,59842
white-tailed deer,Ixodes scapularis,parasitized by,59842
Ehrlichia chaffeensis,indirect fluorescent antibody testing,detected by,59842
HGE agent,indirect fluorescent antibody testing,detected by,59842
Ehrlichia chaffeensis,nested polymerase chain reaction,detected by,59842
HGE agent,nested polymerase chain reaction,detected by,59842
Ehrlichia-like organism,nested polymerase chain reaction,detected by,59842
Ehrlichia chaffeensis,ingual lymph node,isolated in culture from,59842
Ehrlichia-type morula,neutrophil,identified in,59842
Ehrlichia chaffeensis,infection,causes,59842
HGE agent,infection,causes,59842
Ehrlichia-like organism,infection,causes,59842
Tanzania,game areas,has,59912
1987,1989,is a year,59912
foot-and-mouth disease,pathogenic agents,is a,59912
bovine herpes virus types 1 and 2,pathogenic agents,is a,59912
lumpy skin disease,pathogenic agents,is a,59912
bovine viral diarrhoea,pathogenic agents,is a,59912
Akabane,pathogenic agents,is a,59912
bovine ephemeral fever,pathogenic agents,is a,59912
bluetongue,pathogenic agents,is a,59912
enzootic bovine leucosis,pathogenic agents,is a,59912
African horse sickness,pathogenic agents,is a,59912
African swine fever,pathogenic agents,is a,59912
Brucella abortus,pathogenic agents,is a,59912
buffalo,wild species,is a,59912
Syncerus caffer,wild species,is a,59912
wildebeest,wild species,is a,59912
Connochaetes taurinus,wild species,is a,59912
topi,wild species,is a,59912
Damaliscus korrigum,wild species,is a,59912
Zebra,wild species,is a,59912
wart hog,wild species,is a,59912
reservoirs of infection,wild species,are,59912
aetiological agents,pathogenic agents,are,59912
sera,Antibodies,are,59912
535,eight species,is a number,59912
majority of the pathogens,pathogenic agents,are,59912
fewer pathogens,pathogenic agents,are,59912
no antibodies,Antibodies,are,59912
African horse sickness antibodies,Antibodies,are,59912
African swine fever antibodies,Antibodies,are,59912
Staphylococcus aureus,Ursus americanus,infects,59921
Ursus americanus,Staphylococcus aureus,hosts,59921
Staphylococcus aureus,valvular endocarditis,causes,59921
valvular endocarditis,Ursus americanus,affects,59921
Ursus americanus,Labrador,lives in,59921
Ursus americanus,fall 1991,died in,59921
valvular endocarditis,death,causes,59921
Staphylococcus aureus,organs,disseminates to,59921
parainfluenza 3 virus,Bison bison,infects,58455
Bison bison,parainfluenza 3 virus,hosts,58455
Delta bison,Bison bison,is a,58455
Delta bison,Delta Junction,found in,58455
Delta Junction,Alaska,located in,58455
Alaska,USA,located in,58455
parainfluenza 3 virus,Bison bison,serum antibody prevalence in,58455
Bison bison,parainfluenza 3 virus,has serum antibody prevalence of,58455
domestic cattle,parainfluenza 3 virus,hypothesized as source for,58455
Rocky Mountain cougars,feline immunodeficiency virus,hosts,59903
feline immunodeficiency virus,Rocky Mountain cougars,infects,59903
Rocky Mountain cougars,feline parvovirus,hosts,59903
feline parvovirus,Rocky Mountain cougars,infects,59903
Rocky Mountain cougars,feline coronavirus,hosts,59903
feline coronavirus,Rocky Mountain cougars,infects,59903
Rocky Mountain cougars,feline calicivirus,hosts,59903
feline calicivirus,Rocky Mountain cougars,infects,59903
Rocky Mountain cougars,canine distemper virus,hosts,59903
canine distemper virus,Rocky Mountain cougars,infects,59903
Rocky Mountain cougars,Yersinia pestis,hosts,59903
Yersinia pestis,Rocky Mountain cougars,infects,59903
Rocky Mountain cougars,feline herpesvirus,does not host,59903
feline herpesvirus,Rocky Mountain cougars,does not infect,59903
feline immunodeficiency virus,age,affects,59903
age,feline immunodeficiency virus,affects,59903
feline immunodeficiency virus,family membership,affects,59903
family membership,feline immunodeficiency virus,affects,59903
feline immunodeficiency virus,sex,affects,59903
sex,feline immunodeficiency virus,affects,59903
Yersinia pestis,sex,affects,59903
